N_geom,N_int_target,N_int_actual,L_dimless,d_min_dimless,frac,method_name,n_plateau,a_lo,a_hi,a_span,a_span_over_dmin,a_ref,A_ref,A_median,A_std,A_min,A_max,A_median_minus_Areq,rel_dE_median,rel_dE_min,rel_dE_max,rel_dE_thresh,ideal_source,bs_backend
24000,24000,24000,16.372460430715797,0.9999704062211199,0.01,plateau_0.01,7,0.002288594393410914,0.0087518230095493,0.006463228616138386,0.006463419893157513,0.004475418759376507,0.11017856149246705,0.08246831309114265,0.015425550045496278,0.05923226662713715,0.11017856149246705,0.0028908415451949776,0.043569613917544506,0.028182586787878522,0.058533479855031545,0.0001,"ideal.txt (3:1:1, 183 modes, k_max=250)",local_cpp_scan
24000,24000,24000,16.372460430715797,0.9999704062211199,0.02,plateau_0.02,10,0.002288594393410914,0.01711446684849381,0.014825872455082899,0.0148263112216588,0.00699858502987049,0.06795512452256836,0.08325707261282604,0.01393960099182152,0.05923226662713715,0.11017856149246705,0.0036796010668783685,0.045497918898061526,0.028182586787878522,0.06089914447612915,0.0001,"ideal.txt (3:1:1, 183 modes, k_max=250)",local_cpp_scan
24000,24000,24000,16.372460430715797,0.9999704062211199,0.04,plateau_0.04,13,0.002288594393410914,0.03346788151321147,0.03117928711980056,0.03118020986003659,0.0087518230095493,0.08246831309114265,0.08019776970736726,0.012422009255233603,0.05923226662713715,0.11017856149246705,0.0006202981614195913,0.05090204773963345,0.028182586787878522,0.06993549257073295,0.0001,"ideal.txt (3:1:1, 183 modes, k_max=250)",local_cpp_scan
24000,24000,24000,16.372460430715797,0.9999704062211199,0.06,plateau_0.06,15,0.002288594393410914,0.0523365135495103,0.05004791915609939,0.05004940030698515,0.010944270257997268,0.06691368128330616,0.08019776970736726,0.011574240915398768,0.05923226662713715,0.11017856149246705,0.0006202981614195913,0.058533479855031545,0.028182586787878522,0.0799747913584689,0.0001,"ideal.txt (3:1:1, 183 modes, k_max=250)",local_cpp_scan
24000,24000,24000,16.372460430715797,0.9999704062211199,0.08,plateau_0.08,16,0.002288594393410914,0.06544750139738875,0.06315890700397783,0.0631607761700217,0.013685954497639215,0.08943113745154732,0.08075233204053793,0.011213673693957829,0.05923226662713715,0.11017856149246705,0.0011748604945902574,0.05892510863177075,0.028182586787878522,0.08971182216412131,0.0001,"ideal.txt (3:1:1, 183 modes, k_max=250)",local_cpp_scan
24000,24000,24000,16.372460430715797,0.9999704062211199,0.1,plateau_0.10,17,0.002288594393410914,0.08184296485682277,0.07955437046341185,0.07955672484753541,0.013685954497639215,0.08943113745154732,0.08019776970736726,0.01087911176172467,0.05923226662713715,0.11017856149246705,0.0006202981614195913,0.05931673740850996,0.028182586787878522,0.0963184756914122,0.0001,"ideal.txt (3:1:1, 183 modes, k_max=250)",local_cpp_scan
24000,24000,24000,16.372460430715797,0.9999704062211199,0.12,plateau_0.12,18,0.002288594393410914,0.10234570844628732,0.1000571140528764,0.10006007520861686,0.01711446684849381,0.08412146834328052,0.0798361390933121,0.010582969804189971,0.05923226662713715,0.11017856149246705,0.00025866754736442177,0.059782273502018826,0.028182586787878522,0.10423765986683978,0.0001,"ideal.txt (3:1:1, 183 modes, k_max=250)",local_cpp_scan
24000,24000,24000,16.372460430715797,0.9999704062211199,0.14,plateau_0.14,19,0.002288594393410914,0.127984660082842,0.1256960656894311,0.12569978562109205,0.01711446684849381,0.08412146834328052,0.07949080583631057,0.01030077253164733,0.05923226662713715,0.11017856149246705,-8.666570963709874e-05,0.06024780959552769,0.028182586787878522,0.11901191596554078,0.0001,"ideal.txt (3:1:1, 183 modes, k_max=250)",local_cpp_scan
24000,24000,24000,16.372460430715797,0.9999704062211199,0.16,plateau_0.16,19,0.002288594393410914,0.127984660082842,0.1256960656894311,0.12569978562109205,0.01711446684849381,0.08412146834328052,0.07949080583631057,0.01030077253164733,0.05923226662713715,0.11017856149246705,-8.666570963709874e-05,0.06024780959552769,0.028182586787878522,0.11901191596554078,0.0001,"ideal.txt (3:1:1, 183 modes, k_max=250)",local_cpp_scan
32000,32000,32000,16.372460430715797,0.9999704050183138,0.01,plateau_0.01,8,0.0017272137162901559,0.009015481226507754,0.007288267510217598,0.007288483212744799,0.004440457301041442,0.07959323034894507,0.0784794466208691,0.02154619400010626,0.048157405446885536,0.12360433985887495,-0.0010980249250785723,0.04502346161009061,0.026411129352283742,0.06348516769950599,0.0001,"ideal.txt (3:1:1, 183 modes, k_max=250)",local_cpp_scan
