knot_id,mode,N_geom,N_int_target,N_int_actual,R_t_over_r_t,L_dimless,d_min_dimless,fit_method,plateau_frac,n_plateau,A_K,A_spread,A_ratio,a_K,a_fit_ref,a_nc_m,a_nc_over_rc,lambda_K,p_exp,root_count,min_root_count,root_choice,a_star_m,a_star_over_rc,E_star_J,delta_lambda_over_rc,is_min,status,uses_local_sst_core,ideal_source,notes,bs_backend,t_geometry_s,t_scan_s,t_fit_s,t_total_block_s,contact_model,root_selection_mode,closure_x_from_A,closure_x_minus_1,beta_dimless,F_at_x1,contact_force_at_x1,continuation_prev_a_star_over_rc,continuation_jump,theorem_candidate_no_contact,theorem_candidate_full_model,root_solver_space,F_at_root,root_xtol,root_rtol
3:1:1,ideal,4000,2000,2000,,16.372460430715797,0.9999707757876268,global,,0,0.0791759621901473,,0.994954484629881,-0.2437179966027091,0.09822334332417,1.4054111847699945e-15,0.9974740521085652,0.0,2,1,1,lowest_energy,1.4054111847699945e-15,0.9974740521085652,1.5501398892274758e-36,0.0025259478914346,True,stable,True,"ideal.txt (3:1:1, 183 modes, k_max=250)",,local_cpp_scan,0.3830936999875121,0.0306816000374965,0.0057287000236101,0.4424210999859497,legacy,continuation,0.9974740521085654,-0.0025259478914345,6.283001670797554,0.0050455153701189,0.0,,,False,False,dimensionless_x,-1.1102230246251563e-16,1e-14,1e-13
3:1:1,ideal,4000,2000,2000,,16.372460430715797,0.9999707757876268,global,,0,0.0791759621901473,,0.994954484629881,-0.2437179966027091,0.09822334332417,1.4054111847699945e-15,0.9974740521085652,0.001,2,1,1,continuation,1.399846042478447e-15,0.9935242578474508,1.5521871968450633e-36,0.0064757421525492,True,stable,True,"ideal.txt (3:1:1, 183 modes, k_max=250)",,local_cpp_scan,0.3830936999875121,0.0306816000374965,0.0057287000236101,0.4720109000336379,legacy,continuation,0.9974740521085654,-0.0025259478914345,6.283001670797554,0.0130848905143746,0.0080393751442556,0.9974740521085652,0.0039497942611145,False,False,dimensionless_x,1.491862189340054e-16,1e-14,1e-13
3:1:1,ideal,4000,2000,2000,,16.372460430715797,0.9999707757876268,plateau_0.04,0.04,2,0.1379506032259058,0.0341737912721964,1.733538406611145,-0.608213504253285,0.0327812167357118,1.8551051560733557e-15,1.316639057073405,0.0,2,1,1,lowest_energy,1.8551051560733557e-15,1.316639057073405,5.899243201032861e-37,0.316639057073405,True,inconclusive,True,"ideal.txt (3:1:1, 183 modes, k_max=250)",parallel_theorem_candidate,local_cpp_scan,0.3830936999875121,0.0306816000374965,0.0057287000236101,0.4899543999927118,legacy,continuation,1.316639057073405,0.316639057073405,6.283001670797554,-0.733538406611145,0.0,,,False,False,dimensionless_x,0.0,1e-14,1e-13
3:1:1,ideal,4000,2000,2000,,16.372460430715797,0.9999707757876268,plateau_0.04,0.04,2,0.1379506032259058,0.0341737912721964,1.733538406611145,-0.608213504253285,0.0327812167357118,1.8551051560733557e-15,1.316639057073405,0.001,2,1,1,continuation,1.843331180340509e-15,1.3082826163314083,5.948228603793849e-37,0.3082826163314085,True,inconclusive,True,"ideal.txt (3:1:1, 183 modes, k_max=250)",parallel_theorem_candidate,local_cpp_scan,0.3830936999875121,0.0306816000374965,0.0057287000236101,0.5047155999927782,legacy,continuation,1.316639057073405,0.316639057073405,6.283001670797554,-0.7254990314668893,0.0080393751442556,1.316639057073405,0.0083564407419964,False,False,dimensionless_x,1.249000902703301e-16,1e-14,1e-13
3:1:1,ideal,4000,2000,2000,,16.372460430715797,0.9999707757876268,plateau_0.06,0.06,6,0.1010087266174944,0.0416055721544685,1.2693130939599206,-0.3734376314088528,0.0463582530545315,1.5873992786843153e-15,1.1266379604646386,0.0,2,1,1,lowest_energy,1.5873992786843153e-15,1.1266379604646386,1.265801142838993e-36,0.1266379604646386,True,inconclusive,True,"ideal.txt (3:1:1, 183 modes, k_max=250)",parallel_theorem_candidate,local_cpp_scan,0.3830936999875121,0.0306816000374965,0.0057287000236101,0.5178241999819875,legacy,continuation,1.1266379604646386,0.1266379604646386,6.283001670797554,-0.2693130939599206,0.0,,,False,False,dimensionless_x,0.0,1e-14,1e-13
3:1:1,ideal,4000,2000,2000,,16.372460430715797,0.9999707757876268,plateau_0.06,0.06,6,0.1010087266174944,0.0416055721544685,1.2693130939599206,-0.3734376314088528,0.0463582530545315,1.5873992786843153e-15,1.1266379604646386,0.001,2,1,1,continuation,1.579853005079979e-15,1.1212820815645648,1.2687538023201464e-36,0.1212820815645647,True,inconclusive,True,"ideal.txt (3:1:1, 183 modes, k_max=250)",parallel_theorem_candidate,local_cpp_scan,0.3830936999875121,0.0306816000374965,0.0057287000236101,0.533193500014022,legacy,continuation,1.1266379604646386,0.1266379604646386,6.283001670797554,-0.2612737188156649,0.0080393751442556,1.1266379604646386,0.0053558789000738,False,False,dimensionless_x,2.0816681711721683e-16,1e-14,1e-13
3:1:1,ideal,4000,2000,2000,,16.372460430715797,0.9999707757876268,plateau_0.08,0.08,8,0.0920776823618892,0.037493200338664,1.157082281870743,-0.3170261396560297,0.0520348602728587,1.5155976396260204e-15,1.075677591972029,0.0,2,1,1,lowest_energy,1.5155976396260204e-15,1.075677591972029,1.4169912082226182e-36,0.0756775919720289,True,inconclusive,True,"ideal.txt (3:1:1, 183 modes, k_max=250)",parallel_theorem_candidate,local_cpp_scan,0.3830936999875121,0.0306816000374965,0.0057287000236101,0.545133400009945,legacy,continuation,1.075677591972029,0.0756775919720289,6.283001670797554,-0.1570822818707429,0.0,,,False,False,dimensionless_x,-2.220446049250313e-16,1e-14,1e-13
3:1:1,ideal,4000,2000,2000,,16.372460430715797,0.9999707757876268,plateau_0.08,0.08,8,0.0920776823618892,0.037493200338664,1.157082281870743,-0.3170261396560297,0.0520348602728587,1.5155976396260204e-15,1.075677591972029,0.001,2,1,1,continuation,1.5089022988497092e-15,1.0709256526344408,1.4195534346560842e-36,0.0709256526344408,True,inconclusive,True,"ideal.txt (3:1:1, 183 modes, k_max=250)",parallel_theorem_candidate,local_cpp_scan,0.3830936999875121,0.0306816000374965,0.0057287000236101,0.5604445000062697,legacy,continuation,1.075677591972029,0.0756775919720289,6.283001670797554,-0.1490429067264872,0.0080393751442556,1.075677591972029,0.0047519393375881,False,False,dimensionless_x,2.8796409701215003e-16,1e-14,1e-13
3:1:1,ideal,4000,2000,2000,,16.372460430715797,0.9999707757876268,plateau_0.10,0.1,10,0.0920776823618892,0.0353580636057067,1.157082281870743,-0.3147629767051155,0.0584065728367921,1.5155976396260204e-15,1.075677591972029,0.0,2,1,1,lowest_energy,1.5155976396260204e-15,1.075677591972029,1.4385232336571542e-36,0.0756775919720289,True,inconclusive,True,"ideal.txt (3:1:1, 183 modes, k_max=250)",parallel_theorem_candidate,local_cpp_scan,0.3830936999875121,0.0306816000374965,0.0057287000236101,0.5717416999978013,legacy,continuation,1.075677591972029,0.0756775919720289,6.283001670797554,-0.1570822818707429,0.0,,,False,False,dimensionless_x,-2.220446049250313e-16,1e-14,1e-13
3:1:1,ideal,4000,2000,2000,,16.372460430715797,0.9999707757876268,plateau_0.10,0.1,10,0.0920776823618892,0.0353580636057067,1.157082281870743,-0.3147629767051155,0.0584065728367921,1.5155976396260204e-15,1.075677591972029,0.001,2,1,1,continuation,1.5089022988497092e-15,1.0709256526344408,1.4410854600906202e-36,0.0709256526344408,True,inconclusive,True,"ideal.txt (3:1:1, 183 modes, k_max=250)",parallel_theorem_candidate,local_cpp_scan,0.3830936999875121,0.0306816000374965,0.0057287000236101,0.5866514000226744,legacy,continuation,1.075677591972029,0.0756775919720289,6.283001670797554,-0.1490429067264872,0.0080393751442556,1.075677591972029,0.0047519393375881,False,False,dimensionless_x,2.8796409701215003e-16,1e-14,1e-13
