N_geom,N_int_actual,fit_method,plateau_frac,p_exp,lambda_K,A_K,A_ratio,a_nc_over_rc,a_star_over_rc,is_min,E_star_J,root_count,min_root_count,root_choice,continuation_prev_a_star_over_rc,continuation_jump,beta_dimless,contact_model,postcheck_root_selection_mode,postcheck_contact_model,contact_force_at_x1,F_at_x1,legacy_contact_model,legacy_a_star_over_rc,legacy_F_at_x1,delta_a_star_vs_legacy,theorem_candidate_full_model
4000,2000,plateau_0.04,0.04,2,0.0,0.1379506032259058,1.733538406611145,1.316639057073405,1.316639057073405,True,5.899243201032861e-37,1,1,targeted_x_nc,,,6.283001670797554,barrier_flat_at_rc,targeted_x_nc,barrier_flat_at_rc,0.0,-0.733538406611145,legacy,1.316639057073405,-0.733538406611145,0.0,False
4000,2000,plateau_0.04,0.04,2,0.001,0.1379506032259058,1.733538406611145,1.316639057073405,1.3122037994670828,True,5.9085991895663074e-37,1,1,targeted_x_nc,,,6.283001670797554,barrier_flat_at_rc,targeted_x_nc,barrier_flat_at_rc,0.0,-0.733538406611145,legacy,1.3082826163314083,-0.7254990314668893,0.0039211831356742,False
4000,2000,plateau_0.06,0.06,2,0.0,0.1010087266174944,1.2693130939599206,1.1266379604646386,1.1266379604646386,True,1.265801142838993e-36,1,1,targeted_x_nc,,,6.283001670797554,barrier_flat_at_rc,targeted_x_nc,barrier_flat_at_rc,0.0,-0.2693130939599206,legacy,1.1266379604646386,-0.2693130939599206,0.0,False
4000,2000,plateau_0.06,0.06,2,0.001,0.1010087266174944,1.2693130939599206,1.1266379604646386,1.1252391182022066,True,1.2659289681616878e-36,1,1,targeted_x_nc,,,6.283001670797554,barrier_flat_at_rc,targeted_x_nc,barrier_flat_at_rc,0.0,-0.2693130939599206,legacy,1.1212820815645648,-0.2612737188156649,0.0039570366376417,False
4000,2000,plateau_0.08,0.08,2,0.0,0.0920776823618892,1.157082281870743,1.075677591972029,1.075677591972029,True,1.4169912082226182e-36,1,1,targeted_x_nc,,,6.283001670797554,barrier_flat_at_rc,targeted_x_nc,barrier_flat_at_rc,0.0,-0.1570822818707429,legacy,1.075677591972029,-0.1570822818707429,0.0,False
4000,2000,plateau_0.08,0.08,2,0.001,0.0920776823618892,1.157082281870743,1.075677591972029,1.0748898959233202,True,1.4170350831446002e-36,1,1,targeted_x_nc,,,6.283001670797554,barrier_flat_at_rc,targeted_x_nc,barrier_flat_at_rc,0.0,-0.1570822818707429,legacy,1.0709256526344408,-0.1490429067264872,0.0039642432888793,False
4000,2000,plateau_0.10,0.1,2,0.0,0.0920776823618892,1.157082281870743,1.075677591972029,1.075677591972029,True,1.4385232336571542e-36,1,1,targeted_x_nc,,,6.283001670797554,barrier_flat_at_rc,targeted_x_nc,barrier_flat_at_rc,0.0,-0.1570822818707429,legacy,1.075677591972029,-0.1570822818707429,0.0,False
4000,2000,plateau_0.10,0.1,2,0.001,0.0920776823618892,1.157082281870743,1.075677591972029,1.0748898959233202,True,1.4385671085791358e-36,1,1,targeted_x_nc,,,6.283001670797554,barrier_flat_at_rc,targeted_x_nc,barrier_flat_at_rc,0.0,-0.1570822818707429,legacy,1.0709256526344408,-0.1490429067264872,0.0039642432888793,False
4000,2000,plateau_0.12,0.12,2,0.0,0.0901728587721481,1.1331455626870826,1.0644931012867498,1.0644931012867498,True,1.4558246167411306e-36,1,1,targeted_x_nc,,,6.283001670797554,barrier_flat_at_rc,targeted_x_nc,barrier_flat_at_rc,0.0,-0.1331455626870825,legacy,1.0644931012867498,-0.1331455626870825,0.0,False
4000,2000,plateau_0.12,0.12,2,0.001,0.0901728587721481,1.1331455626870826,1.0644931012867498,1.063830369755085,True,1.4558562098624966e-36,1,1,targeted_x_nc,,,6.283001670797554,barrier_flat_at_rc,targeted_x_nc,barrier_flat_at_rc,0.0,-0.1331455626870825,legacy,1.0598646498455389,-0.1251061875428269,0.0039657199095461,False
