knot_id,mode,N_geom,N_int_target,N_int_actual,R_t_over_r_t,L_dimless,d_min_dimless,fit_method,plateau_frac,n_plateau,A_K,A_spread,A_ratio,a_K,a_fit_ref,a_nc_m,a_nc_over_rc,lambda_K,p_exp,root_count,min_root_count,root_choice,a_star_m,a_star_over_rc,E_star_J,delta_lambda_over_rc,is_min,status,uses_local_sst_core,ideal_source,notes,bs_backend,t_geometry_s,t_scan_s,t_fit_s,t_total_block_s,contact_model,root_selection_mode,closure_x_from_A,closure_x_minus_1,beta_dimless,F_at_x1,contact_force_at_x1,continuation_prev_a_star_over_rc,continuation_jump,theorem_candidate_no_contact,theorem_candidate_full_model,root_solver_space,F_at_root,root_xtol,root_rtol
3:1:1,ideal,32000,32000,32000,nan,16.372460430715797,0.9999704050183138,global,,0,0.07978703349940255,nan,1.0026334331737832,-0.24668013685445062,0.026081390161629112,1.4108241646030826e-15,1.0013158508551552,0.0,2,1,1,closest_to_a_nc,1.4108241646030824e-15,1.001315850855155,1.5488993849348113e-36,0.0013158508551549541,True,stable,True,"ideal.txt (3:1:1, 183 modes, k_max=250)",,local_cpp_scan,35.07754929999646,4.063766499995836,0.0020326999947428703,39.15175390000513,legacy,continuation,1.0013158508551552,0.0013158508551551762,6.282999341185258,-0.002633433173783173,0.0,nan,nan,False,False,dimensionless_x,-2.220446049250313e-16,1e-14,1e-13
3:1:1,ideal,32000,32000,32000,nan,16.372460430715797,0.9999704050183138,global,,0,0.07978703349940255,nan,1.0026334331737832,-0.24668013685445062,0.026081390161629112,1.4108241646030826e-15,1.0013158508551552,0.001,2,1,1,continuation,1.4052079600386224e-15,0.9973298157466474,1.5509698232436613e-36,0.0026701842533526365,True,stable,True,"ideal.txt (3:1:1, 183 modes, k_max=250)",,local_cpp_scan,35.07754929999646,4.063766499995836,0.0020326999947428703,39.1599092999968,legacy,continuation,1.0013158508551552,0.0013158508551551762,6.282999341185258,0.005405952107983371,0.008039385281766544,1.001315850855155,0.003986035108507591,False,False,dimensionless_x,-1.5612511283791264e-17,1e-14,1e-13
3:1:1,ideal,32000,32000,32000,nan,16.372460430715797,0.9999704050183138,global,,0,0.07978703349940255,nan,1.0026334331737832,-0.24668013685445062,0.026081390161629112,1.4108241646030826e-15,1.0013158508551552,0.003,2,1,1,continuation,1.3943490213028644e-15,0.9896228117468692,1.5550399434201353e-36,0.010377188253130831,True,stable,True,"ideal.txt (3:1:1, 183 modes, k_max=250)",,local_cpp_scan,35.07754929999646,4.063766499995836,0.0020326999947428703,39.16795830000774,legacy,continuation,1.0013158508551552,0.0013158508551551762,6.282999341185258,0.021484722671516455,0.024118155845299628,0.9973298157466474,0.007707003999778195,False,False,dimensionless_x,4.773959005888173e-15,1e-14,1e-13
3:1:1,ideal,32000,32000,32000,nan,16.372460430715797,0.9999704050183138,global,,0,0.07978703349940255,nan,1.0026334331737832,-0.24668013685445062,0.026081390161629112,1.4108241646030826e-15,1.0013158508551552,0.01,2,1,1,continuation,1.359719387394977e-15,0.9650448365382902,1.5686130941350183e-36,0.03495516346170979,True,drift,True,"ideal.txt (3:1:1, 183 modes, k_max=250)",,local_cpp_scan,35.07754929999646,4.063766499995836,0.0020326999947428703,39.17589450000378,legacy,continuation,1.0013158508551552,0.0013158508551551762,6.282999341185258,0.07776041964388226,0.08039385281766544,0.9896228117468692,0.02457797520857896,False,False,dimensionless_x,-9.71445146547012e-17,1e-14,1e-13
3:1:1,ideal,32000,32000,32000,nan,16.372460430715797,0.9999704050183138,plateau_0.01,0.01,8,0.0784794466208691,0.02154619400010626,0.9862018118476586,-0.23485321006884857,0.004440457301041442,1.3992157871654213e-15,0.9930769415547109,0.0,2,1,1,closest_to_a_nc,1.3992157871654213e-15,0.9930769415547109,1.6037443903454026e-36,0.006923058445289065,True,stable,True,"ideal.txt (3:1:1, 183 modes, k_max=250)",,local_cpp_scan,35.07754929999646,4.063766499995836,0.0020326999947428703,39.18169189999753,legacy,continuation,0.9930769415547109,-0.006923058445289065,6.282999341185258,0.01379818815234124,0.0,nan,nan,False,False,dimensionless_x,0.0,1e-14,1e-13
3:1:1,ideal,32000,32000,32000,nan,16.372460430715797,0.9999704050183138,plateau_0.01,0.01,8,0.0784794466208691,0.02154619400010626,0.9862018118476586,-0.23485321006884857,0.004440457301041442,1.3992157871654213e-15,0.9930769415547109,0.001,2,1,1,continuation,1.3937085447771e-15,0.9891682410686523,1.6057654868987426e-36,0.01083175893134769,True,stable,True,"ideal.txt (3:1:1, 183 modes, k_max=250)",,local_cpp_scan,35.07754929999646,4.063766499995836,0.0020326999947428703,39.1895680000016,legacy,continuation,0.9930769415547109,-0.006923058445289065,6.282999341185258,0.021837573434107783,0.008039385281766544,0.9930769415547109,0.003908700486058625,False,False,dimensionless_x,-1.1622647289044608e-16,1e-14,1e-13
3:1:1,ideal,32000,32000,32000,nan,16.372460430715797,0.9999704050183138,plateau_0.01,0.01,8,0.0784794466208691,0.02154619400010626,0.9862018118476586,-0.23485321006884857,0.004440457301041442,1.3992157871654213e-15,0.9930769415547109,0.003,2,1,1,continuation,1.383054329411341e-15,0.9816065370719247,1.609739619195868e-36,0.01839346292807531,True,stable,True,"ideal.txt (3:1:1, 183 modes, k_max=250)",,local_cpp_scan,35.07754929999646,4.063766499995836,0.0020326999947428703,39.19745839999814,legacy,continuation,0.9930769415547109,-0.006923058445289065,6.282999341185258,0.037916343997640864,0.024118155845299628,0.9891682410686523,0.00756170399672762,False,False,dimensionless_x,6.1547988927657116e-15,1e-14,1e-13
3:1:1,ideal,32000,32000,32000,nan,16.372460430715797,0.9999704050183138,plateau_0.01,0.01,8,0.0784794466208691,0.02154619400010626,0.9862018118476586,-0.23485321006884857,0.004440457301041442,1.3992157871654213e-15,0.9930769415547109,0.01,2,1,1,continuation,1.3490298826066187e-15,0.9574580862890935,1.6230013964822313e-36,0.04254191371090654,True,drift,True,"ideal.txt (3:1:1, 183 modes, k_max=250)",,local_cpp_scan,35.07754929999646,4.063766499995836,0.0020326999947428703,39.20565899999929,legacy,continuation,0.9930769415547109,-0.006923058445289065,6.282999341185258,0.09419204097000668,0.08039385281766544,0.9816065370719247,0.024148450782831232,False,False,dimensionless_x,8.326672684688674e-17,1e-14,1e-13
3:1:1,ideal,32000,32000,32000,nan,16.372460430715797,0.9999704050183138,plateau_0.02,0.02,11,0.07959323034894507,0.018891526683667746,1.000198030958904,-0.24551737535387963,0.005622741313623346,1.4091096729507825e-15,1.0000990105779048,0.0,2,1,1,closest_to_a_nc,1.4091096729507821e-15,1.0000990105779046,1.55141982989182e-36,9.901057790462353e-05,True,stable,True,"ideal.txt (3:1:1, 183 modes, k_max=250)",,local_cpp_scan,35.07754929999646,4.063766499995836,0.0020326999947428703,39.211561200005235,legacy,continuation,1.0000990105779048,9.901057790484558e-05,6.282999341185258,-0.00019803095890402744,0.0,nan,nan,True,True,dimensionless_x,-2.220446049250313e-16,1e-14,1e-13
3:1:1,ideal,32000,32000,32000,nan,16.372460430715797,0.9999704050183138,plateau_0.02,0.02,11,0.07959323034894507,0.018891526683667746,1.000198030958904,-0.24551737535387963,0.005622741313623346,1.4091096729507825e-15,1.0000990105779048,0.001,2,1,1,continuation,1.4035096863679018e-15,0.9961244859909999,1.553482919657995e-36,0.003875514009000103,True,stable,True,"ideal.txt (3:1:1, 183 modes, k_max=250)",,local_cpp_scan,35.07754929999646,4.063766499995836,0.0020326999947428703,39.219691699996474,legacy,continuation,1.0000990105779048,9.901057790484558e-05,6.282999341185258,0.007841354322862516,0.008039385281766544,1.0000990105779046,0.003974524586904726,True,False,dimensionless_x,-9.71445146547012e-17,1e-14,1e-13
3:1:1,ideal,32000,32000,32000,nan,16.372460430715797,0.9999704050183138,plateau_0.02,0.02,11,0.07959323034894507,0.018891526683667746,1.000198030958904,-0.24551737535387963,0.005622741313623346,1.4091096729507825e-15,1.0000990105779048,0.003,2,1,1,continuation,1.3926812036691431e-15,0.9884390978051317,1.557538747223176e-36,0.011560902194868272,True,stable,True,"ideal.txt (3:1:1, 183 modes, k_max=250)",,local_cpp_scan,35.07754929999646,4.063766499995836,0.0020326999947428703,39.227682099997764,legacy,continuation,1.0000990105779048,9.901057790484558e-05,6.282999341185258,0.0239201248863956,0.024118155845299628,0.9961244859909999,0.007685388185868169,True,False,dimensionless_x,5.27008992001754e-15,1e-14,1e-13
3:1:1,ideal,32000,32000,32000,nan,16.372460430715797,0.9999704050183138,plateau_0.02,0.02,11,0.07959323034894507,0.018891526683667746,1.000198030958904,-0.24551737535387963,0.005622741313623346,1.4091096729507825e-15,1.0000990105779048,0.01,2,1,1,continuation,1.3581414922299888e-15,0.9639249440106945,1.5710655588508953e-36,0.03607505598930549,True,drift,True,"ideal.txt (3:1:1, 183 modes, k_max=250)",,local_cpp_scan,35.07754929999646,4.063766499995836,0.0020326999947428703,39.23592110000027,legacy,continuation,1.0000990105779048,9.901057790484558e-05,6.282999341185258,0.08019582185876141,0.08039385281766544,0.9884390978051317,0.02451415379443722,True,False,dimensionless_x,-1.3877787807814457e-17,1e-14,1e-13
3:1:1,ideal,32000,32000,32000,nan,16.372460430715797,0.9999704050183138,plateau_0.04,0.04,14,0.07919721099860583,0.0168128800884203,0.9952215050320833,-0.24212087431479257,0.009015481226507754,1.4055997603734697e-15,0.9976078914243228,0.0,2,1,1,closest_to_a_nc,1.4055997603734697e-15,0.9976078914243228,1.566272337274191e-36,0.0023921085756771765,True,stable,True,"ideal.txt (3:1:1, 183 modes, k_max=250)",parallel_theorem_candidate,local_cpp_scan,35.07754929999646,4.063766499995836,0.0020326999947428703,39.241791200009175,legacy,continuation,0.9976078914243227,-0.0023921085756772875,6.282999341185258,0.004778494967916713,0.0,nan,nan,False,False,dimensionless_x,2.220446049250313e-16,1e-14,1e-13
3:1:1,ideal,32000,32000,32000,nan,16.372460430715797,0.9999704050183138,plateau_0.04,0.04,14,0.07919721099860583,0.0168128800884203,0.9952215050320833,-0.24212087431479257,0.009015481226507754,1.4055997603734697e-15,0.9976078914243228,0.001,2,1,1,continuation,1.4000328397858255e-15,0.9936568350384773,1.568320449291482e-36,0.0063431649615226515,True,stable,True,"ideal.txt (3:1:1, 183 modes, k_max=250)",parallel_theorem_candidate,local_cpp_scan,35.07754929999646,4.063766499995836,0.0020326999947428703,39.24971830000868,legacy,continuation,0.9976078914243227,-0.0023921085756772875,6.282999341185258,0.012817880249683257,0.008039385281766544,0.9976078914243228,0.003951056385845475,False,False,dimensionless_x,9.71445146547012e-17,1e-14,1e-13
3:1:1,ideal,32000,32000,32000,nan,16.372460430715797,0.9999704050183138,plateau_0.04,0.04,14,0.07919721099860583,0.0168128800884203,0.9952215050320833,-0.24212087431479257,0.009015481226507754,1.4055997603734697e-15,0.9976078914243228,0.003,2,1,1,continuation,1.3892664686547851e-15,0.9860155298069831,1.5723471424940737e-36,0.013984470193016851,True,stable,True,"ideal.txt (3:1:1, 183 modes, k_max=250)",parallel_theorem_candidate,local_cpp_scan,35.07754929999646,4.063766499995836,0.0020326999947428703,39.257621700002346,legacy,continuation,0.9976078914243227,-0.0023921085756772875,6.282999341185258,0.02889665081321634,0.024118155845299628,0.9936568350384773,0.0076413052314942,False,False,dimensionless_x,5.242334344401911e-15,1e-14,1e-13
3:1:1,ideal,32000,32000,32000,nan,16.372460430715797,0.9999704050183138,plateau_0.04,0.04,14,0.07919721099860583,0.0168128800884203,0.9952215050320833,-0.24212087431479257,0.009015481226507754,1.4055997603734697e-15,0.9976078914243228,0.01,2,1,1,continuation,1.3549102619905443e-15,0.9616316163673956,1.585779469045606e-36,0.03836838363260442,True,drift,True,"ideal.txt (3:1:1, 183 modes, k_max=250)",parallel_theorem_candidate,local_cpp_scan,35.07754929999646,4.063766499995836,0.0020326999947428703,39.26554550000583,legacy,continuation,0.9976078914243227,-0.0023921085756772875,6.282999341185258,0.08517234778558215,0.08039385281766544,0.9860155298069831,0.024383913439587568,False,False,dimensionless_x,-3.469446951953614e-16,1e-14,1e-13
