Knot,Ropelength,Writhe,Average Crossing Number
12a160,106.68631,12.08907,44.42189205
12a161,108.1045,9.13846,46.67607313
12a162,109.8916,13.73379,49.86930419
12a163,106.85506,9.22972,50.48203292
12a164,105.47192,7.01473,47.98431735
12a165,106.18869,9.86295,47.54105588
12a166,106.85081,6.9567,47.63609108
12a167,106.03347,11.94154,47.48815441
12a168,104.85803,8.98117,47.27374228
12a169,104.02094,5.98045,44.60372226
12a170,108.11826,6.85075,47.8221206
12a171,108.34359,2.25219,48.99521369
12a172,109.39782,9.47271,48.19204634
12a173,107.46563,0.02447,47.52088188
12a174,106.72382,4.97784,49.08278034
12a175,108.26865,7.11056,48.46973111
12a176,111.63204,3.18013,46.66707387
12a177,106.1378,6.89901,49.43528796
12a178,107.07436,2.75633,49.6487879
12a179,107.06874,4.94429,46.476094
12a180,108.07343,2.17989,46.72226858
12a181,108.35138,0.13108,49.28392921
12a182,108.19883,4.90905,49.18107741
12a183,105.05775,0.03501,46.02314475
12a184,107.60993,0.01846,49.95929837
12a185,106.58377,4.88829,50.47762559
12a186,107.25365,11.92784,49.89477847
12a187,105.82605,9.05935,49.54276194
12a188,105.86125,2.14991,49.64027942
12a189,108.18987,2.24982,50.11663275
12a190,106.57998,11.97579,48.7424462
12a191,107.33145,7.0083,49.92820371
12a192,106.79573,9.12993,48.16865322
12a193,106.63327,9.86543,46.30006007
12a194,107.04593,7.05581,49.10048447
12a195,106.06684,9.8141,48.81531832
12a196,107.03457,6.97786,46.73154231
12a197,105.69297,3.96556,46.82559171
12a198,108.17364,0.0583,50.64153553
12a199,108.39603,14.14393,51.293823
12a200,106.79484,7.04137,49.3134635
12a201,105.58655,4.0791,48.65372685
12a202,107.79548,2.15939,49.26868993
12a203,106.85698,5.03664,48.30729168
12a204,107.66544,2.012,47.96603101
12a205,108.17163,16.62456,46.93981464
12a206,105.46785,14.0064,46.24382486
12a207,105.95082,2.88083,47.77272227
12a208,107.92403,0.07574,47.58584418
12a209,108.43657,0.13877,50.05827021
12a210,110.35811,14.29904,48.9781361
12a211,107.08508,2.15843,49.51152731
12a212,107.16768,4.99038,47.68111559
12a213,108.36743,4.95917,50.1574254
12a214,109.46562,0.02687,48.85685908
12a215,105.68286,7.01515,49.04659135
12a216,105.00596,9.96655,48.64568651
12a217,108.39118,2.26227,51.03125814
12a218,106.77304,6.95152,49.35024165
12a219,106.30538,11.96925,48.93595161
12a220,108.1594,5.12123,49.17463873
12a221,109.83165,2.43748,48.24074428
12a222,107.50494,0.09459,51.01068016
12a223,105.7038,4.12659,48.87048599
12a224,107.6099,4.96974,49.54143565
12a225,107.53489,6.93942,50.57635103
12a226,107.71661,14.1118,47.47701462
12a227,108.50263,13.79974,51.23431702
12a228,107.90934,4.90123,51.05544844
12a229,106.83128,0.07024,49.32786449
12a230,107.06648,9.11283,48.38126934
12a231,107.07639,13.99527,50.20771769
12a232,107.03703,13.98023,49.58403379
12a233,108.24228,0.08078,51.05782237
12a234,106.04931,2.03039,46.42692355
12a235,108.17461,4.86605,48.73385903
