a_mid,A_local,A_local_minus_Areq,rel_dE,mask_plateau_0p01,mask_plateau_0p02,mask_plateau_0p04,mask_plateau_0p06,mask_plateau_0p08,mask_plateau_0p10,mask_plateau_0p12,mask_plateau_0p14,mask_plateau_0p16
0.05547366227037842,0.09904569851805946,0.019468226972111785,0.049149421425637316,0,0,0,1,1,1,1,1,1
0.06020553485151961,-0.0,-0.07957747154594767,0.0,0,0,0,0,0,0,0,0,0
0.06534103353571172,-0.0,-0.07957747154594767,0.0,0,0,0,0,0,0,0,0,0
0.07091458740536777,0.24240795861473144,0.16283048706878378,0.12650782518512632,0,0,0,0,1,1,1,1,1
0.07696356232450845,-0.0,-0.07957747154594767,0.0,0,0,0,0,0,0,0,0,0
0.08352851144460209,-0.0,-0.07957747154594767,0.0,0,0,0,0,0,0,0,0,0
0.09065344707841369,0.1936453572219663,0.11406788567601862,0.11569606435192369,0,0,0,0,0,1,1,1,1
0.09838613576454239,-0.0,-0.07957747154594767,0.0,0,0,0,0,0,0,0,0,0
0.10677841850079982,0.1610873212704917,0.08150984972454402,0.10883568088840491,0,0,0,0,0,0,1,1,1
0.11588655829331809,-0.0,-0.07957747154594767,0.0,0,0,0,0,0,0,0,0,0
0.12577161735140344,0.1377896560398467,0.05821218449389902,0.10446450850205413,0,0,0,0,0,0,0,1,1
0.13649986645690146,0.12028015761144654,0.04070268606549887,0.10182709063920507,0,0,0,0,0,0,0,1,1
0.1481432292525419,-0.0,-0.07957747154594767,0.0,0,0,0,0,0,0,0,0,0
0.16077976442783226,0.10662978855350867,0.027052317007561,0.10050506370689063,0,0,0,0,0,0,0,0,0
0.17449418903514075,0.09568115613519712,0.016103684589249448,0.10026216694881873,0,0,0,0,0,0,0,0,0
0.18937844644434995,0.08669780125940352,0.007120329713455845,0.10097242191918039,0,0,0,0,0,0,0,0,0
0.20553232274372737,0.07918881338657242,-0.00038865815937524917,0.10258538933207711,0,0,0,0,0,0,0,0,0
0.22306411571944773,0.07281436888357087,-0.006763102662376799,0.10511038563132309,0,0,0,0,0,0,0,0,0
0.24209136089869698,0.06733174410973247,-0.0122457274362152,0.10861228139979012,0,0,0,0,0,0,0,0,0
0.26274161952384983,0.062562928600047,-0.01701454294590067,0.11321644028202701,0,0,0,0,0,0,0,0,0
0.2851533337404071,0.058374395817682695,-0.021203075728264978,0.11912343039952496,0,0,0,0,0,0,0,0,0
0.3094767547319887,0.10601641222430307,0.026438940678355394,0.24560253055772552,0,0,0,0,0,0,0,0,0
0.3358749500247269,0.04837678158780629,-0.031200689958141382,0.14855815040153736,0,0,0,0,0,0,0,0,0
