dataset,quantity,fit_method,lambda_K,n_points,Nint_min,Nint_max,alpha_best,y_inf,target,y_inf_minus_target,rms_fit,sse_fit,last2_half_range,method,tail_points,tail_enough,tail_err_contracting,tail_step_contracting,tail_sign_changes,tail_last_abs_err,tail_prev_abs_err,tail_last_step,tail_prev_step,tail_quasi_monotone,root_choice_summary,raw_n_vals,raw_y_vals
main_no_contact,A_K,plateau_0.12,0.0,3,32000.0,64000.0,0.25,0.07856237020102837,0.07957747154594767,-0.0010151013449193058,4.3201273125107724e-05,5.599049998890463e-09,8.326288922417407e-05,powerlaw_gridsearch,3,True,False,False,1.0,0.00012468450667456332,4.184127177378483e-05,0.00016652577844834815,2.1741777161229936e-05,False,,32000;48000;64000,0.0796410545949;0.0796193128177;0.0794527870393
main_no_contact,a_nc_over_rc,plateau_0.12,0.0,3,32000.0,64000.0,0.25,0.9936206288091052,1.0,-0.0063793711908948225,0.0002715272168737277,2.211810885095771e-07,0.0005232924435338293,powerlaw_gridsearch,3,True,False,False,1.0,0.0007837229712183147,0.00026286191584934393,0.0010465848870676586,0.00013656239311554685,False,,32000;48000;64000,1.00039942431;1.00026286192;0.999216277029
shiftfree_postcheck,a_star_over_rc,plateau_0.12,0.0,3,32000.0,64000.0,0.25,0.9936206288091041,1.0,-0.006379371190895933,0.00027152721687377965,2.211810885096617e-07,0.0005232924435338848,powerlaw_gridsearch,3,True,False,False,1.0,0.0007837229712184257,0.00026286191584934393,0.0010465848870677696,0.00013656239311554685,False,targeted_x_nc:3,32000;48000;64000,1.00039942431;1.00026286192;0.999216277029
shiftfree_postcheck,F_at_x1,plateau_0.12,0.0,3,32000.0,64000.0,0.25,0.012756139711389917,0.0,0.012756139711389917,0.0005428832091022701,8.841665361755373e-07,0.0010463123244133232,powerlaw_gridsearch,3,True,False,False,1.0,0.0015668317207411242,0.0005257929280855222,0.0020926246488266464,0.00027321522962275857,False,targeted_x_nc:3,32000;48000;64000,-0.000799008157708;-0.000525792928086;0.00156683172074
shiftfree_postcheck,a_star_over_rc,plateau_0.12,0.001,3,32000.0,64000.0,0.25,0.9936815791534083,1.0,-0.006318420846591732,0.00026893360465482773,2.1697585113791752e-07,0.0005182933795519484,powerlaw_gridsearch,3,True,False,False,1.0,0.0007762381584360822,0.0002603486006678146,0.0010365867591038969,0.00013525609713682663,False,targeted_x_nc:3,32000;48000;64000,1.0003956047;1.0002603486;0.999223761842
shiftfree_postcheck,F_at_x1,plateau_0.12,0.001,3,32000.0,64000.0,0.25,0.012756139711389917,0.0,0.012756139711389917,0.0005428832091022701,8.841665361755373e-07,0.0010463123244133232,powerlaw_gridsearch,3,True,False,False,1.0,0.0015668317207411242,0.0005257929280855222,0.0020926246488266464,0.00027321522962275857,False,targeted_x_nc:3,32000;48000;64000,-0.000799008157708;-0.000525792928086;0.00156683172074
shiftfree_postcheck,a_star_over_rc,plateau_0.12,0.003,3,32000.0,64000.0,0.25,0.9938000534800212,1.0,-0.006199946519978794,0.0002638920965591392,2.0891711587913413e-07,0.0005085761938490863,powerlaw_gridsearch,3,True,False,False,1.0,0.0007616888815086265,0.00025546350618954605,0.0010171523876981725,0.00013271714541995827,False,targeted_x_nc:3,32000;48000;64000,1.00038818065;1.00025546351;0.999238311118
shiftfree_postcheck,F_at_x1,plateau_0.12,0.003,3,32000.0,64000.0,0.25,0.012756139711389917,0.0,0.012756139711389917,0.0005428832091022701,8.841665361755373e-07,0.0010463123244133232,powerlaw_gridsearch,3,True,False,False,1.0,0.0015668317207411242,0.0005257929280855222,0.0020926246488266464,0.00027321522962275857,False,targeted_x_nc:3,32000;48000;64000,-0.000799008157708;-0.000525792928086;0.00156683172074
shiftfree_postcheck,a_star_over_rc,plateau_0.12,0.01,3,32000.0,64000.0,0.25,0.9941818983821826,1.0,-0.005818101617817373,0.0002476424996800517,1.8398042294335325e-07,0.00047725681974436496,powerlaw_gridsearch,3,True,False,False,1.0,0.0007147927685434707,0.00023972087094525918,0.0009545136394887299,0.00012453581061344643,False,targeted_x_nc:3,32000;48000;64000,1.00036425668;1.00023972087;0.999285207231
shiftfree_postcheck,F_at_x1,plateau_0.12,0.01,3,32000.0,64000.0,0.25,0.012756139711389917,0.0,0.012756139711389917,0.0005428832091022701,8.841665361755373e-07,0.0010463123244133232,powerlaw_gridsearch,3,True,False,False,1.0,0.0015668317207411242,0.0005257929280855222,0.0020926246488266464,0.00027321522962275857,False,targeted_x_nc:3,32000;48000;64000,-0.000799008157708;-0.000525792928086;0.00156683172074
