N_geom,N_int_target,N_int_actual,L_dimless,d_min_dimless,frac,method_name,n_plateau,a_lo,a_hi,a_span,a_span_over_dmin,a_ref,A_ref,A_median,A_std,A_min,A_max,A_median_minus_Areq,rel_dE_median,rel_dE_min,rel_dE_max,rel_dE_thresh,ideal_source,bs_backend
32000,32000,32000,16.3724604307158,0.9999704050183138,0.06,plateau_0.06,16,0.0017272137162901559,0.05958708682302286,0.057859873106732705,0.05786158551929648,0.01141587798684425,0.09041114234292666,0.08002665728210939,0.015729189539724926,0.04815740544688483,0.12360433985887519,0.00044918573616171964,0.058240525705017435,0.026411129352283506,0.09042083831616182,0.0001,"ideal.txt (3:1:1, 183 modes, k_max=250)",local_cpp_scan
32000,32000,32000,16.3724604307158,0.9999704050183138,0.08,plateau_0.08,17,0.0017272137162901559,0.07545231315695632,0.07372509944066616,0.07372728139820892,0.01141587798684425,0.09041114234292666,0.0795932303489453,0.015263849903595696,0.04815740544688483,0.12360433985887519,1.5758802997631327e-05,0.06196032863665009,0.026411129352283506,0.09659667277707389,0.0001,"ideal.txt (3:1:1, 183 modes, k_max=250)",local_cpp_scan
32000,32000,32000,16.3724604307158,0.9999704050183138,0.1,plateau_0.10,18,0.0017272137162901559,0.09554169979217308,0.09381448607588293,0.0938172625960513,0.014455387009995126,0.07121757958132867,0.07964105459488269,0.014833798404438435,0.04815740544688483,0.12360433985887519,6.358304893501476e-05,0.06208496690282225,0.026411129352283506,0.10885062507995641,0.0001,"ideal.txt (3:1:1, 183 modes, k_max=250)",local_cpp_scan
32000,32000,32000,16.3724604307158,0.9999704050183138,0.12,plateau_0.12,18,0.0017272137162901559,0.09554169979217308,0.09381448607588293,0.0938172625960513,0.014455387009995126,0.07121757958132867,0.07964105459488269,0.014833798404438435,0.04815740544688483,0.12360433985887519,6.358304893501476e-05,0.06208496690282225,0.026411129352283506,0.10885062507995641,0.0001,"ideal.txt (3:1:1, 183 modes, k_max=250)",local_cpp_scan
32000,32000,32000,16.3724604307158,0.9999704050183138,0.14,plateau_0.14,19,0.0017272137162901559,0.1209799410680645,0.11925272735177435,0.1192562567385085,0.014455387009995126,0.07121757958132867,0.0795932303489453,0.014439331381505865,0.04815740544688483,0.12360433985887519,1.5758802997631327e-05,0.06220960516899442,0.026411129352283506,0.12093942891299822,0.0001,"ideal.txt (3:1:1, 183 modes, k_max=250)",local_cpp_scan
32000,32000,32000,16.3724604307158,0.9999704050183138,0.16,plateau_0.16,20,0.0017272137162901559,0.15319118429617243,0.15146397057988228,0.15146845328598332,0.018304173699959028,0.08469810522948855,0.07924736062983638,0.014075468963545936,0.04815740544688483,0.12360433985887519,-0.0003301109161112925,0.06284738643425022,0.026411129352283506,0.13716362467025733,0.0001,"ideal.txt (3:1:1, 183 modes, k_max=250)",local_cpp_scan
48000,48000,48000,16.3724604307158,0.9999704010903698,0.06,plateau_0.06,16,0.0011616703348980054,0.05220728308448308,0.05104561274958507,0.051047123688786014,0.008840875383635668,0.08495337035298926,0.07942178904073746,0.011892633058526917,0.05230488429094653,0.11501537599559558,-0.0001556825052102112,0.05748703078869376,0.0252730073782642,0.09124945808616755,0.0001,"ideal.txt (3:1:1, 183 modes, k_max=250)",local_cpp_scan
48000,48000,48000,16.3724604307158,0.9999704010903698,0.08,plateau_0.08,17,0.0011616703348980054,0.06728335501124567,0.06612168467634767,0.06612364186404762,0.008840875383635668,0.08495337035298926,0.0797490481017357,0.011537594442960243,0.05230488429094653,0.11501537599559558,0.00017157655578803332,0.05921570572833407,0.0252730073782642,0.10053785222797067,0.0001,"ideal.txt (3:1:1, 183 modes, k_max=250)",local_cpp_scan
48000,48000,48000,16.3724604307158,0.9999704010903698,0.1,plateau_0.10,18,0.0011616703348980054,0.0867129947031248,0.0855513243682268,0.08555385666909886,0.011393884567498964,0.07525644889285563,0.07945106370041488,0.01121327606851257,0.05230488429094653,0.11501537599559558,-0.0001264078455327916,0.05926826348992384,0.0252730073782642,0.11080134352987965,0.0001,"ideal.txt (3:1:1, 183 modes, k_max=250)",local_cpp_scan
48000,48000,48000,16.3724604307158,0.9999704010903698,0.12,plateau_0.12,19,0.0011616703348980054,0.11175339649943747,0.11059172616453947,0.11059499965593983,0.011393884567498964,0.07525644889285563,0.07961931281772146,0.010914212158401593,0.05230488429094653,0.11501537599559558,4.184127177378483e-05,0.05932082125151361,0.0252730073782642,0.1253420630619335,0.0001,"ideal.txt (3:1:1, 183 modes, k_max=250)",local_cpp_scan
48000,48000,48000,16.3724604307158,0.9999704010903698,0.14,plateau_0.14,19,0.0011616703348980054,0.11175339649943747,0.11059172616453947,0.11059499965593983,0.011393884567498964,0.07525644889285563,0.07961931281772146,0.010914212158401593,0.05230488429094653,0.11501537599559558,4.184127177378483e-05,0.05932082125151361,0.0252730073782642,0.1253420630619335,0.0001,"ideal.txt (3:1:1, 183 modes, k_max=250)",local_cpp_scan
48000,48000,48000,16.3724604307158,0.9999704010903698,0.16,plateau_0.16,20,0.0011616703348980054,0.14402479895796325,0.14286312862306524,0.1428673573410643,0.014684134760884327,0.08067231518144072,0.07938619605840774,0.010641204071219186,0.05230488429094653,0.11501537599559558,-0.00019127548753992973,0.06131069470785805,0.0252730073782642,0.14121712078711174,0.0001,"ideal.txt (3:1:1, 183 modes, k_max=250)",local_cpp_scan
64000,64000,64000,16.3724604307158,0.9999704040834092,0.06,plateau_0.06,16,0.0008767186246235974,0.04753245051631309,0.0466557318916895,0.046657112751706864,0.007374448568660451,0.07250187339715103,0.07982231380400219,0.017980555448950435,0.04982327346484979,0.13452291455334134,0.0002448422580545173,0.05784880098266749,0.024211920120694813,0.0928825767056962,0.0001,"ideal.txt (3:1:1, 183 modes, k_max=250)",local_cpp_scan
64000,64000,64000,16.3724604307158,0.9999704040834092,0.08,plateau_0.08,17,0.0008767186246235974,0.06202958413843013,0.06115286551380653,0.061154675442480065,0.007374448568660451,0.07250187339715103,0.07957156623406464,0.017443846993062843,0.04982327346484979,0.13452291455334134,-5.905311883033781e-06,0.05982117073692632,0.024211920120694813,0.10157060660223963,0.0001,"ideal.txt (3:1:1, 183 modes, k_max=250)",local_cpp_scan
64000,64000,64000,16.3724604307158,0.9999704040834092,0.1,plateau_0.10,18,0.0008767186246235974,0.08094826306222241,0.08007154443759881,0.0800739142984875,0.009623614456975203,0.0803588838850433,0.07951217663666887,0.0169533717786344,0.04982327346484979,0.13452291455334134,-6.529490927879855e-05,0.06328059840376084,0.024211920120694813,0.11231606000509423,0.0001,"ideal.txt (3:1:1, 183 modes, k_max=250)",local_cpp_scan
64000,64000,64000,16.3724604307158,0.9999704040834092,0.12,plateau_0.12,19,0.0008767186246235974,0.10563703406696098,0.10476031544233738,0.10476341601165944,0.009623614456975203,0.0803588838850433,0.07945278703927311,0.01650139493178497,0.04982327346484979,0.13452291455334134,-0.00012468450667456332,0.06674002607059536,0.024211920120694813,0.12716863112301785,0.0001,"ideal.txt (3:1:1, 183 modes, k_max=250)",local_cpp_scan
64000,64000,64000,16.3724604307158,0.9999704040834092,0.14,plateau_0.14,20,0.0008767186246235974,0.13785574321571986,0.13697902459109626,0.13698307873086873,0.012558763459289437,0.08493592624647137,0.07939376335498731,0.01608428092924606,0.04982327346484979,0.13452291455334134,-0.00018370819096036328,0.06685836781817156,0.024211920120694813,0.1450469872091498,0.0001,"ideal.txt (3:1:1, 183 modes, k_max=250)",local_cpp_scan
64000,64000,64000,16.3724604307158,0.9999704040834092,0.16,plateau_0.16,20,0.0008767186246235974,0.13785574321571986,0.13697902459109626,0.13698307873086873,0.012558763459289437,0.08493592624647137,0.07939376335498731,0.01608428092924606,0.04982327346484979,0.13452291455334134,-0.00018370819096036328,0.06685836781817156,0.024211920120694813,0.1450469872091498,0.0001,"ideal.txt (3:1:1, 183 modes, k_max=250)",local_cpp_scan
