a_mid,A_local,A_local_minus_Areq,rel_dE,mask_plateau_0p06,mask_plateau_0p08,mask_plateau_0p10,mask_plateau_0p12,mask_plateau_0p14,mask_plateau_0p16
0.0008767186246235974,0.04983634507878646,-0.029741126467161212,0.024211920120694813,1,1,1,1,1,1
0.0011441129397095607,0.13452291455334134,0.054945443007393666,0.06697670956574778,1,1,1,1,1,1
0.0014930610369693524,0.04982327346484979,-0.02975419808109788,0.026586876159822453,1,1,1,1,1,1
0.0019484363673763706,0.08007306137393974,0.0004955898279920684,0.0438959336112814,1,1,1,1,1,1
0.002542698646413579,0.09028560828150103,0.010708136735553361,0.05176678819319248,1,1,1,1,1,1
0.0033182076226483054,0.06925950074264621,-0.010317970803301463,0.04187905626714515,1,1,1,1,1,1
0.004330242532881903,0.08853835814517934,0.008960886599231666,0.05587643122840866,1,1,1,1,1,1
0.0056509424743633315,0.08017982183580083,0.0006023502898531569,0.05359613146920215,1,1,1,1,1,1
0.007374448568660451,0.07250187339715103,-0.007075598148796644,0.051208384910345864,1,1,1,1,1,1
0.009623614456975203,0.0803588838850433,0.0007814123390956218,0.05982117073692632,1,1,1,1,1,1
0.012558763459289437,0.08493592624647137,0.005358454700523693,0.06725149941556569,1,1,1,1,1,1
0.01638911661845162,0.0786213301474973,-0.0009561413984503775,0.06674002607059536,1,1,1,1,1,1
0.021387706234289105,0.07825412641563763,-0.001323345130310044,0.07117878860088243,1,1,1,1,1,1
0.027910837942860756,0.0792385297416885,-0.00033894180425916853,0.07759748197952178,1,1,1,1,1,1
0.036423488621875076,0.07957156623406464,-5.905311883033781e-06,0.08447897711566188,1,1,1,1,1,1
0.04753245051631309,0.0800961859237021,0.0005187143777544284,0.0928825767056962,1,1,1,1,1,1
0.06202958413843013,0.07945278703927311,-0.00012468450667456332,0.10157060660223963,0,1,1,1,1,1
0.08094826306222241,0.07893450721937813,-0.000642964326569545,0.11231606000509423,0,0,1,1,1,1
0.10563703406696098,0.07933473967070151,-0.00024273187524616324,0.12716863112301785,0,0,0,1,1,1
0.13785574321571986,0.07898096997131271,-0.0005965015746349639,0.1450469872091498,0,0,0,0,1,1
0.17990097985439593,0.07829709989017171,-0.0012803716557759637,0.16818593676762503,0,0,0,0,0,0
0.23476978033426782,0.07779515936400036,-0.0017823121819473126,0.20089555077245977,0,0,0,0,0,0
0.3063732604614469,0.07655590723041442,-0.0030215643155332567,0.2473961304638373,0,0,0,0,0,0
