a_mid,A_local,A_local_minus_Areq,rel_dE,mask_plateau_0p06,mask_plateau_0p08,mask_plateau_0p10,mask_plateau_0p12,mask_plateau_0p14,mask_plateau_0p16
0.0011616703348980054,0.05230488429094653,-0.027272587255001146,0.0252730073782642,1,1,1,1,1,1
0.0014971297667893007,0.07841964363893562,-0.001157827907012049,0.03887376007840331,1,1,1,1,1,1
0.0019294609419490598,0.11501537599559558,0.03543790444964791,0.05932082125151361,1,1,1,1,1,1
0.0024866378380083913,0.08402083523845694,0.004443363692509264,0.046067719572724194,1,1,1,1,1,1
0.003204712571776068,0.06622072400246205,-0.01335674754348562,0.0380615174943799,1,1,1,1,1,1
0.004130148150534546,0.07878460504312577,-0.0007928665028218984,0.047074556576937376,1,1,1,1,1,1
0.0053228248597378056,0.08137296725670493,0.0017954957107572528,0.05102301354395289,1,1,1,1,1,1
0.006859914815350111,0.07881321235366093,-0.0007642591922867453,0.05207500274620074,1,1,1,1,1,1
0.008840875383635668,0.08495337035298926,0.00537589880704159,0.05921570572833407,1,1,1,1,1,1
0.011393884567498964,0.07525644889285563,-0.0043210226530920465,0.05575835584905344,1,1,1,1,1,1
0.014684134760884327,0.08067231518144072,0.0010948436354930452,0.06330056816420249,1,1,1,1,1,1
0.018924521518401013,0.08053987402515331,0.0009624024792056346,0.06746736932054254,1,1,1,1,1,1
0.02438941895673904,0.08222591747647257,0.0026484459305248925,0.07386309836838499,1,1,1,1,1,1
0.031432433124872046,0.07793272076864448,-0.0016447507773031944,0.07558984291428132,1,1,1,1,1,1
0.04050928207441201,0.07909452997973923,-0.00048294156620844186,0.0829899198626545,1,1,1,1,1,1
0.05220728308448308,0.0797490481017357,0.00017157655578803332,0.09124945808616755,1,1,1,1,1,1
0.06728335501124567,0.07984900340699601,0.00027153186104833527,0.10053785222797067,0,1,1,1,1,1
0.0867129947031248,0.07915307929909404,-0.0004243922468536304,0.11080134352987965,0,0,1,1,1,1
0.11175339649943747,0.07961931281772146,4.184127177378483e-05,0.1253420630619335,0,0,0,1,1,1
0.14402479895796325,0.07845979702925965,-0.0011176745166880248,0.14121712078711174,0,0,0,0,0,1
0.18561532234938508,0.07848762083839203,-0.0010898507075556424,0.16449699142179847,0,0,0,0,0,0
0.23921608042599662,0.07771919119215112,-0.0018582803537965514,0.19495619895132996,0,0,0,0,0,0
0.3082953088682145,0.0765318184226798,-0.0030456531232678774,0.2384686530791495,0,0,0,0,0,0
