N_geom,N_int_target,N_int_actual,L_dimless,d_min_dimless,fit_method,plateau_frac,n_plateau,A_K,a_K,A_spread,A_ratio,a_fit_ref_dimless,a_nc_m,a_nc_over_rc,lambda_K,p_exp,root_count,min_root_count,root_choice,a_star_m,a_star_over_rc,E_star_J,delta_lambda_over_rc,is_min,status,uses_local_sst_core,ideal_source,notes,bs_backend,t_geometry_s,t_scan_s,t_fit_s,t_total_block_s,contact_model,root_selection_mode,closure_x_from_A,closure_x_minus_1,beta_dimless,F_at_x1,contact_force_at_x1,continuation_prev_a_star_over_rc,continuation_jump,theorem_candidate_no_contact,theorem_candidate_full_model,root_solver_space,F_at_root,root_xtol,root_rtol
32000,32000,32000,16.3724604307158,0.9999704050183138,global,,0,0.07978703349940287,-0.24668013685448742,nan,1.0026334331737872,0.026081390161629112,1.4108241611809484e-15,1.0013158484263356,0.0,2,1,1,closest_to_a_nc,1.4108241646030852e-15,1.001315850855157,1.5488993849344755e-36,0.0,True,stable,True,"ideal.txt (3:1:1, 183 modes, k_max=250)",no-contact case,torch,54.7269785389999,38.52962355799991,0.0012531040001704241,93.26942511099969,legacy,continuation,1.0013158508551572,0.0013158508551571746,6.282999341185258,-0.0026334331737871697,0.0,nan,nan,True,True,dimensionless_x,-2.220446049250313e-16,1e-14,1e-13
32000,32000,32000,16.3724604307158,0.9999704050183138,global,,0,0.07978703349940287,-0.24668013685448742,nan,1.0026334331737872,0.026081390161629112,1.4108241611809484e-15,1.0013158484263356,0.001,2,1,1,continuation,1.4052079600386254e-15,0.9973298157466495,1.550969823243326e-36,-0.00398603510850748,True,stable,True,"ideal.txt (3:1:1, 183 modes, k_max=250)",,torch,54.7269785389999,38.52962355799991,0.0012531040001704241,93.28457110099998,legacy,continuation,1.0013158508551572,0.0013158508551571746,6.282999341185258,0.005405952107979374,0.008039385281766544,1.001315850855157,0.00398603510850748,False,True,dimensionless_x,3.608224830031759e-16,1e-14,1e-13
32000,32000,32000,16.3724604307158,0.9999704050183138,global,,0,0.07978703349940287,-0.24668013685448742,nan,1.0026334331737872,0.026081390161629112,1.4108241611809484e-15,1.0013158484263356,0.003,2,1,1,continuation,1.3943490213028673e-15,0.9896228117468713,1.5550399434197996e-36,-0.011693039108285674,True,stable,True,"ideal.txt (3:1:1, 183 modes, k_max=250)",,torch,54.7269785389999,38.52962355799991,0.0012531040001704241,93.2994837819997,legacy,continuation,1.0013158508551572,0.0013158508551571746,6.282999341185258,0.021484722671512458,0.024118155845299628,0.9973298157466495,0.007707003999778195,False,False,dimensionless_x,5.009881398621019e-15,1e-14,1e-13
32000,32000,32000,16.3724604307158,0.9999704050183138,global,,0,0.07978703349940287,-0.24668013685448742,nan,1.0026334331737872,0.026081390161629112,1.4108241611809484e-15,1.0013158484263356,0.01,2,1,1,continuation,1.3597193873949798e-15,0.9650448365382922,1.568613094134683e-36,-0.03627101431686475,True,drift,True,"ideal.txt (3:1:1, 183 modes, k_max=250)",,torch,54.7269785389999,38.52962355799991,0.0012531040001704241,93.31572959799996,legacy,continuation,1.0013158508551572,0.0013158508551571746,6.282999341185258,0.07776041964387827,0.08039385281766544,0.9896228117468713,0.024577975208579073,False,False,dimensionless_x,2.7755575615628914e-16,1e-14,1e-13
32000,32000,32000,16.3724604307158,0.9999704050183138,plateau_0.08,0.08,17,0.07959323034894696,-0.24610669373523025,0.01526384990359534,1.0001980309589276,0.01141587798684425,1.4091096695328204e-15,1.0000990081520464,0.0,2,1,1,closest_to_a_nc,1.409109672950799e-15,1.0000990105779166,1.545812978484605e-36,0.0,True,stable,True,"ideal.txt (3:1:1, 183 modes, k_max=250)",n_plateau=17; no-contact case,torch,54.7269785389999,38.52962355799991,0.0012531040001704241,93.32680466800002,legacy,continuation,1.0000990105779166,9.901057791661394e-05,6.282999341185258,-0.00019803095892778622,0.0,nan,nan,True,True,dimensionless_x,0.0,1e-14,1e-13
32000,32000,32000,16.3724604307158,0.9999704050183138,plateau_0.08,0.08,17,0.07959323034894696,-0.24610669373523025,0.01526384990359534,1.0001980309589276,0.01141587798684425,1.4091096695328204e-15,1.0000990081520464,0.001,2,1,1,continuation,1.4035096863679184e-15,0.9961244859910117,1.5478760682507794e-36,-0.003974524586904948,True,stable,True,"ideal.txt (3:1:1, 183 modes, k_max=250)",n_plateau=17,torch,54.7269785389999,38.52962355799991,0.0012531040001704241,93.34205872299981,legacy,continuation,1.0000990105779166,9.901057791661394e-05,6.282999341185258,0.007841354322838757,0.008039385281766544,1.0000990105779166,0.003974524586904948,False,True,dimensionless_x,-9.194034422677078e-17,1e-14,1e-13
32000,32000,32000,16.3724604307158,0.9999704050183138,plateau_0.08,0.08,17,0.07959323034894696,-0.24610669373523025,0.01526384990359534,1.0001980309589276,0.01141587798684425,1.4091096695328204e-15,1.0000990081520464,0.003,2,1,1,continuation,1.3926812036691595e-15,0.9884390978051433,1.5519318958159602e-36,-0.01165991277277334,True,stable,True,"ideal.txt (3:1:1, 183 modes, k_max=250)",n_plateau=17,torch,54.7269785389999,38.52962355799991,0.0012531040001704241,93.35706846699986,legacy,continuation,1.0000990105779166,9.901057791661394e-05,6.282999341185258,0.02392012488637184,0.024118155845299628,0.9961244859910117,0.0076853881858683915,False,False,dimensionless_x,5.259681579161679e-15,1e-14,1e-13
32000,32000,32000,16.3724604307158,0.9999704050183138,plateau_0.08,0.08,17,0.07959323034894696,-0.24610669373523025,0.01526384990359534,1.0001980309589276,0.01141587798684425,1.4091096695328204e-15,1.0000990081520464,0.01,2,1,1,continuation,1.358141492230004e-15,0.9639249440107053,1.56545870744368e-36,-0.03617406656721134,True,drift,True,"ideal.txt (3:1:1, 183 modes, k_max=250)",n_plateau=17,torch,54.7269785389999,38.52962355799991,0.0012531040001704241,93.37197055099978,legacy,continuation,1.0000990105779166,9.901057791661394e-05,6.282999341185258,0.08019582185873765,0.08039385281766544,0.9884390978051433,0.024514153794438,False,False,dimensionless_x,-2.220446049250313e-16,1e-14,1e-13
32000,32000,32000,16.3724604307158,0.9999704050183138,plateau_0.12,0.12,18,0.07964105459488152,-0.24673127012633367,0.014833798404438088,1.0007990081576936,0.014455387009995126,1.4095329435174889e-15,1.0003994218823589,0.0,2,1,1,closest_to_a_nc,1.409532946936494e-15,1.0003994243089576,1.541978824922927e-36,0.0,True,stable,True,"ideal.txt (3:1:1, 183 modes, k_max=250)",n_plateau=18; no-contact case,torch,54.7269785389999,38.52962355799991,0.0012531040001704241,93.3825602969996,legacy,continuation,1.0003994243089576,0.0003994243089575633,6.282999341185258,-0.0007990081576936259,0.0,nan,nan,True,True,dimensionless_x,0.0,1e-14,1e-13
32000,32000,32000,16.3724604307158,0.9999704050183138,plateau_0.12,0.12,18,0.07964105459488152,-0.24673127012633367,0.014833798404438088,1.0007990081576936,0.014455387009995126,1.4095329435174889e-15,1.0003994218823589,0.001,2,1,1,continuation,1.4039289605036795e-15,0.9964220608756248,1.5440437269210914e-36,-0.00397736343333277,True,stable,True,"ideal.txt (3:1:1, 183 modes, k_max=250)",n_plateau=18,torch,54.7269785389999,38.52962355799991,0.0012531040001704241,93.3980798939997,legacy,continuation,1.0003994243089576,0.0003994243089575633,6.282999341185258,0.007240377124072918,0.008039385281766544,1.0003994243089576,0.00397736343333277,False,True,dimensionless_x,-2.5326962749261384e-16,1e-14,1e-13
