dataset,quantity,fit_method,lambda_K,n_points,Nint_min,Nint_max,alpha_best,y_inf,target,y_inf_minus_target,rms_fit,sse_fit,last2_half_range,method,tail_points,tail_enough,tail_err_contracting,tail_step_contracting,tail_sign_changes,tail_last_abs_err,tail_prev_abs_err,tail_last_step,tail_prev_step,tail_quasi_monotone,root_choice_summary,raw_n_vals,raw_y_vals
main_no_contact,A_K,plateau_0.12,0.0,3,32000.0,64000.0,0.25,0.07856237020102583,0.07957747154594767,-0.0010151013449218454,4.320127311907148e-05,5.599049997325826e-09,8.326288921731151e-05,powerlaw_gridsearch,3,True,False,False,1.0,0.0001246845066736335,4.184127176098951e-05,0.00016652577843462302,2.1741777172859522e-05,False,,32000;48000;64000,0.0796410545949;0.0796193128177;0.0794527870393
main_no_contact,a_nc_over_rc,plateau_0.12,0.0,3,32000.0,64000.0,0.25,0.9936206263989327,1.0,-0.0063793736010673285,0.0002715272161772207,2.2118108737485345e-07,0.0005232924422214902,powerlaw_gridsearch,3,True,False,False,1.0,0.0007837253949414258,0.0002628594895015546,0.0010465848844429804,0.00013656239285730898,False,,32000;48000;64000,1.00039942188;1.00026285949;0.999216274605
shiftfree_postcheck,a_star_over_rc,plateau_0.12,0.0,3,32000.0,64000.0,0.25,0.9936206288090886,1.0,-0.006379371190911365,0.0002715272168358259,2.2118108844782886e-07,0.0005232924434907527,powerlaw_gridsearch,3,True,False,False,1.0,0.0007837229712125415,0.0002628619157689638,0.0010465848869815053,0.00013656239318859953,False,targeted_x_nc:3,32000;48000;64000,1.00039942431;1.00026286192;0.999216277029
shiftfree_postcheck,F_at_x1,plateau_0.12,0.0,3,32000.0,64000.0,0.25,0.012756139711422181,0.0,0.012756139711422181,0.000542883209026413,8.841665359284479e-07,0.001046312324327059,powerlaw_gridsearch,3,True,False,False,1.0,0.0015668317207293558,0.000525792927924762,0.002092624648654118,0.0002732152297688639,False,targeted_x_nc:3,32000;48000;64000,-0.000799008157694;-0.000525792927925;0.00156683172073
shiftfree_postcheck,a_star_over_rc,plateau_0.12,0.001,3,32000.0,64000.0,0.25,0.9936815791533944,1.0,-0.00631842084660561,0.00026893360461728957,2.169758510773459e-07,0.0005182933795092604,powerlaw_gridsearch,3,True,False,False,1.0,0.0007762381584301981,0.00026034860058832265,0.0010365867590185207,0.00013525609720899112,False,targeted_x_nc:3,32000;48000;64000,1.0003956047;1.0002603486;0.999223761842
shiftfree_postcheck,F_at_x1,plateau_0.12,0.001,3,32000.0,64000.0,0.25,0.012756139711422181,0.0,0.012756139711422181,0.000542883209026413,8.841665359284479e-07,0.001046312324327059,powerlaw_gridsearch,3,True,False,False,1.0,0.0015668317207293558,0.000525792927924762,0.002092624648654118,0.0002732152297688639,False,targeted_x_nc:3,32000;48000;64000,-0.000799008157694;-0.000525792927925;0.00156683172073
shiftfree_postcheck,a_star_over_rc,plateau_0.12,0.003,3,32000.0,64000.0,0.25,0.9938000534800047,1.0,-0.006199946519995336,0.0002638920965223283,2.0891711582084958e-07,0.0005085761938071753,powerlaw_gridsearch,3,True,False,False,1.0,0.0007616888815029643,0.00025546350611138635,0.0010171523876143507,0.00013271714549101254,False,targeted_x_nc:3,32000;48000;64000,1.00038818065;1.00025546351;0.999238311118
shiftfree_postcheck,F_at_x1,plateau_0.12,0.003,3,32000.0,64000.0,0.25,0.012756139711422181,0.0,0.012756139711422181,0.000542883209026413,8.841665359284479e-07,0.001046312324327059,powerlaw_gridsearch,3,True,False,False,1.0,0.0015668317207293558,0.000525792927924762,0.002092624648654118,0.0002732152297688639,False,targeted_x_nc:3,32000;48000;64000,-0.000799008157694;-0.000525792927925;0.00156683172073
shiftfree_postcheck,a_star_over_rc,plateau_0.12,0.01,3,32000.0,64000.0,0.25,0.9941818983821692,1.0,-0.0058181016178308065,0.00024764249964548873,1.8398042289199767e-07,0.0004772568197051186,powerlaw_gridsearch,3,True,False,False,1.0,0.0007147927685382527,0.00023972087087198446,0.0009545136394102371,0.0001245358106800598,False,targeted_x_nc:3,32000;48000;64000,1.00036425668;1.00023972087;0.999285207231
shiftfree_postcheck,F_at_x1,plateau_0.12,0.01,3,32000.0,64000.0,0.25,0.012756139711422181,0.0,0.012756139711422181,0.000542883209026413,8.841665359284479e-07,0.001046312324327059,powerlaw_gridsearch,3,True,False,False,1.0,0.0015668317207293558,0.000525792927924762,0.002092624648654118,0.0002732152297688639,False,targeted_x_nc:3,32000;48000;64000,-0.000799008157694;-0.000525792927925;0.00156683172073
