fit_method,n_main_rows,A_inf,A_inf_minus_target,A_alpha,A_tail_quasi_monotone,anc_inf,anc_inf_minus_1,anc_alpha,anc_tail_quasi_monotone,theorem_no_contact_ok,n_shiftfree_rows,astar_inf,astar_inf_minus_1,astar_alpha,astar_tail_quasi_monotone,F1_inf,F1_inf_minus_0,F1_alpha,F1_tail_quasi_monotone,shiftfree_root_choice_summary,theorem_shiftfree_ok
plateau_0.04,10,0.0763954474832955,-0.0031820240626521668,0.25,False,0.9799808719536297,-0.020019128046370294,0.25,False,False,10,0.9799808719536297,-0.020019128046370294,0.25,False,0.039986493675098156,0.039986493675098156,0.25,False,targeted_x_nc:10,False
plateau_0.06,10,0.07757269495667377,-0.0020047765892739072,0.4,False,0.9874056684702599,-0.0125943315297401,0.4,False,False,10,0.9874056684702599,-0.0125943315297401,0.4,False,0.025192765619808127,0.025192765619808127,0.4,False,targeted_x_nc:10,False
plateau_0.08,10,0.07926094651570585,-0.000316525030241821,3.22,False,0.9980103527329119,-0.001989647267088057,3.22,False,False,10,0.9980103527329119,-0.001989647267088057,3.22,False,0.003977570838739889,0.003977570838739889,3.22,False,targeted_x_nc:10,False
plateau_0.10,10,0.07927152502309871,-0.00030594652284895996,2.54,False,0.9980761050298466,-0.0019238949701534391,2.54,False,False,10,0.9980761050298466,-0.0019238949701534391,2.54,False,0.0038446373942944982,0.0038446373942944982,2.54,False,targeted_x_nc:10,False
plateau_0.12,10,0.07912746103083801,-0.00045001051510966394,1.12,False,0.9971702115352907,-0.002829788464709271,1.12,False,False,10,0.9971702115352907,-0.002829788464709271,1.12,False,0.0056549989132276,0.0056549989132276,1.12,False,targeted_x_nc:10,False
