a_mid,A_local,A_local_minus_Areq,rel_dE,mask_plateau_0p01,mask_plateau_0p02,mask_plateau_0p04,mask_plateau_0p06,mask_plateau_0p08,mask_plateau_0p10,mask_plateau_0p12,mask_plateau_0p14,mask_plateau_0p16
0.0017272137162901559,0.05620740883434054,-0.02337006271160713,0.026926181131270373,1,1,1,1,1,1,1,1,1
0.002187089135563547,0.08427585334032506,0.004698381794377385,0.041489535161506025,1,1,1,1,1,1,1,1,1
0.0027694076545282274,0.12360433985887495,0.04402686831292728,0.06348516769950599,1,1,1,1,1,1,1,1,1
0.0035067700864342276,0.048157405446885536,-0.03142006609906214,0.026411129352283742,1,1,1,1,1,1,1,1,1
0.004440457301041442,0.07959323034894507,1.5758802997395405e-05,0.0448357482676446,1,1,1,1,1,1,1,1,1
0.005622741313623346,0.09244669161845558,0.012869220072507903,0.05452072277338476,1,1,1,1,1,1,1,1,1
0.007119811707796831,0.07248156757171624,-0.007095903974231432,0.04521117495253662,1,1,1,1,1,1,1,1,1
0.009015481226507754,0.07736566289279313,-0.00221180865315454,0.05054278167089592,1,1,1,1,1,1,1,1,1
0.01141587798684425,0.09041114234292666,0.010833670796978986,0.062209605168994375,0,1,1,1,1,1,1,1,1
0.014455387009995126,0.0712175795813289,-0.008359891964618768,0.05225368437655195,0,1,1,1,1,1,1,1,1
0.018304173699959028,0.08469810522948855,0.005120633683540876,0.06557092319408377,0,1,1,1,1,1,1,1,1
0.023177710469225607,0.0747863698898541,-0.004791101656093574,0.06196032863664986,0,0,1,1,1,1,1,1,1
0.029348839854838837,0.0820243519429313,0.002446880396983625,0.07244574140724923,0,0,1,1,1,1,1,1,1
0.03716304947240784,0.07880119164826659,-0.000776279897681087,0.07503493572683648,0,0,1,1,1,1,1,1,1
0.04705781396878375,0.08046008421527348,0.000882612669325808,0.08282966078717352,0,0,0,1,1,1,1,1,1
0.05958708682302286,0.08055882638820144,0.0009813548422537705,0.09042083831616161,0,0,0,1,1,1,1,1,1
0.07545231315695632,0.07827936089508719,-0.0012981106508604817,0.09659667277707393,0,0,0,0,1,1,1,1,1
0.09554169979217308,0.07968887884082008,0.00011140729487241208,0.10885062507995631,0,0,0,0,0,1,1,1,1
0.1209799410680645,0.07890149091072735,-0.0006759806352203274,0.12093942891299791,0,0,0,0,0,0,0,1,1
0.15319118429617243,0.0786638232329211,-0.000913648313026566,0.13716362467025725,0,0,0,0,0,0,0,0,1
0.19397875994054917,0.07817454857663748,-0.0014029229693101886,0.157979537950535,0,0,0,0,0,0,0,0,0
0.24562614017870302,0.07748159013843606,-0.0020958814075116156,0.18595648859235997,0,0,0,0,0,0,0,0,0
0.31102477795805356,0.07647797497677337,-0.003099496569174298,0.2254766494965717,0,0,0,0,0,0,0,0,0
