N_geom,N_int_actual,fit_method,plateau_frac,p_exp,lambda_K,A_K,A_ratio,a_nc_over_rc,a_star_over_rc,is_min,E_star_J,root_count,min_root_count,root_choice,continuation_prev_a_star_over_rc,continuation_jump,beta_dimless,contact_model,contact_force_at_x1,F_at_x1,legacy_contact_model,legacy_a_star_over_rc,legacy_F_at_x1,delta_a_star_vs_legacy,theorem_candidate_full_model
16000,2000,plateau_0.12,0.12,2,0.003,0.09017285877214817,1.1331455626870826,1.0644930987046834,1.059836484506365,True,1.4559232150625422e-36,1,1,continuation,1.059836484506365,0.0,6.2830032610977185,barrier_flat_at_rc,0.0,-0.13314556268708255,legacy,1.0463068115627558,-0.10902745801527239,0.013529672943609183,False
16000,2000,plateau_0.12,0.12,2,0.01,0.09017285877214817,1.1331455626870826,1.0644930987046834,1.059836484506365,True,1.4561149149158709e-36,1,1,continuation,1.059836484506365,0.0,6.2830032610977185,barrier_flat_at_rc,0.0,-0.13314556268708255,legacy,1.019763412569132,-0.052751880447715324,0.040073071937233085,False
32000,2000,plateau_0.12,0.12,2,0.0,0.09017285877214817,1.1331455626870826,1.0644930987046834,1.0598367492863097,True,1.4558410561114944e-36,1,1,closest_to_a_nc,nan,nan,6.283004830786348,barrier_flat_at_rc,0.0,-0.13314556268708255,legacy,1.0598367492863097,-0.13314556268708255,0.0,False
32000,2000,plateau_0.12,0.12,2,0.001,0.09017285877214817,1.1331455626870826,1.0644930987046834,1.0598367492863097,True,1.455868442023284e-36,1,1,continuation,1.0598367492863097,0.0,6.283004830786348,barrier_flat_at_rc,0.0,-0.13314556268708255,legacy,1.0598367492863097,-0.1251062012937634,0.0,False
32000,2000,plateau_0.12,0.12,2,0.003,0.09017285877214817,1.1331455626870826,1.0644930987046834,1.0598367492863097,True,1.455923213846863e-36,1,1,continuation,1.0598367492863097,0.0,6.283004830786348,barrier_flat_at_rc,0.0,-0.13314556268708255,legacy,1.0463070729625779,-0.10902747850712513,0.01352967632373181,False
32000,2000,plateau_0.12,0.12,2,0.01,0.09017285877214817,1.1331455626870826,1.0644930987046834,1.0598367492863097,True,1.4561149152293895e-36,1,1,continuation,1.0598367492863097,0.0,6.283004830786348,barrier_flat_at_rc,0.0,-0.13314556268708255,legacy,1.0197636673375874,-0.05275194875389115,0.04007308194872228,False
4000,4000,plateau_0.12,0.12,2,0.0,0.08092030434111575,1.016874534577198,1.008401968286494,1.0067450500954307,True,1.5212184244472172e-36,1,1,closest_to_a_nc,nan,nan,6.283001670797554,barrier_flat_at_rc,0.0,-0.016874534577197897,legacy,1.0067450500954307,-0.016874534577197897,0.0,False
4000,4000,plateau_0.12,0.12,2,0.001,0.08092030434111575,1.016874534577198,1.008401968286494,1.0067450500954307,True,1.5212187585662304e-36,1,1,continuation,1.0067450500954307,0.0,6.283001670797554,barrier_flat_at_rc,0.0,-0.016874534577197897,legacy,1.0067450500954307,-0.008835159432942245,0.0,False
4000,4000,plateau_0.12,0.12,2,0.003,0.08092030434111575,1.016874534577198,1.008401968286494,1.0067450500954307,True,1.5212194268042565e-36,1,1,continuation,1.0067450500954307,0.0,6.283001670797554,barrier_flat_at_rc,0.0,-0.016874534577197897,legacy,0.9938931324038741,0.007243590855569058,0.01285191769155658,False
4000,4000,plateau_0.12,0.12,2,0.01,0.08092030434111575,1.016874534577198,1.008401968286494,1.0067450500954307,True,1.5212217656373486e-36,1,1,continuation,1.0067450500954307,0.0,6.283001670797554,barrier_flat_at_rc,0.0,-0.016874534577197897,legacy,0.9686793980776875,0.06351921686535864,0.038065652017743146,False
8000,4000,plateau_0.12,0.12,2,0.0,0.08092030434111575,1.016874534577198,1.008401968286494,1.0067450500954307,True,1.5212184244472172e-36,1,1,closest_to_a_nc,nan,nan,6.283001670797554,barrier_flat_at_rc,0.0,-0.016874534577197897,legacy,1.0067450500954307,-0.016874534577197897,0.0,False
8000,4000,plateau_0.12,0.12,2,0.001,0.08092030434111575,1.016874534577198,1.008401968286494,1.0067450500954307,True,1.5212187585662304e-36,1,1,continuation,1.0067450500954307,0.0,6.283001670797554,barrier_flat_at_rc,0.0,-0.016874534577197897,legacy,1.0067450500954307,-0.008835159432942245,0.0,False
8000,4000,plateau_0.12,0.12,2,0.003,0.08092030434111575,1.016874534577198,1.008401968286494,1.0067450500954307,True,1.5212194268042565e-36,1,1,continuation,1.0067450500954307,0.0,6.283001670797554,barrier_flat_at_rc,0.0,-0.016874534577197897,legacy,0.9938931324038741,0.007243590855569058,0.01285191769155658,False
8000,4000,plateau_0.12,0.12,2,0.01,0.08092030434111575,1.016874534577198,1.008401968286494,1.0067450500954307,True,1.5212217656373486e-36,1,1,continuation,1.0067450500954307,0.0,6.283001670797554,barrier_flat_at_rc,0.0,-0.016874534577197897,legacy,0.9686793980776875,0.06351921686535864,0.038065652017743146,False
16000,4000,plateau_0.12,0.12,2,0.0,0.08092030434111575,1.016874534577198,1.008401968286494,1.0067450500954307,True,1.5212184244472172e-36,1,1,closest_to_a_nc,nan,nan,6.283001670797554,barrier_flat_at_rc,0.0,-0.016874534577197897,legacy,1.0067450500954307,-0.016874534577197897,0.0,False
16000,4000,plateau_0.12,0.12,2,0.001,0.08092030434111575,1.016874534577198,1.008401968286494,1.0067450500954307,True,1.5212187585662304e-36,1,1,continuation,1.0067450500954307,0.0,6.283001670797554,barrier_flat_at_rc,0.0,-0.016874534577197897,legacy,1.0067450500954307,-0.008835159432942245,0.0,False
16000,4000,plateau_0.12,0.12,2,0.003,0.08092030434111575,1.016874534577198,1.008401968286494,1.0067450500954307,True,1.5212194268042565e-36,1,1,continuation,1.0067450500954307,0.0,6.283001670797554,barrier_flat_at_rc,0.0,-0.016874534577197897,legacy,0.9938931324038741,0.007243590855569058,0.01285191769155658,False
16000,4000,plateau_0.12,0.12,2,0.01,0.08092030434111575,1.016874534577198,1.008401968286494,1.0067450500954307,True,1.5212217656373486e-36,1,1,continuation,1.0067450500954307,0.0,6.283001670797554,barrier_flat_at_rc,0.0,-0.016874534577197897,legacy,0.9686793980776875,0.06351921686535864,0.038065652017743146,False
32000,4000,plateau_0.12,0.12,2,0.0,0.08092030434111575,1.016874534577198,1.008401968286494,1.0067450500954307,True,1.5212184244472172e-36,1,1,closest_to_a_nc,nan,nan,6.283001670797554,barrier_flat_at_rc,0.0,-0.016874534577197897,legacy,1.0067450500954307,-0.016874534577197897,0.0,False
32000,4000,plateau_0.12,0.12,2,0.001,0.08092030434111575,1.016874534577198,1.008401968286494,1.0067450500954307,True,1.5212187585662304e-36,1,1,continuation,1.0067450500954307,0.0,6.283001670797554,barrier_flat_at_rc,0.0,-0.016874534577197897,legacy,1.0067450500954307,-0.008835159432942245,0.0,False
32000,4000,plateau_0.12,0.12,2,0.003,0.08092030434111575,1.016874534577198,1.008401968286494,1.0067450500954307,True,1.5212194268042565e-36,1,1,continuation,1.0067450500954307,0.0,6.283001670797554,barrier_flat_at_rc,0.0,-0.016874534577197897,legacy,0.9938931324038741,0.007243590855569058,0.01285191769155658,False
32000,4000,plateau_0.12,0.12,2,0.01,0.08092030434111575,1.016874534577198,1.008401968286494,1.0067450500954307,True,1.5212217656373486e-36,1,1,continuation,1.0067450500954307,0.0,6.283001670797554,barrier_flat_at_rc,0.0,-0.016874534577197897,legacy,0.9686793980776875,0.06351921686535864,0.038065652017743146,False
8000,8000,plateau_0.12,0.12,2,0.0,0.0804227275602159,1.0106218003393106,1.0052968693060382,1.0067447727921763,True,1.5262029211148115e-36,1,1,closest_to_a_nc,nan,nan,6.282999940173861,barrier_flat_at_rc,0.0,-0.010621800339310594,legacy,1.0067447727921763,-0.010621800339310594,0.0,False
8000,8000,plateau_0.12,0.12,2,0.001,0.0804227275602159,1.0106218003393106,1.0052968693060382,1.0067447727921763,True,1.526203255206675e-36,1,1,continuation,1.0067447727921763,0.0,6.282999940173861,barrier_flat_at_rc,0.0,-0.010621800339310594,legacy,1.0067447727921763,-0.0025824176640969424,0.0,False
8000,8000,plateau_0.12,0.12,2,0.003,0.0804227275602159,1.0106218003393106,1.0052968693060382,1.0067447727921763,True,1.526203923390402e-36,1,1,continuation,1.0067447727921763,0.0,6.282999940173861,barrier_flat_at_rc,0.0,-0.010621800339310594,legacy,0.9938928586406169,0.01349634768633036,0.012851914151559396,False
8000,8000,plateau_0.12,0.12,2,0.01,0.0804227275602159,1.0106218003393106,1.0052968693060382,1.0067447727921763,True,1.5262062620334458e-36,1,1,continuation,1.0067447727921763,0.0,6.282999940173861,barrier_flat_at_rc,0.0,-0.010621800339310594,legacy,0.9686791312594406,0.06977202641282593,0.03806564153273573,False
16000,8000,plateau_0.12,0.12,2,0.0,0.0804227275602159,1.0106218003393106,1.0052968693060382,1.0067447727921763,True,1.5262029211148115e-36,1,1,closest_to_a_nc,nan,nan,6.282999940173861,barrier_flat_at_rc,0.0,-0.010621800339310594,legacy,1.0067447727921763,-0.010621800339310594,0.0,False
16000,8000,plateau_0.12,0.12,2,0.001,0.0804227275602159,1.0106218003393106,1.0052968693060382,1.0067447727921763,True,1.526203255206675e-36,1,1,continuation,1.0067447727921763,0.0,6.282999940173861,barrier_flat_at_rc,0.0,-0.010621800339310594,legacy,1.0067447727921763,-0.0025824176640969424,0.0,False
16000,8000,plateau_0.12,0.12,2,0.003,0.0804227275602159,1.0106218003393106,1.0052968693060382,1.0067447727921763,True,1.526203923390402e-36,1,1,continuation,1.0067447727921763,0.0,6.282999940173861,barrier_flat_at_rc,0.0,-0.010621800339310594,legacy,0.9938928586406169,0.01349634768633036,0.012851914151559396,False
16000,8000,plateau_0.12,0.12,2,0.01,0.0804227275602159,1.0106218003393106,1.0052968693060382,1.0067447727921763,True,1.5262062620334458e-36,1,1,continuation,1.0067447727921763,0.0,6.282999940173861,barrier_flat_at_rc,0.0,-0.010621800339310594,legacy,0.9686791312594406,0.06977202641282593,0.03806564153273573,False
32000,8000,plateau_0.12,0.12,2,0.0,0.0804227275602159,1.0106218003393106,1.0052968693060382,1.0067447727921763,True,1.5262029211148115e-36,1,1,closest_to_a_nc,nan,nan,6.282999940173861,barrier_flat_at_rc,0.0,-0.010621800339310594,legacy,1.0067447727921763,-0.010621800339310594,0.0,False
32000,8000,plateau_0.12,0.12,2,0.001,0.0804227275602159,1.0106218003393106,1.0052968693060382,1.0067447727921763,True,1.526203255206675e-36,1,1,continuation,1.0067447727921763,0.0,6.282999940173861,barrier_flat_at_rc,0.0,-0.010621800339310594,legacy,1.0067447727921763,-0.0025824176640969424,0.0,False
32000,8000,plateau_0.12,0.12,2,0.003,0.0804227275602159,1.0106218003393106,1.0052968693060382,1.0067447727921763,True,1.526203923390402e-36,1,1,continuation,1.0067447727921763,0.0,6.282999940173861,barrier_flat_at_rc,0.0,-0.010621800339310594,legacy,0.9938928586406169,0.01349634768633036,0.012851914151559396,False
32000,8000,plateau_0.12,0.12,2,0.01,0.0804227275602159,1.0106218003393106,1.0052968693060382,1.0067447727921763,True,1.5262062620334458e-36,1,1,continuation,1.0067447727921763,0.0,6.282999940173861,barrier_flat_at_rc,0.0,-0.010621800339310594,legacy,0.9686791312594406,0.06977202641282593,0.03806564153273573,False
16000,16000,plateau_0.12,0.12,2,0.0,0.07964262517859874,1.0008187446947652,1.0004092861621856,1.0067447062516877,True,1.537955404329378e-36,1,1,closest_to_a_nc,nan,nan,6.282999524900904,barrier_flat_at_rc,0.0,-0.0008187446947651722,legacy,1.0067447062516877,-0.0008187446947651722,0.0,True
16000,16000,plateau_0.12,0.12,2,0.001,0.07964262517859874,1.0008187446947652,1.0004092861621856,1.0067447062516877,True,1.5379557384147268e-36,1,1,continuation,1.0067447062516877,0.0,6.282999524900904,barrier_flat_at_rc,0.0,-0.0008187446947651722,legacy,0.9938927929495716,0.007220639787546047,0.012851913302116102,True
16000,16000,plateau_0.12,0.12,2,0.003,0.07964262517859874,1.0008187446947652,1.0004092861621856,1.0067447062516877,True,1.5379564065854246e-36,1,1,continuation,1.0067447062516877,0.0,6.282999524900904,barrier_flat_at_rc,0.0,-0.0008187446947651722,legacy,0.9938927929495716,0.023299408752168484,0.012851913302116102,True
16000,16000,plateau_0.12,0.12,2,0.01,0.07964262517859874,1.0008187446947652,1.0004092861621856,1.0067447062516877,True,1.5379587451828667e-36,1,1,continuation,1.0067447062516877,0.0,6.282999524900904,barrier_flat_at_rc,0.0,-0.0008187446947651722,legacy,0.9686790672348888,0.07957510012834702,0.038065639016798825,True
32000,16000,plateau_0.12,0.12,2,0.0,0.07964262517859874,1.0008187446947652,1.0004092861621856,1.0067447062516877,True,1.537955404329378e-36,1,1,closest_to_a_nc,nan,nan,6.282999524900904,barrier_flat_at_rc,0.0,-0.0008187446947651722,legacy,1.0067447062516877,-0.0008187446947651722,0.0,True
32000,16000,plateau_0.12,0.12,2,0.001,0.07964262517859874,1.0008187446947652,1.0004092861621856,1.0067447062516877,True,1.5379557384147268e-36,1,1,continuation,1.0067447062516877,0.0,6.282999524900904,barrier_flat_at_rc,0.0,-0.0008187446947651722,legacy,0.9938927929495716,0.007220639787546047,0.012851913302116102,True
32000,16000,plateau_0.12,0.12,2,0.003,0.07964262517859874,1.0008187446947652,1.0004092861621856,1.0067447062516877,True,1.5379564065854246e-36,1,1,continuation,1.0067447062516877,0.0,6.282999524900904,barrier_flat_at_rc,0.0,-0.0008187446947651722,legacy,0.9938927929495716,0.023299408752168484,0.012851913302116102,True
32000,16000,plateau_0.12,0.12,2,0.01,0.07964262517859874,1.0008187446947652,1.0004092861621856,1.0067447062516877,True,1.5379587451828667e-36,1,1,continuation,1.0067447062516877,0.0,6.282999524900904,barrier_flat_at_rc,0.0,-0.0008187446947651722,legacy,0.9686790672348888,0.07957510012834702,0.038065639016798825,True
32000,32000,plateau_0.12,0.12,2,0.0,0.07964105459488258,1.000799008157707,1.0003994218823655,1.0067446768143509,True,1.5420092437547975e-36,1,1,closest_to_a_nc,nan,nan,6.282999341185258,barrier_flat_at_rc,0.0,-0.0007990081577069486,legacy,1.0067446768143509,-0.0007990081577069486,0.0,True
32000,32000,plateau_0.12,0.12,2,0.001,0.07964105459488258,1.000799008157707,1.0003994218823655,1.0067446768143509,True,1.5420095778372643e-36,1,1,continuation,1.0067446768143509,0.0,6.282999341185258,barrier_flat_at_rc,0.0,-0.0007990081577069486,legacy,0.9938927638880302,0.007240377124059595,0.012851912926320708,True
32000,32000,plateau_0.12,0.12,2,0.003,0.07964105459488258,1.000799008157707,1.0003994218823655,1.0067446768143509,True,1.542010246002198e-36,1,1,continuation,1.0067446768143509,0.0,6.282999341185258,barrier_flat_at_rc,0.0,-0.0007990081577069486,legacy,0.9938927638880302,0.02331914768759268,0.012851912926320708,True
32000,32000,plateau_0.12,0.12,2,0.01,0.07964105459488258,1.000799008157707,1.0003994218823655,1.0067446768143509,True,1.542012584579466e-36,1,1,continuation,1.0067446768143509,0.0,6.282999341185258,barrier_flat_at_rc,0.0,-0.0007990081577069486,legacy,0.9686790389105957,0.07959484465995849,0.03806563790375517,True
