N_geom,N_int_target,N_int_actual,L_dimless,d_min_dimless,fit_method,plateau_frac,n_plateau,A_K,A_spread,A_ratio,a_fit_ref_dimless,a_nc_m,a_nc_over_rc,lambda_K,p_exp,root_count,min_root_count,root_choice,a_star_m,a_star_over_rc,E_star_J,delta_lambda_over_rc,is_min,status,notes
4000,2000,2000,16.37149808226001,0.9973910048686013,global,,0,0.07921422632441684,nan,0.9954353259223485,0.09808780141115098,1.4057507436783603e-15,0.9977150500484764,0.0,2,1,1,closest_to_a_nc,1.3967530472415594e-15,0.9913290408707228,1.5531861693810026e-36,0.0,True,stable,Biot-Savart downsampled; no-contact case
4000,2000,2000,16.37149808226001,0.9973910048686013,global,,0,0.07921422632441684,nan,0.9954353259223485,0.09808780141115098,1.4057507436783603e-15,0.9977150500484764,0.001,2,1,1,closest_to_a_nc,1.3967530472415594e-15,0.9913290408707228,1.5552237415723024e-36,0.0,True,stable,Biot-Savart downsampled
4000,2000,2000,16.37149808226001,0.9973910048686013,global,,0,0.07921422632441684,nan,0.9954353259223485,0.09808780141115098,1.4057507436783603e-15,0.9977150500484764,0.003,2,1,1,closest_to_a_nc,1.3967530472415594e-15,0.9913290408707228,1.5592988859549018e-36,0.0,True,stable,Biot-Savart downsampled
4000,2000,2000,16.37149808226001,0.9973910048686013,global,,0,0.07921422632441684,nan,0.9954353259223485,0.09808780141115098,1.4057507436783603e-15,0.9977150500484764,0.01,2,1,1,closest_to_a_nc,1.3613192977726784e-15,0.9661803541040747,1.5728246431776665e-36,-0.025148686766648165,True,drift,Biot-Savart downsampled
4000,2000,2000,16.37149808226001,0.9973910048686013,plateau_0.08,0.08,8,0.09216969041544062,0.03764645423636326,1.1582384891711752,0.05199430225180731,1.5163546726541507e-15,1.0762148872563786,0.0,2,1,1,closest_to_a_nc,1.508684772686187e-15,1.070771265999327,1.4247950371853752e-36,0.0,True,inconclusive,n_plateau=8; Biot-Savart downsampled; no-contact case
4000,2000,2000,16.37149808226001,0.9973910048686013,plateau_0.08,0.08,8,0.09216969041544062,0.03764645423636326,1.1582384891711752,0.05199430225180731,1.5163546726541507e-15,1.0762148872563786,0.001,2,1,1,closest_to_a_nc,1.508684772686187e-15,1.070771265999327,1.4273589095546343e-36,0.0,True,inconclusive,n_plateau=8; Biot-Savart downsampled
4000,2000,2000,16.37149808226001,0.9973910048686013,plateau_0.08,0.08,8,0.09216969041544062,0.03764645423636326,1.1582384891711752,0.05199430225180731,1.5163546726541507e-15,1.0762148872563786,0.003,2,1,1,closest_to_a_nc,1.489425187035153e-15,1.0571020016947221,1.4324488921970684e-36,-0.0136692643046048,True,inconclusive,n_plateau=8; Biot-Savart downsampled
4000,2000,2000,16.37149808226001,0.9973910048686013,plateau_0.08,0.08,8,0.09216969041544062,0.03764645423636326,1.1582384891711752,0.05199430225180731,1.5163546726541507e-15,1.0762148872563786,0.01,2,1,1,closest_to_a_nc,1.4516404698052377e-15,1.0302847432215245,1.4492245763819002e-36,-0.0404865227778024,True,inconclusive,n_plateau=8; Biot-Savart downsampled
4000,2000,2000,16.37149808226001,0.9973910048686013,plateau_0.12,0.12,12,0.08652106558383829,0.03212794983186875,1.0872557760757882,0.0654930898510121,1.4691551412758935e-15,1.0427155752175317,0.0,2,1,1,closest_to_a_nc,1.4704114656270382e-15,1.043607236643653,1.487691331591884e-36,0.0,True,inconclusive,n_plateau=12; Biot-Savart downsampled; no-contact case
4000,2000,2000,16.37149808226001,0.9973910048686013,plateau_0.12,0.12,12,0.08652106558383829,0.03212794983186875,1.0872557760757882,0.0654930898510121,1.4691551412758935e-15,1.0427155752175317,0.001,2,1,1,closest_to_a_nc,1.4704114656270382e-15,1.043607236643653,1.4900638676062697e-36,0.0,True,inconclusive,n_plateau=12; Biot-Savart downsampled
