dataset,quantity,fit_method,lambda_K,n_points,Nint_min,Nint_max,alpha_best,y_inf,target,y_inf_minus_target,rms_fit,sse_fit,last2_half_range,method,tail_points,tail_enough,tail_err_contracting,tail_step_contracting,tail_sign_changes,tail_last_abs_err,tail_prev_abs_err,tail_last_step,tail_prev_step,tail_quasi_monotone,root_choice_summary,raw_n_vals,raw_y_vals
main_no_contact,A_K,plateau_0.12,0.0,3,32000.0,64000.0,2.16,0.07927126078771846,0.07957747154594767,-0.00030621075822921673,5.433911354087506e-08,8.858217781224333e-15,5.078939807011407e-05,powerlaw_gridsearch,3,True,True,True,0.0,0.0004243227745821948,0.0005259015707224229,0.00010157879614022813,0.00030793976327885,True,,32000;48000;64000,0.0787436302119;0.0790515699752;0.0791531487714
main_no_contact,a_nc_over_rc,plateau_0.12,0.0,3,32000.0,64000.0,2.17,0.9980681812589698,1.0,-0.0019318187410302112,1.6187973369978805e-07,7.861514454814288e-14,0.0003200761436247812,powerlaw_gridsearch,3,True,True,True,0.0,0.0026696621708096613,0.0033098144580592237,0.0006401522872495624,0.0019431620413080664,True,,32000;48000;64000,0.994747023501;0.996690185542;0.997330337829
shiftfree_postcheck,a_star_over_rc,plateau_0.12,0.0,3,32000.0,64000.0,2.17,0.9980681812589698,1.0,-0.0019318187410302112,1.6187973369978805e-07,7.861514454814288e-14,0.0003200761436247812,powerlaw_gridsearch,3,True,True,True,0.0,0.0026696621708096613,0.0033098144580592237,0.0006401522872495624,0.0019431620413080664,True,targeted_x_nc:3,32000;48000;64000,0.994747023501;0.996690185542;0.997330337829
shiftfree_postcheck,F_at_x1,plateau_0.12,0.0,3,32000.0,64000.0,2.16,0.00384795787401247,0.0,0.00384795787401247,6.828454395946969e-07,1.3988336831258246e-12,0.0006382383994292806,powerlaw_gridsearch,3,True,True,True,0.0,0.005332197245513037,0.0066086740443715986,0.0012764767988585612,0.003869685192260053,True,targeted_x_nc:3,32000;48000;64000,0.0104783592366;0.00660867404437;0.00533219724551
shiftfree_postcheck,a_star_over_rc,plateau_0.12,0.001,3,32000.0,64000.0,2.17,0.9980866628380155,1.0,-0.0019133371619844963,1.5445458029937374e-07,7.156865212636706e-14,0.0003170330401792709,powerlaw_gridsearch,3,True,True,True,0.0,0.002644187760059369,0.0032782538404179107,0.0006340660803585418,0.001924740065300523,True,targeted_x_nc:3,32000;48000;64000,0.994797006094;0.99672174616;0.99735581224
shiftfree_postcheck,F_at_x1,plateau_0.12,0.001,3,32000.0,64000.0,2.16,0.00384795787401247,0.0,0.00384795787401247,6.828454395946969e-07,1.3988336831258246e-12,0.0006382383994292806,powerlaw_gridsearch,3,True,True,True,0.0,0.005332197245513037,0.0066086740443715986,0.0012764767988585612,0.003869685192260053,True,targeted_x_nc:3,32000;48000;64000,0.0104783592366;0.00660867404437;0.00533219724551
shiftfree_postcheck,a_star_over_rc,plateau_0.12,0.003,3,32000.0,64000.0,2.17,0.998122585595169,1.0,-0.0018774144048310237,1.4079826710730846e-07,5.947245606126294e-14,0.0003111156127049708,powerlaw_gridsearch,3,True,True,True,0.0,0.002594664236671207,0.0032168954620811485,0.0006222312254099416,0.0018889108718036507,True,targeted_x_nc:3,32000;48000;64000,0.994894193666;0.996783104538;0.997405335763
shiftfree_postcheck,F_at_x1,plateau_0.12,0.003,3,32000.0,64000.0,2.16,0.00384795787401247,0.0,0.00384795787401247,6.828454395946969e-07,1.3988336831258246e-12,0.0006382383994292806,powerlaw_gridsearch,3,True,True,True,0.0,0.005332197245513037,0.0066086740443715986,0.0012764767988585612,0.003869685192260053,True,targeted_x_nc:3,32000;48000;64000,0.0104783592366;0.00660867404437;0.00533219724551
shiftfree_postcheck,a_star_over_rc,plateau_0.12,0.01,3,32000.0,64000.0,2.17,0.9982383522827137,1.0,-0.0017616477172862632,1.0341339120951527e-07,3.208298844435675e-14,0.00029202422096280545,powerlaw_gridsearch,3,True,True,True,0.0,0.0024349922708211125,0.0030190407127467234,0.0005840484419256109,0.0017732556259080212,True,targeted_x_nc:3,32000;48000;64000,0.995207703661;0.996980959287;0.997565007729
shiftfree_postcheck,F_at_x1,plateau_0.12,0.01,3,32000.0,64000.0,2.16,0.00384795787401247,0.0,0.00384795787401247,6.828454395946969e-07,1.3988336831258246e-12,0.0006382383994292806,powerlaw_gridsearch,3,True,True,True,0.0,0.005332197245513037,0.0066086740443715986,0.0012764767988585612,0.003869685192260053,True,targeted_x_nc:3,32000;48000;64000,0.0104783592366;0.00660867404437;0.00533219724551
