x,y,z
0.2801909999999997,1.1416799999999996,1.52602
0.26266130517453107,1.269362192832041,1.5439364385290586
0.2450292610505826,1.3982722986660816,1.5450633413471508
0.22765943268355135,1.5262286658103617,1.5290817094391105
0.21148214765871043,1.6511842013781761,1.496591730024167
0.1961390027518154,1.7709651060636717,1.4481442268832023
0.1816468992678422,1.883395398312485,1.3842734518974578
0.1688255109390214,1.9867737319890886,1.3063024296244112
0.15757167389665983,2.0793105439558897,1.2155256401299777
0.14761277183393462,2.159307708634074,1.1133891495204835
0.1393336690029496,2.2255585793922483,1.001707897504234
0.1326685516051403,2.2766725211266294,0.8822400015211656
0.1272487638593692,2.3120028657696396,0.7571225590841637
0.12309103543144806,2.3315814090689675,0.6285470449594113
0.11975589900847826,2.334542503316524,0.4985091363742159
0.11612684483857497,2.320257382814195,0.36923417446566814
0.11154083160931591,2.288800898263151,0.24306961179017195
0.10657787735365853,2.24034000491249,0.1224273857448013
0.10310002250493568,2.1762402055817436,0.009248510160831731
0.10307390333811758,2.0984051055988444,-0.09502433674150813
0.10746839399674313,2.008382727039755,-0.18887512112141117
0.11706134238320294,1.907767278133268,-0.2708155246469829
0.1336744655315668,1.7982060877052115,-0.33897675040449876
0.1592033938275079,1.6822924910697727,-0.39225733291673787
0.1947302193569927,1.5630764190315078,-0.4303133567286252
0.2420796502545655,1.4436785564782455,-0.4505998812932255
0.3037833045470256,1.3292411995545739,-0.45426787454737805
0.38051630006779424,1.2241872833165286,-0.45241942742604646
0.47050221977781026,1.13022296823674,-0.4538367374091678
0.5727526481701368,1.0498314757048934,-0.45573107617592834
0.6854331194534026,0.9847782966292936,-0.45382533156443966
0.8015464303529968,0.9261242844359974,-0.4483507042652261
0.9123076299796908,0.8583751691669774,-0.4399411172391077
1.012175245439705,0.7756243496213612,-0.42968509721185294
1.1006809764110468,0.680792329654512,-0.41928578577172887
1.1767737149653372,0.5758004898430377,-0.4085017043762389
1.2375212023035889,0.4613066842799721,-0.39725123467196927
1.2818527436667584,0.33938000093659937,-0.38740685245069906
1.3093291198881456,0.2123981126846072,-0.3805922738581131
1.3179282622178459,0.0826288398606452,-0.3788519721071872
1.3071557030497842,-0.04667200705396866,-0.3875130830226115
1.2825245880597909,-0.17148590146003026,-0.41434769815566747
1.2570810480486498,-0.2892832334581046,-0.46319778657255434
1.246352607177391,-0.4026327552535592,-0.5260600303833172
1.2567898916913312,-0.5181006841064344,-0.5849158585017252
1.2797551055748986,-0.6396331533034589,-0.6250409708667044
1.3017678364913625,-0.7664767805819341,-0.6435108686489655
1.315914036253331,-0.8957891469187798,-0.6430951082053695
1.3200817882033695,-1.024776095296502,-0.6266269186023556
1.3126143533290362,-1.1511370961310348,-0.5965525253296592
1.2926256215274585,-1.2726866970881459,-0.554671480114595
1.2597593215526497,-1.3873577008281879,-0.5027248171236712
1.213790929789567,-1.4933673874712197,-0.4429081078060036
1.1556839649082944,-1.5892608789310176,-0.3768845131333075
1.0865349936717241,-1.6736657358566858,-0.30599631200190963
1.0069202984765557,-1.7453814311076299,-0.2321736937262136
0.9181012462473084,-1.8037672669608784,-0.15710666882771265
0.8212399449648788,-1.8478474555129036,-0.08223916150280841
0.7170799539776339,-1.8763546489664789,-0.009667558733774829
0.6071797774850769,-1.889106626475857,0.058812410457838735
0.49329086946676354,-1.8860852663292602,0.12164925403979801
0.37681697115669754,-1.8671013750466343,0.17641890753155529
0.25931530898381877,-1.8333297277183906,0.2209263078718761
0.14229458147434762,-1.7865513704493463,0.2532422373599636
0.027151074776106763,-1.7284100005651049,0.26997689485723764
-0.0849369092614137,-1.6625723478760002,0.2665362128903386
-0.19475917118100466,-1.5980289808023527,0.24041630392898533
-0.3068372035760883,-1.5479177413764242,0.1975581846584718
-0.4258792368991091,-1.5182710809086184,0.15439312827315876
-0.5517797063729802,-1.4988822809219715,0.1283194349912443
-0.679058558393969,-1.4725851232903038,0.12618901291476722
-0.8014836161955836,-1.4315388934428634,0.14186936269555658
-0.9166369884612936,-1.3764140949418908,0.16697293836528704
-1.0223090279139344,-1.3073128140967543,0.19832886290372073
-1.1161411938161732,-1.224491606885719,0.23387192948284077
-1.1975550051686412,-1.1296118396989159,0.269925796294278
-1.2656214647805033,-1.0240483940600222,0.30386478953964147
-1.3190882540629074,-0.9092851109452113,0.3338392384788165
-1.3581187567886583,-0.7872110531693572,0.35623878264005704
-1.3838574636386973,-0.6602309013160228,0.3682276002797178
-1.3969898918304418,-0.5307919884162821,0.36894443508956154
-1.3972526425051126,-0.40169772627644773,0.3534335568628952
-1.3890446889790193,-0.27786210314444354,0.31475013892635073
-1.386361545690514,-0.16201566528169317,0.2557010639383848
-1.4032766529515222,-0.05070488668965471,0.1906384105111582
-1.4387656301342504,0.06259094711206875,0.13760843343824505
-1.4774900846852215,0.18281522963894245,0.10681139748373013
-1.5063134086526302,0.309219371791418,0.09655707654300479
-1.5220059085379152,0.43832339829795114,0.10039209266971143
-1.5242274251588925,0.5675919275000576,0.11499136410532115
-1.5106359441129034,0.6948188796629758,0.13851415422943278
-1.4800482214366817,0.81780671953487,0.16793569375080508
-1.433482668196592,0.9346699175748465,0.20116263674577423
-1.371637966052602,1.0434286516290412,0.23686761621389346
-1.2952277485974002,1.142244601168437,0.2732795240217113
-1.2059941891571808,1.2297224602742645,0.30954689549316894
-1.1055387839968511,1.304372452451238,0.3451259514699049
-0.9957035977207462,1.3653126321296971,0.3791160996346983
-0.8788647204289459,1.412332916226882,0.41185305388270016
-0.7565956572156445,1.443873947692451,0.44323175820625277
-0.6305174405990274,1.4587814821318044,0.47174172840837936
-0.5030352995102033,1.4578246898795297,0.49782358352037187
-0.37652383110743187,1.4395582552337578,0.5220234351609113
-0.2525296116885186,1.4047728041437961,0.5407510700321155
-0.1285878471471155,1.3661394384673384,0.5501655450674682
-0.001128308802335375,1.3401470524688057,0.5510039697953469
0.1287327138621611,1.3326232857167735,0.5483133552505787
0.2584975088911821,1.3420892559054112,0.5469002616381259
