knot_id,mode,output_dir,backend_used,ideal_source,rows_written,postcheck_rows_written,best_found,closure_score,fit_method,N_geom,N_int_actual,A_K,A_ratio,a_nc_over_rc,closure_x_from_A,a_star_over_rc,status
5:2:1,ideal,C:\workspace\projects\SSTcore\trefoil_closure\sst_knot_candidate_robustness_outputs_v10_0\5_2_1,local_cpp_scan,fallback hardcoded 30-mode coefficients,120,60,True,0.00014729146257574932,plateau_0.10,64000,64000,0.07958216002024998,1.0000589171056986,1.000029458118959,1.000029458118959,1.000029458118959,stable
3:1:1,ideal,C:\workspace\projects\SSTcore\trefoil_closure\sst_knot_candidate_robustness_outputs_v10_0\3_1_1,local_cpp_scan,"ideal.txt (3:1:1, 183 modes, k_max=250)",120,60,True,0.00018552290943818495,plateau_0.04,64000,64000,0.07957156623406485,0.999925791662287,0.9999628951427583,0.9999628951427583,0.9999628951427583,stable
5:1:1,ideal,C:\workspace\projects\SSTcore\trefoil_closure\sst_knot_candidate_robustness_outputs_v10_0\5_1_1,local_cpp_scan,"ideal.txt (5:1:1, 233 modes, k_max=255)",120,60,True,0.000818743915742659,global,32000,32000,0.07955141139802631,0.9996725185229551,0.9998362458537674,0.9998362458537674,0.9998362458537674,stable
4:1:1,ideal,C:\workspace\projects\SSTcore\trefoil_closure\sst_knot_candidate_robustness_outputs_v10_0\4_1_1,local_cpp_scan,"ideal.txt (4:1:1, 220 modes, k_max=255)",120,60,True,0.0017654884718419916,plateau_0.12,64000,64000,0.07952128025627066,0.9992938794286198,0.9996468773665127,0.9996468773665128,0.9996468773665127,stable
