N_geom,N_int_actual,fit_method,plateau_frac,p_exp,lambda_K,A_K,A_ratio,a_nc_over_rc,a_star_over_rc,is_min,E_star_J,root_count,min_root_count,root_choice,continuation_prev_a_star_over_rc,continuation_jump,beta_dimless,contact_model,postcheck_root_selection_mode,postcheck_contact_model,contact_force_at_x1,F_at_x1,legacy_contact_model,legacy_a_star_over_rc,legacy_F_at_x1,delta_a_star_vs_legacy,theorem_candidate_full_model
4000,2000,plateau_0.06,0.06,2,0.0,0.1286535241954277,1.6167078658831693,1.2714982760047964,1.2714982760047964,True,2.126488578446502e-36,1,1,targeted_x_nc,nan,nan,6.282482134967461,barrier_flat_at_rc,targeted_x_nc,barrier_flat_at_rc,0.0,-0.6167078658831693,legacy,1.2714982760047964,-0.6167078658831693,0.0,False
4000,2000,plateau_0.06,0.06,2,0.001,0.1286535241954277,1.6167078658831693,1.2714982760047964,1.2679111455345355,True,2.1277297822446852e-36,1,1,targeted_x_nc,nan,nan,6.282482134967461,barrier_flat_at_rc,targeted_x_nc,barrier_flat_at_rc,0.0,-0.6167078658831693,legacy,1.2639788239666443,-0.6086662294676516,0.00393232156789125,False
4000,2000,plateau_0.08,0.08,2,0.0,0.17992820307559024,2.2610444838235466,1.5036769878612715,1.503676987861272,True,1.3024880987014642e-36,1,1,targeted_x_nc,nan,nan,6.282482134967461,barrier_flat_at_rc,targeted_x_nc,barrier_flat_at_rc,0.0,-1.2610444838235466,legacy,1.503676987861272,-1.2610444838235466,0.0,False
4000,2000,plateau_0.08,0.08,2,0.001,0.17992820307559024,2.2610444838235466,1.5036769878612715,1.4945145529534798,True,1.307766312986795e-36,1,1,targeted_x_nc_fallback,nan,nan,6.282482134967461,barrier_flat_at_rc,targeted_x_nc,barrier_flat_at_rc,0.0,-1.2610444838235466,legacy,1.4906491091701353,-1.253002847408029,0.0038654437833445243,False
4000,2000,plateau_0.10,0.1,2,0.0,0.16482896360457527,2.071301844635812,1.4392018081686155,1.4392018081686155,True,1.8574757355087384e-36,1,1,targeted_x_nc,nan,nan,6.282482134967461,barrier_flat_at_rc,targeted_x_nc,barrier_flat_at_rc,0.0,-1.0713018446358125,legacy,1.4392018081686155,-1.0713018446358125,0.0,False
4000,2000,plateau_0.10,0.1,2,0.001,0.16482896360457527,2.071301844635812,1.4392018081686155,1.4319233126513606,True,1.8612492892300613e-36,1,1,targeted_x_nc_fallback,nan,nan,6.282482134967461,barrier_flat_at_rc,targeted_x_nc,barrier_flat_at_rc,0.0,-1.0713018446358125,legacy,1.428035064834555,-1.0632602082202949,0.0038882478168056345,False
4000,2000,plateau_0.12,0.12,2,0.0,0.1497297241335603,1.8815592054480776,1.3716993859618358,1.3716993859618358,True,2.1526226252051966e-36,1,1,targeted_x_nc,nan,nan,6.282482134967461,barrier_flat_at_rc,targeted_x_nc,barrier_flat_at_rc,0.0,-0.8815592054480776,legacy,1.3716993859618358,-0.8815592054480776,0.0,False
4000,2000,plateau_0.12,0.12,2,0.001,0.1497297241335603,1.8815592054480776,1.3716993859618358,1.3660915136399465,True,2.155162697941431e-36,1,1,targeted_x_nc,nan,nan,6.282482134967461,barrier_flat_at_rc,targeted_x_nc,barrier_flat_at_rc,0.0,-0.8815592054480776,legacy,1.362183217865649,-0.87351756903256,0.003908295774297521,False
8000,2000,plateau_0.06,0.06,2,0.0,0.1286535241954277,1.6167078658831693,1.2714982760047964,1.2714982760047964,True,2.1264885784465017e-36,1,1,targeted_x_nc,nan,nan,6.282289045181086,barrier_flat_at_rc,targeted_x_nc,barrier_flat_at_rc,0.0,-0.6167078658831693,legacy,1.2714982760047964,-0.6167078658831693,0.0,False
8000,2000,plateau_0.06,0.06,2,0.001,0.1286535241954277,1.6167078658831693,1.2714982760047964,1.26791063348582,True,2.127729954042627e-36,1,1,targeted_x_nc,nan,nan,6.282289045181086,barrier_flat_at_rc,targeted_x_nc,barrier_flat_at_rc,0.0,-0.6167078658831693,legacy,1.2639779139143825,-0.6086653888088901,0.003932719571437371,False
