a_mid,A_local,A_local_minus_Areq,rel_dE,mask_plateau_0p01,mask_plateau_0p02,mask_plateau_0p04,mask_plateau_0p06,mask_plateau_0p08,mask_plateau_0p10,mask_plateau_0p12,mask_plateau_0p14,mask_plateau_0p16
0.00023977048717133476,0.06984656325560651,-0.009730908290341164,0.032198224219858816,1,1,1,1,1,1,1,1,1
0.00031878335754665217,0.055877249617297516,-0.023700221928650157,0.026615552446206638,1,1,1,1,1,1,1,1,1
0.0004238337680654552,0.0864766929497816,0.006899221403833922,0.042317025567092624,1,1,1,1,1,1,1,1,1
0.0005635020106916137,0.06596619137763964,-0.013611280168308038,0.03370665878441676,1,1,1,1,1,1,1,1,1
0.0007491958875831071,0.09811079141162289,0.01853331986567522,0.051880253135405355,1,1,1,1,1,1,1,1,1
0.000996082475877123,0.0724780056855573,-0.007099465860390369,0.040422982193263506,1,1,1,1,1,1,1,1,1
0.0013243269419834322,0.0823459567174669,0.0027684851715192305,0.04786130734549145,1,1,1,1,1,1,1,1,1
0.0017607395890775045,0.08184711407380324,0.002269642527855567,0.0499626464482828,1,1,1,1,1,1,1,1,1
0.0023409656650960164,0.07702326394666083,-0.002554207599286845,0.04949066627791725,1,1,1,1,1,1,1,1,1
0.0031123967900498037,0.07613160688255541,-0.0034458646633922646,0.051464764849609816,1,1,1,1,1,1,1,1,1
0.004138041801785676,0.07973055731629142,0.00015308577034374438,0.05682197542550573,1,1,1,1,1,1,1,1,1
0.005501673182567329,0.0798902256155415,0.0003127540695938291,0.06036587531536392,0,1,1,1,1,1,1,1,1
0.007314669415547925,0.08000976512624924,0.00043229358030157095,0.06434015007507973,0,1,1,1,1,1,1,1,1
0.009725112140118926,0.08064221599396011,0.001064744448012439,0.06930802662611639,0,0,1,1,1,1,1,1,1
0.012929881142250344,0.07893903091213206,-0.0006384406338156151,0.07289653782743147,0,0,1,1,1,1,1,1,1
0.017190735072662784,0.079594818215341,1.7346669393333847e-05,0.07928147182978461,0,0,0,1,1,1,1,1,1
0.02285569133136248,0.07977718662795626,0.00019971508200858357,0.08630555361807445,0,0,0,1,1,1,1,1,1
0.03038745138160068,0.07973215063681575,0.00015467909086808174,0.09440446153585033,0,0,0,0,1,1,1,1,1
0.040401193211865936,0.0793342523356886,-0.0002432192102590769,0.1037254911237389,0,0,0,0,0,1,1,1,1
0.05371481775305575,0.07962873945564791,5.126790970023942e-05,0.11615918671289276,0,0,0,0,0,0,0,1,1
0.07141575327029151,0.07940985705530451,-0.00016761449064316147,0.1310642008973971,0,0,0,0,0,0,0,0,0
0.09494977416865591,0.07929058912878541,-0.00028688241716226526,0.15060646825173865,0,0,0,0,0,0,0,0,0
0.12623908874219109,0.07905324688040531,-0.000524224665542361,0.17677984234135888,0,0,0,0,0,0,0,0,0
