knot_id,mode,N_geom,N_int_target,N_int_actual,R_t_over_r_t,L_dimless,d_min_dimless,fit_method,plateau_frac,n_plateau,A_K,A_ratio,a_K,closure_x_from_A,lambda_K,p_exp,candidate_index,candidate_count,candidate_selected,selected_root_choice,candidate_is_min,a_candidate_m,a_candidate_over_rc,E_candidate_J,ideal_source,bs_backend
3:1:1,ideal,4000,2000,2000,nan,16.372460430715797,0.9999707757876269,global,,0,0.07917596219014739,0.994954484629881,-0.24371799660270912,0.9974740521085654,0.0,2,0,1,True,lowest_energy,True,1.4054111847699943e-15,0.9974740521085653,1.5501398892274758e-36,"ideal.txt (3:1:1, 183 modes, k_max=250)",local_cpp_scan
3:1:1,ideal,4000,2000,2000,nan,16.372460430715797,0.9999707757876269,global,,0,0.07917596219014739,0.994954484629881,-0.24371799660270912,0.9974740521085654,0.001,2,0,1,True,continuation,True,1.3998460424784467e-15,0.9935242578474508,1.5521871968450633e-36,"ideal.txt (3:1:1, 183 modes, k_max=250)",local_cpp_scan
3:1:1,ideal,4000,2000,2000,nan,16.372460430715797,0.9999707757876269,plateau_0.04,0.04,2,0.13795060322590585,1.733538406611145,-0.608213504253285,1.316639057073405,0.0,2,0,1,True,lowest_energy,True,1.8551051560733553e-15,1.316639057073405,5.899243201032861e-37,"ideal.txt (3:1:1, 183 modes, k_max=250)",local_cpp_scan
3:1:1,ideal,4000,2000,2000,nan,16.372460430715797,0.9999707757876269,plateau_0.04,0.04,2,0.13795060322590585,1.733538406611145,-0.608213504253285,1.316639057073405,0.001,2,0,1,True,continuation,True,1.8433311803405095e-15,1.3082826163314085,5.948228603793849e-37,"ideal.txt (3:1:1, 183 modes, k_max=250)",local_cpp_scan
3:1:1,ideal,4000,2000,2000,nan,16.372460430715797,0.9999707757876269,plateau_0.06,0.06,6,0.1010087266174944,1.2693130939599206,-0.3734376314088528,1.1266379604646386,0.0,2,0,1,True,lowest_energy,True,1.5873992786843152e-15,1.1266379604646386,1.265801142838993e-36,"ideal.txt (3:1:1, 183 modes, k_max=250)",local_cpp_scan
3:1:1,ideal,4000,2000,2000,nan,16.372460430715797,0.9999707757876269,plateau_0.06,0.06,6,0.1010087266174944,1.2693130939599206,-0.3734376314088528,1.1266379604646386,0.001,2,0,1,True,continuation,True,1.5798530050799787e-15,1.1212820815645648,1.2687538023201465e-36,"ideal.txt (3:1:1, 183 modes, k_max=250)",local_cpp_scan
3:1:1,ideal,4000,2000,2000,nan,16.372460430715797,0.9999707757876269,plateau_0.08,0.08,8,0.09207768236188925,1.157082281870743,-0.31702613965602977,1.075677591972029,0.0,2,0,1,True,lowest_energy,True,1.5155976396260204e-15,1.075677591972029,1.4169912082226182e-36,"ideal.txt (3:1:1, 183 modes, k_max=250)",local_cpp_scan
3:1:1,ideal,4000,2000,2000,nan,16.372460430715797,0.9999707757876269,plateau_0.08,0.08,8,0.09207768236188925,1.157082281870743,-0.31702613965602977,1.075677591972029,0.001,2,0,1,True,continuation,True,1.5089022988497092e-15,1.0709256526344408,1.4195534346560842e-36,"ideal.txt (3:1:1, 183 modes, k_max=250)",local_cpp_scan
3:1:1,ideal,4000,2000,2000,nan,16.372460430715797,0.9999707757876269,plateau_0.10,0.1,10,0.09207768236188925,1.157082281870743,-0.3147629767051155,1.075677591972029,0.0,2,0,1,True,lowest_energy,True,1.5155976396260204e-15,1.075677591972029,1.4385232336571542e-36,"ideal.txt (3:1:1, 183 modes, k_max=250)",local_cpp_scan
3:1:1,ideal,4000,2000,2000,nan,16.372460430715797,0.9999707757876269,plateau_0.10,0.1,10,0.09207768236188925,1.157082281870743,-0.3147629767051155,1.075677591972029,0.001,2,0,1,True,continuation,True,1.5089022988497092e-15,1.0709256526344408,1.4410854600906202e-36,"ideal.txt (3:1:1, 183 modes, k_max=250)",local_cpp_scan
3:1:1,ideal,4000,2000,2000,nan,16.372460430715797,0.9999707757876269,plateau_0.12,0.12,12,0.09017285877214817,1.1331455626870826,-0.30424756383578233,1.0644931012867498,0.0,2,0,1,True,lowest_energy,True,1.4998390258838192e-15,1.0644931012867498,1.4558246167411306e-36,"ideal.txt (3:1:1, 183 modes, k_max=250)",local_cpp_scan
3:1:1,ideal,4000,2000,2000,nan,16.372460430715797,0.9999707757876269,plateau_0.12,0.12,12,0.09017285877214817,1.1331455626870826,-0.30424756383578233,1.0644931012867498,0.001,2,0,1,True,continuation,True,1.4933176758698594e-15,1.0598646498455389,1.4583072408359523e-36,"ideal.txt (3:1:1, 183 modes, k_max=250)",local_cpp_scan
3:1:1,ideal,4000,2000,2000,nan,16.372460430715797,0.9999707757876269,plateau_0.14,0.14,13,0.08591472344249908,1.0796362560086155,-0.2807408982915777,1.0390554633938534,0.0,2,0,1,True,lowest_energy,True,1.4639981528974664e-15,1.0390554633938534,1.4938025333085277e-36,"ideal.txt (3:1:1, 183 modes, k_max=250)",local_cpp_scan
3:1:1,ideal,4000,2000,2000,nan,16.372460430715797,0.9999707757876269,plateau_0.14,0.14,13,0.08591472344249908,1.0796362560086155,-0.2807408982915777,1.0390554633938534,0.001,2,0,1,True,continuation,True,1.457856638181633e-15,1.0346965955862877,1.4961117483539633e-36,"ideal.txt (3:1:1, 183 modes, k_max=250)",local_cpp_scan
3:1:1,ideal,4000,2000,2000,nan,16.372460430715797,0.9999707757876269,plateau_0.16,0.16,14,0.09017285877214817,1.1331455626870826,-0.30320167625586936,1.0644931012867498,0.0,2,0,1,True,lowest_energy,True,1.4998390258838192e-15,1.0644931012867498,1.4657753266373198e-36,"ideal.txt (3:1:1, 183 modes, k_max=250)",local_cpp_scan
3:1:1,ideal,4000,2000,2000,nan,16.372460430715797,0.9999707757876269,plateau_0.16,0.16,14,0.09017285877214817,1.1331455626870826,-0.30320167625586936,1.0644931012867498,0.001,2,0,1,True,continuation,True,1.4933176758698594e-15,1.0598646498455389,1.4682579507321414e-36,"ideal.txt (3:1:1, 183 modes, k_max=250)",local_cpp_scan
3:1:1,ideal,8000,2000,2000,nan,16.372460430715797,0.9999710288917598,global,,0,0.07917596219014739,0.994954484629881,-0.24371799660270912,0.9974740521085654,0.0,2,0,1,True,lowest_energy,True,1.4054111847699943e-15,0.9974740521085653,1.5501398892274758e-36,"ideal.txt (3:1:1, 183 modes, k_max=250)",local_cpp_scan
3:1:1,ideal,8000,2000,2000,nan,16.372460430715797,0.9999710288917598,global,,0,0.07917596219014739,0.994954484629881,-0.24371799660270912,0.9974740521085654,0.001,2,0,1,True,continuation,True,1.3998460471960732e-15,0.9935242611957307,1.552187195338053e-36,"ideal.txt (3:1:1, 183 modes, k_max=250)",local_cpp_scan
3:1:1,ideal,8000,2000,2000,nan,16.372460430715797,0.9999710288917598,plateau_0.04,0.04,2,0.13795060322590585,1.733538406611145,-0.608213504253285,1.316639057073405,0.0,2,0,1,True,lowest_energy,True,1.8551051560733553e-15,1.316639057073405,5.899243201032861e-37,"ideal.txt (3:1:1, 183 modes, k_max=250)",local_cpp_scan
3:1:1,ideal,8000,2000,2000,nan,16.372460430715797,0.9999710288917598,plateau_0.04,0.04,2,0.13795060322590585,1.733538406611145,-0.608213504253285,1.316639057073405,0.001,2,0,1,True,continuation,True,1.8433311924005066e-15,1.3082826248908495,5.948228561759093e-37,"ideal.txt (3:1:1, 183 modes, k_max=250)",local_cpp_scan
3:1:1,ideal,8000,2000,2000,nan,16.372460430715797,0.9999710288917598,plateau_0.06,0.06,6,0.1010087266174944,1.2693130939599206,-0.3734376314088528,1.1266379604646386,0.0,2,0,1,True,lowest_energy,True,1.5873992786843152e-15,1.1266379604646386,1.265801142838993e-36,"ideal.txt (3:1:1, 183 modes, k_max=250)",local_cpp_scan
3:1:1,ideal,8000,2000,2000,nan,16.372460430715797,0.9999710288917598,plateau_0.06,0.06,6,0.1010087266174944,1.2693130939599206,-0.3734376314088528,1.1266379604646386,0.001,2,0,1,True,continuation,True,1.5798530119761775e-15,1.1212820864590607,1.2687538000129619e-36,"ideal.txt (3:1:1, 183 modes, k_max=250)",local_cpp_scan
3:1:1,ideal,8000,2000,2000,nan,16.372460430715797,0.9999710288917598,plateau_0.08,0.08,8,0.09207768236188925,1.157082281870743,-0.31702613965602977,1.075677591972029,0.0,2,0,1,True,lowest_energy,True,1.5155976396260204e-15,1.075677591972029,1.4169912082226182e-36,"ideal.txt (3:1:1, 183 modes, k_max=250)",local_cpp_scan
