a_mid,A_local,A_local_minus_Areq,rel_dE,mask_plateau_0p01,mask_plateau_0p02,mask_plateau_0p04,mask_plateau_0p06,mask_plateau_0p08,mask_plateau_0p10,mask_plateau_0p12,mask_plateau_0p14,mask_plateau_0p16
0.026018988395639632,0.10377681195370937,0.0241993404077617,0.044256112028701326,0,0,1,1,1,1,1,1,1
0.02920503548776196,-0.0,-0.07957747154594767,0.0,0,0,0,0,0,0,0,0,0
0.032781216735711896,0.17212439449810232,0.09254692295215465,0.07680222978090707,0,0,1,1,1,1,1,1,1
0.03679530439618949,-0.0,-0.07957747154594767,0.0,0,0,0,0,0,0,0,0,0
0.0413009204790531,0.13765497060488854,0.05807749905894087,0.06653168989989094,0,0,0,1,1,1,1,1,1
0.0463582530545315,0.06793658750192444,-0.011640884044023234,0.03517554264675307,0,0,0,1,1,1,1,1,1
0.05203486027285875,0.046730690169881246,-0.032846781376066427,0.025077888613725886,0,0,0,1,1,1,1,1,1
0.05840657283679211,0.09824064128127942,0.018663169735331747,0.05407668270084059,0,0,0,1,1,1,1,1,1
0.06555850698265145,0.08591472344249908,0.006337251896551405,0.04999545427348337,0,0,0,0,1,1,1,1,1
0.07358620150174203,0.07632266756076174,-0.0032548039851859334,0.04675098656967717,0,0,0,0,1,1,1,1,1
0.08259689399101047,0.06864435723188309,-0.010933114314064588,0.04410986385442264,0,0,0,0,0,1,1,1,1
0.0927109533816706,0.11784446027449534,0.03826698872854767,0.07921949436789909,0,0,0,0,0,1,1,1,1
0.10406348788216875,0.05430465650937681,-0.02527281503657086,0.03964640831610179,0,0,0,0,0,0,1,1,1
0.11680614981512284,0.09443099410179727,0.014853522555849596,0.07178772245912673,0,0,0,0,0,0,1,1,1
0.13110916145806756,0.044016514302903195,-0.03556095724304448,0.03604989070627214,0,0,0,0,0,0,0,1,1
0.14716358895010936,0.1124113152661926,0.03283384372024492,0.09550888549673106,0,0,0,0,0,0,0,0,1
0.16518389464037042,0.06627228510091959,-0.01330518644502808,0.06225315818943394,0,0,0,0,0,0,0,0,0
0.18541080197365437,0.08833579455583489,0.008758323009887214,0.08848722032935002,0,0,0,0,0,0,0,0,0
0.2081145111837798,0.056966430106314414,-0.02261104143963326,0.06260371065669777,0,0,0,0,0,0,0,0,0
0.2335983087512771,0.09006320427162252,0.010485732725674851,0.10558573201794165,0,0,0,0,0,0,0,0,0
0.2622026188422269,0.08189125731242218,0.0023137857664745076,0.10733878162953964,0,0,0,0,0,0,0,0,0
0.2943095508492044,0.07224312828202026,-0.007334343263927415,0.10607889781676531,0,0,0,0,0,0,0,0,0
0.3303480037824505,0.06766567452968701,-0.011911797016260661,0.11114800733311196,0,0,0,0,0,0,0,0,0
