N_geom,N_int_actual,fit_method,plateau_frac,p_exp,lambda_K,A_K,A_ratio,a_nc_over_rc,a_star_over_rc,is_min,E_star_J,root_count,min_root_count,root_choice,continuation_prev_a_star_over_rc,continuation_jump,beta_dimless,contact_model,postcheck_root_selection_mode,postcheck_contact_model,contact_force_at_x1,F_at_x1,legacy_contact_model,legacy_a_star_over_rc,legacy_F_at_x1,delta_a_star_vs_legacy,theorem_candidate_full_model
32000,32000,plateau_0.04,0.04,2,0.0,0.07750836573038541,0.9739988494813188,0.9869138004310806,0.9869138004310806,True,3.09039089039323e-36,1,1,targeted_x_nc,nan,nan,6.2807160475841775,barrier_flat_at_rc,targeted_x_nc,barrier_flat_at_rc,0.0,0.026001150518681238,legacy,0.9869138004310806,0.026001150518681238,0.0,False
32000,32000,plateau_0.04,0.04,2,0.001,0.07750836573038541,0.9739988494813188,0.9869138004310806,0.9870372894173525,True,3.090394088594894e-36,1,1,targeted_x_nc,nan,nan,6.2807160475841775,barrier_flat_at_rc,targeted_x_nc,barrier_flat_at_rc,0.0,0.026001150518681238,legacy,0.9830573756792537,0.034050480804260465,0.003979913738098806,False
32000,32000,plateau_0.04,0.04,2,0.003,0.07750836573038541,0.9739988494813188,0.9869138004310806,0.9872775432206038,True,3.090400308060715e-36,1,1,targeted_x_nc,nan,nan,6.2807160475841775,barrier_flat_at_rc,targeted_x_nc,barrier_flat_at_rc,0.0,0.026001150518681238,legacy,0.9755940839565532,0.05014914137541891,0.011683459264050566,False
32000,32000,plateau_0.04,0.04,2,0.01,0.07750836573038541,0.9739988494813188,0.9869138004310806,0.9880537416732444,True,3.090420377349839e-36,1,1,targeted_x_nc,nan,nan,6.2807160475841775,barrier_flat_at_rc,targeted_x_nc,barrier_flat_at_rc,0.0,0.026001150518681238,legacy,0.9517380780309959,0.10649445337447351,0.036315663642248586,False
32000,32000,plateau_0.06,0.06,2,0.0,0.07855482539422126,0.9871490494500578,0.9935537476402864,0.9935537476402864,True,2.9899279632811126e-36,1,1,targeted_x_nc,nan,nan,6.2807160475841775,barrier_flat_at_rc,targeted_x_nc,barrier_flat_at_rc,0.0,0.01285095054994223,legacy,0.9935537476402864,0.01285095054994223,0.0,False
32000,32000,plateau_0.06,0.06,2,0.001,0.07855482539422126,0.9871490494500578,0.9935537476402864,0.9936150228416192,True,2.989928743133091e-36,1,1,targeted_x_nc,nan,nan,6.2807160475841775,barrier_flat_at_rc,targeted_x_nc,barrier_flat_at_rc,0.0,0.01285095054994223,legacy,0.989635853540889,0.020900280835521458,0.003979169300730168,False
32000,32000,plateau_0.06,0.06,2,0.003,0.07855482539422126,0.9871490494500578,0.9935537476402864,0.9937341777310335,True,2.9899302592849804e-36,1,1,targeted_x_nc,nan,nan,6.2807160475841775,barrier_flat_at_rc,targeted_x_nc,barrier_flat_at_rc,0.0,0.01285095054994223,legacy,0.9820569682298567,0.036998941406679905,0.011677209501176788,False
32000,32000,plateau_0.06,0.06,2,0.01,0.07855482539422126,0.9871490494500578,0.9935537476402864,0.9941186322949119,True,2.989935148246866e-36,1,1,targeted_x_nc,nan,nan,6.2807160475841775,barrier_flat_at_rc,targeted_x_nc,barrier_flat_at_rc,0.0,0.01285095054994223,legacy,0.9578585119135886,0.0933442534057345,0.03626012038132331,False
32000,32000,plateau_0.08,0.08,2,0.0,0.0789990714777104,0.9927316103791598,0.9963591773949592,0.9963591773949592,True,2.96549875259361e-36,1,1,targeted_x_nc,nan,nan,6.2807160475841775,barrier_flat_at_rc,targeted_x_nc,barrier_flat_at_rc,0.0,0.007268389620840199,legacy,0.9963591773949592,0.007268389620840199,0.0,True
32000,32000,plateau_0.08,0.08,2,0.001,0.0789990714777104,0.9927316103791598,0.9963591773949592,0.9963938923608053,True,2.965499001877458e-36,1,1,targeted_x_nc,nan,nan,6.2807160475841775,barrier_flat_at_rc,targeted_x_nc,barrier_flat_at_rc,0.0,0.007268389620840199,legacy,0.9924150405873102,0.015317719906419426,0.003978851773495107,True
32000,32000,plateau_0.08,0.08,2,0.003,0.0789990714777104,0.9927316103791598,0.9963591773949592,0.9964613843465098,True,2.9654994864679594e-36,1,1,targeted_x_nc,nan,nan,6.2807160475841775,barrier_flat_at_rc,targeted_x_nc,barrier_flat_at_rc,0.0,0.007268389620840199,legacy,0.9847868381891709,0.031416380477577874,0.011674546157338872,True
32000,32000,plateau_0.08,0.08,2,0.01,0.0789990714777104,0.9927316103791598,0.9963591773949592,0.9966790264793957,True,2.9655010486043617e-36,1,1,targeted_x_nc,nan,nan,6.2807160475841775,barrier_flat_at_rc,targeted_x_nc,barrier_flat_at_rc,0.0,0.007268389620840199,legacy,0.9604425146427339,0.08776169247663247,0.03623651183666177,True
32000,32000,plateau_0.10,0.1,2,0.0,0.0789990714777104,0.9927316103791598,0.9963591773949592,0.9963591773949592,True,2.9325323170427523e-36,1,1,targeted_x_nc,nan,nan,6.2807160475841775,barrier_flat_at_rc,targeted_x_nc,barrier_flat_at_rc,0.0,0.007268389620840199,legacy,0.9963591773949592,0.007268389620840199,0.0,True
32000,32000,plateau_0.10,0.1,2,0.001,0.0789990714777104,0.9927316103791598,0.9963591773949592,0.9963938923608053,True,2.9325325663266e-36,1,1,targeted_x_nc,nan,nan,6.2807160475841775,barrier_flat_at_rc,targeted_x_nc,barrier_flat_at_rc,0.0,0.007268389620840199,legacy,0.9924150405873102,0.015317719906419426,0.003978851773495107,True
