N_geom,N_int_target,N_int_actual,L_dimless,d_min_dimless,fit_method,plateau_frac,n_plateau,A_K,A_spread,A_ratio,a_fit_ref_dimless,a_nc_m,a_nc_over_rc,lambda_K,p_exp,root_count,min_root_count,root_choice,a_star_m,a_star_over_rc,E_star_J,delta_lambda_over_rc,is_min,status,uses_local_sst_core,ideal_source,notes,bs_backend,t_geometry_s,t_scan_s,t_fit_s,t_total_block_s
4000,2000,2000,16.372460430715797,0.9999707757876269,global,,0,0.07917596219014739,nan,0.994954484629881,0.09822334332417008,1.405411181360987e-15,0.9974740496890626,0.0,2,1,1,closest_to_a_nc,1.400365775724919e-15,0.9938931324038741,1.5501496092790837e-36,0.0,True,stable,True,"ideal.txt (3:1:1, 183 modes, k_max=250)",Biot-Savart downsampled; no-contact case,local_cpp_scan,0.20283930000005057,0.017933999999968364,0.001315599999998085,0.2228943000000072
4000,2000,2000,16.372460430715797,0.9999707757876269,global,,0,0.07917596219014739,nan,0.994954484629881,0.09822334332417008,1.405411181360987e-15,0.9974740496890626,0.001,2,1,1,closest_to_a_nc,1.400365775724919e-15,0.9938931324038741,1.5521873012428346e-36,0.0,True,stable,True,"ideal.txt (3:1:1, 183 modes, k_max=250)",Biot-Savart downsampled,local_cpp_scan,0.20283930000005057,0.017933999999968364,0.001315599999998085,0.22412230000009004
4000,2000,2000,16.372460430715797,0.9999707757876269,global,,0,0.07917596219014739,nan,0.994954484629881,0.09822334332417008,1.405411181360987e-15,0.9974740496890626,0.003,2,1,1,closest_to_a_nc,1.3824889699874752e-15,0.9812052798729409,1.55622959459901e-36,-0.012687852530933186,True,stable,True,"ideal.txt (3:1:1, 183 modes, k_max=250)",Biot-Savart downsampled,local_cpp_scan,0.20283930000005057,0.017933999999968364,0.001315599999998085,0.22533860000021377
4000,2000,2000,16.372460430715797,0.9999707757876269,global,,0,0.07917596219014739,nan,0.994954484629881,0.09822334332417008,1.405411181360987e-15,0.9974740496890626,0.01,2,1,1,closest_to_a_nc,1.3474170810069776e-15,0.9563134193302173,1.5696626296808696e-36,-0.03757971307365682,True,drift,True,"ideal.txt (3:1:1, 183 modes, k_max=250)",Biot-Savart downsampled,local_cpp_scan,0.20283930000005057,0.017933999999968364,0.001315599999998085,0.2265983000002052
4000,2000,2000,16.372460430715797,0.9999707757876269,plateau_0.08,0.08,8,0.09207768236188925,0.037493200338664094,1.157082281870743,0.05203486027285875,1.5155976359497414e-15,1.0756775893628332,0.0,2,1,1,closest_to_a_nc,1.5125870147192006e-15,1.0735408363678847,1.4169946672638451e-36,0.0,True,inconclusive,True,"ideal.txt (3:1:1, 183 modes, k_max=250)",n_plateau=8; Biot-Savart downsampled; no-contact case,local_cpp_scan,0.20283930000005057,0.017933999999968364,0.001315599999998085,0.2272771000002649
4000,2000,2000,16.372460430715797,0.9999707757876269,plateau_0.08,0.08,8,0.09207768236188925,0.037493200338664094,1.157082281870743,0.05203486027285875,1.5155976359497414e-15,1.0756775893628332,0.001,2,1,1,closest_to_a_nc,1.5125870147192006e-15,1.0735408363678847,1.4195586903425019e-36,0.0,True,inconclusive,True,"ideal.txt (3:1:1, 183 modes, k_max=250)",n_plateau=8; Biot-Savart downsampled,local_cpp_scan,0.20283930000005057,0.017933999999968364,0.001315599999998085,0.22847150000006877
4000,2000,2000,16.372460430715797,0.9999707757876269,plateau_0.08,0.08,8,0.09207768236188925,0.037493200338664094,1.157082281870743,0.05203486027285875,1.5155976359497414e-15,1.0756775893628332,0.003,2,1,1,closest_to_a_nc,1.4932776137813508e-15,1.0598362162495965,1.4245806922367261e-36,-0.013704620118288213,True,inconclusive,True,"ideal.txt (3:1:1, 183 modes, k_max=250)",n_plateau=8; Biot-Savart downsampled,local_cpp_scan,0.20283930000005057,0.017933999999968364,0.001315599999998085,0.2296872000001713
4000,2000,2000,16.372460430715797,0.9999707757876269,plateau_0.08,0.08,8,0.09207768236188925,0.037493200338664094,1.157082281870743,0.05203486027285875,1.5155976359497414e-15,1.0756775893628332,0.01,2,1,1,closest_to_a_nc,1.4553951656573154e-15,1.0329495944242137,1.4412251064901604e-36,-0.04059124194367092,True,inconclusive,True,"ideal.txt (3:1:1, 183 modes, k_max=250)",n_plateau=8; Biot-Savart downsampled,local_cpp_scan,0.20283930000005057,0.017933999999968364,0.001315599999998085,0.230896500000199
4000,2000,2000,16.372460430715797,0.9999707757876269,plateau_0.12,0.12,12,0.09017285877214817,0.03439995793354612,1.1331455626870826,0.06555850698265145,1.4998390222457646e-15,1.0644930987046834,0.0,2,1,1,closest_to_a_nc,1.4932776137813508e-15,1.0598362162495965,1.4558410598782707e-36,0.0,True,inconclusive,True,"ideal.txt (3:1:1, 183 modes, k_max=250)",n_plateau=12; Biot-Savart downsampled; no-contact case,local_cpp_scan,0.20283930000005057,0.017933999999968364,0.001315599999998085,0.23252410000031887
4000,2000,2000,16.372460430715797,0.9999707757876269,plateau_0.12,0.12,12,0.09017285877214817,0.03439995793354612,1.1331455626870826,0.06555850698265145,1.4998390222457646e-15,1.0644930987046834,0.001,2,1,1,closest_to_a_nc,1.4932776137813508e-15,1.0598362162495965,1.4583072414573975e-36,0.0,True,inconclusive,True,"ideal.txt (3:1:1, 183 modes, k_max=250)",n_plateau=12; Biot-Savart downsampled,local_cpp_scan,0.20283930000005057,0.017933999999968364,0.001315599999998085,0.23378500000035274
