N_geom,N_int_target,N_int_actual,L_dimless,d_min_dimless,fit_method,plateau_frac,n_plateau,A_K,A_spread,A_ratio,a_fit_ref_dimless,a_nc_m,a_nc_over_rc,lambda_K,p_exp,root_count,min_root_count,root_choice,a_star_m,a_star_over_rc,E_star_J,delta_lambda_over_rc,is_min,status,uses_local_sst_core,ideal_source,notes,bs_backend,t_geometry_s,t_scan_s,t_fit_s,t_total_block_s
4000,2000,2000,31.898600666412335,1.5311305583370987,global,,0,0.0790479923451136,nan,0.9933463681297243,0.16753815360411964,1.404274959099812e-15,0.9966676293081577,0.0,2,1,1,closest_to_a_nc,1.403241976069619e-15,0.9959344817567138,3.949218279640965e-36,0.0,True,stable,True,Torus R_t/r_t=2.00,Biot-Savart downsampled; no-contact case,local_cpp_scan,0.15462740000020858,0.01679280000007566,0.01545910000004369,0.18808920000037688
4000,2000,2000,31.898600666412335,1.5311305583370987,global,,0,0.0790479923451136,nan,0.9933463681297243,0.16753815360411964,1.404274959099812e-15,0.9966676293081577,0.001,2,1,1,closest_to_a_nc,1.403241976069619e-15,0.9959344817567138,3.950482052587432e-36,0.0,True,stable,True,Torus R_t/r_t=2.00,Biot-Savart downsampled,local_cpp_scan,0.15462740000020858,0.01679280000007566,0.01545910000004369,0.18980129999999917
4000,2000,2000,31.898600666412335,1.5311305583370987,plateau_0.08,0.08,9,0.06883862804788639,0.020709027589843977,0.8650517126337606,0.07582603625308516,1.3104571738472959e-15,0.930081560099527,0.0,2,1,1,closest_to_a_nc,1.315932161718069e-15,0.9339673683212675,4.095978390223957e-36,0.0,True,inconclusive,True,Torus R_t/r_t=2.00,n_plateau=9; Biot-Savart downsampled; no-contact case,local_cpp_scan,0.15462740000020858,0.01679280000007566,0.01545910000004369,0.19061540000029709
4000,2000,2000,31.898600666412335,1.5311305583370987,plateau_0.08,0.08,9,0.06883862804788639,0.020709027589843977,0.8650517126337606,0.07582603625308516,1.3104571738472959e-15,0.930081560099527,0.001,2,1,1,closest_to_a_nc,1.315932161718069e-15,0.9339673683212675,4.0970545408358413e-36,0.0,True,inconclusive,True,Torus R_t/r_t=2.00,n_plateau=9; Biot-Savart downsampled,local_cpp_scan,0.15462740000020858,0.01679280000007566,0.01545910000004369,0.19190910000043004
4000,2000,2000,31.898600666412335,1.5311305583370987,plateau_0.12,0.12,13,0.07401053159519475,0.017592497137538427,0.9300437693909563,0.09367645622293355,1.3587935958258536e-15,0.9643877668651094,0.0,2,1,1,closest_to_a_nc,1.3501845304405663e-15,0.9582775840034756,4.001049243973598e-36,0.0,True,drift,True,Torus R_t/r_t=2.00,n_plateau=13; Biot-Savart downsampled; no-contact case,local_cpp_scan,0.15462740000020858,0.01679280000007566,0.01545910000004369,0.1926367000000937
4000,2000,2000,31.898600666412335,1.5311305583370987,plateau_0.12,0.12,13,0.07401053159519475,0.017592497137538427,0.9300437693909563,0.09367645622293355,1.3587935958258536e-15,0.9643877668651094,0.001,2,1,1,closest_to_a_nc,1.3501845304405663e-15,0.9582775840034756,4.002196490973064e-36,0.0,True,drift,True,Torus R_t/r_t=2.00,n_plateau=13; Biot-Savart downsampled,local_cpp_scan,0.15462740000020858,0.01679280000007566,0.01545910000004369,0.19387430000006134
4000,2000,2000,31.898600666412335,1.5311305583370987,plateau_0.16,0.16,16,0.0782562629465916,0.015897955271544834,0.9833972030816133,0.1157290936479637,1.3972247882291634e-15,0.9916638534860985,0.0,2,1,1,closest_to_a_nc,1.403241976069619e-15,0.9959344817567138,3.9536419748727095e-36,0.0,True,stable,True,Torus R_t/r_t=2.00,n_plateau=16; Biot-Savart downsampled; no-contact case,local_cpp_scan,0.15462740000020858,0.01679280000007566,0.01545910000004369,0.19457050000028175
4000,2000,2000,31.898600666412335,1.5311305583370987,plateau_0.16,0.16,16,0.0782562629465916,0.015897955271544834,0.9833972030816133,0.1157290936479637,1.3972247882291634e-15,0.9916638534860985,0.001,2,1,1,closest_to_a_nc,1.403241976069619e-15,0.9959344817567138,3.954905747819176e-36,0.0,True,stable,True,Torus R_t/r_t=2.00,n_plateau=16; Biot-Savart downsampled,local_cpp_scan,0.15462740000020858,0.01679280000007566,0.01545910000004369,0.19617580000021917
4000,2000,2000,32.86859356263447,1.584423381811078,global,,0,0.07913640716668159,nan,0.9944574215453501,0.17316689593758522,1.405060077215526e-15,0.9972248576529665,0.0,2,1,1,closest_to_a_nc,1.3971793118106246e-15,0.9916315771331231,4.173190672320287e-36,0.0,True,stable,True,Torus R_t/r_t=2.10,Biot-Savart downsampled; no-contact case,local_cpp_scan,0.15449549999993906,0.016808599999876606,0.00044079999997848063,0.17266689999996743
4000,2000,2000,32.86859356263447,1.584423381811078,global,,0,0.07913640716668159,nan,0.9944574215453501,0.17316689593758522,1.405060077215526e-15,0.9972248576529665,0.001,2,1,1,closest_to_a_nc,1.3971793118106246e-15,0.9916315771331231,4.174372805534711e-36,0.0,True,stable,True,Torus R_t/r_t=2.10,Biot-Savart downsampled,local_cpp_scan,0.15449549999993906,0.016808599999876606,0.00044079999997848063,0.1740853999999672
4000,2000,2000,32.86859356263447,1.584423381811078,plateau_0.08,0.08,9,0.07092466260910654,0.01959116982867873,0.8912655960444152,0.07831108219535166,1.330164548229435e-15,0.9440686371872833,0.0,2,1,1,closest_to_a_nc,1.3271893663330192e-15,0.9419570368427453,4.2932147084508246e-36,0.0,True,inconclusive,True,Torus R_t/r_t=2.10,n_plateau=9; Biot-Savart downsampled; no-contact case,local_cpp_scan,0.15449549999993906,0.016808599999876606,0.00044079999997848063,0.17507049999994706
4000,2000,2000,32.86859356263447,1.584423381811078,plateau_0.08,0.08,9,0.07092466260910654,0.01959116982867873,0.8912655960444152,0.07831108219535166,1.330164548229435e-15,0.9440686371872833,0.001,2,1,1,closest_to_a_nc,1.3271893663330192e-15,0.9419570368427453,4.2942552757709706e-36,0.0,True,inconclusive,True,Torus R_t/r_t=2.10,n_plateau=9; Biot-Savart downsampled,local_cpp_scan,0.15449549999993906,0.016808599999876606,0.00044079999997848063,0.17645279999987906
4000,2000,2000,32.86859356263447,1.584423381811078,plateau_0.12,0.12,13,0.07370226943074512,0.01673007294660688,0.9261700327860978,0.09676708635417737,1.3559608792441335e-15,0.9623772796014081,0.0,2,1,1,closest_to_a_nc,1.3617347485819473e-15,0.9664752154276958,4.227901934878805e-36,0.0,True,drift,True,Torus R_t/r_t=2.10,n_plateau=13; Biot-Savart downsampled; no-contact case,local_cpp_scan,0.15449549999993906,0.016808599999876606,0.00044079999997848063,0.177133799999865
4000,2000,2000,32.86859356263447,1.584423381811078,plateau_0.12,0.12,13,0.07370226943074512,0.01673007294660688,0.9261700327860978,0.09676708635417737,1.3559608792441335e-15,0.9623772796014081,0.001,2,1,1,closest_to_a_nc,1.3617347485819473e-15,0.9664752154276958,4.229010809761565e-36,0.0,True,drift,True,Torus R_t/r_t=2.10,n_plateau=13; Biot-Savart downsampled,local_cpp_scan,0.15449549999993906,0.016808599999876606,0.00044079999997848063,0.1783513000000312
4000,2000,2000,32.86859356263447,1.584423381811078,plateau_0.16,0.16,16,0.07750794455487797,0.015175099844928281,0.9739935568337985,0.11957271868773432,1.3905283237593764e-15,0.9869111166202875,0.0,2,1,1,closest_to_a_nc,1.3971793118106246e-15,0.9916315771331231,4.182514017170472e-36,0.0,True,drift,True,Torus R_t/r_t=2.10,n_plateau=16; Biot-Savart downsampled; no-contact case,local_cpp_scan,0.15449549999993906,0.016808599999876606,0.00044079999997848063,0.17901389999997264
4000,2000,2000,32.86859356263447,1.584423381811078,plateau_0.16,0.16,16,0.07750794455487797,0.015175099844928281,0.9739935568337985,0.11957271868773432,1.3905283237593764e-15,0.9869111166202875,0.001,2,1,1,closest_to_a_nc,1.3971793118106246e-15,0.9916315771331231,4.183696150384896e-36,0.0,True,drift,True,Torus R_t/r_t=2.10,n_plateau=16; Biot-Savart downsampled,local_cpp_scan,0.15449549999993906,0.016808599999876606,0.00044079999997848063,0.18036810000012338
4000,2000,2000,33.85950485404887,1.6400590368301566,global,,0,0.07920674458301487,nan,0.9953413075870505,0.17897092240625395,1.405684355906985e-15,0.9976679321088713,0.0,2,1,1,closest_to_a_nc,1.4095508850826614e-15,1.0004121556971368,4.4066263803881324e-36,0.0,True,stable,True,Torus R_t/r_t=2.20,Biot-Savart downsampled; no-contact case,local_cpp_scan,0.15802419999999984,0.015783900000315043,0.0003873000000567117,0.17519809999976133
4000,2000,2000,33.85950485404887,1.6400590368301566,global,,0,0.07920674458301487,nan,0.9953413075870505,0.17897092240625395,1.405684355906985e-15,0.9976679321088713,0.001,2,1,1,closest_to_a_nc,1.4095508850826614e-15,1.0004121556971368,4.407768685257485e-36,0.0,True,stable,True,Torus R_t/r_t=2.20,Biot-Savart downsampled,local_cpp_scan,0.15802419999999984,0.015783900000315043,0.0003873000000567117,0.17680329999984679
4000,2000,2000,33.85950485404887,1.6400590368301566,plateau_0.08,0.08,9,0.07275920321367235,0.01826362319773913,0.9143191131884797,0.0808506617854729,1.3472577692609059e-15,0.9562003496929291,0.0,2,1,1,closest_to_a_nc,1.338941201156696e-15,0.9502977633349725,4.502381614222295e-36,0.0,True,inconclusive,True,Torus R_t/r_t=2.20,n_plateau=9; Biot-Savart downsampled; no-contact case,local_cpp_scan,0.15802419999999984,0.015783900000315043,0.0003873000000567117,0.1775841999997283
4000,2000,2000,33.85950485404887,1.6400590368301566,plateau_0.08,0.08,9,0.07275920321367235,0.01826362319773913,0.9143191131884797,0.0808506617854729,1.3472577692609059e-15,0.9562003496929291,0.001,2,1,1,closest_to_a_nc,1.338941201156696e-15,0.9502977633349725,4.5033879025457083e-36,0.0,True,inconclusive,True,Torus R_t/r_t=2.20,n_plateau=9; Biot-Savart downsampled,local_cpp_scan,0.15802419999999984,0.015783900000315043,0.0003873000000567117,0.17883050000000367
4000,2000,2000,33.85950485404887,1.6400590368301566,plateau_0.12,0.12,13,0.07558155435202701,0.01551092895200306,0.9497858235969029,0.09993323620930235,1.3731394326379213e-15,0.9745695557471746,0.0,2,1,1,closest_to_a_nc,1.373792471650675e-15,0.9750330425027203,4.444756848150877e-36,0.0,True,drift,True,Torus R_t/r_t=2.20,n_plateau=13; Biot-Savart downsampled; no-contact case,local_cpp_scan,0.15802419999999984,0.015783900000315043,0.0003873000000567117,0.17949559999988196
4000,2000,2000,33.85950485404887,1.6400590368301566,plateau_0.12,0.12,13,0.07558155435202701,0.01551092895200306,0.9497858235969029,0.09993323620930235,1.3731394326379213e-15,0.9745695557471746,0.001,2,1,1,closest_to_a_nc,1.373792471650675e-15,0.9750330425027203,4.445828786144217e-36,0.0,True,drift,True,Torus R_t/r_t=2.20,n_plateau=13; Biot-Savart downsampled,local_cpp_scan,0.15802419999999984,0.015783900000315043,0.0003873000000567117,0.1807027999998354
4000,2000,2000,33.85950485404887,1.6400590368301566,plateau_0.16,0.16,16,0.07698516961180077,0.014021870802865655,0.9674241731511899,0.12351972734326588,1.3858309777372774e-15,0.9835772305507912,0.0,2,1,1,closest_to_a_nc,1.3915568239691436e-15,0.9876410825426798,4.4175995159864336e-36,0.0,True,drift,True,Torus R_t/r_t=2.20,n_plateau=16; Biot-Savart downsampled; no-contact case,local_cpp_scan,0.15802419999999984,0.015783900000315043,0.0003873000000567117,0.18137410000008458
4000,2000,2000,33.85950485404887,1.6400590368301566,plateau_0.16,0.16,16,0.07698516961180077,0.014021870802865655,0.9674241731511899,0.12351972734326588,1.3858309777372774e-15,0.9835772305507912,0.001,2,1,1,closest_to_a_nc,1.3915568239691436e-15,0.9876410825426798,4.4187060246359675e-36,0.0,True,drift,True,Torus R_t/r_t=2.20,n_plateau=16; Biot-Savart downsampled,local_cpp_scan,0.15802419999999984,0.015783900000315043,0.0003873000000567117,0.1826019999998607
4000,2000,2000,34.86943872124428,1.6978072214033892,global,,0,0.07929870438672937,nan,0.9964969085621507,0.18493300487924644,1.4065001258265419e-15,0.9982469152108038,0.0,2,1,1,closest_to_a_nc,1.4040100412770945e-15,0.9964796070005474,4.647755042172325e-36,0.0,True,stable,True,Torus R_t/r_t=2.30,Biot-Savart downsampled; no-contact case,local_cpp_scan,0.154492399999981,0.016909599999962666,0.0003645000001597509,0.1725480999998581
4000,2000,2000,34.86943872124428,1.6978072214033892,global,,0,0.07929870438672937,nan,0.9964969085621507,0.18493300487924644,1.4065001258265419e-15,0.9982469152108038,0.001,2,1,1,closest_to_a_nc,1.4040100412770945e-15,0.9964796070005474,4.648824565219625e-36,0.0,True,stable,True,Torus R_t/r_t=2.30,Biot-Savart downsampled,local_cpp_scan,0.154492399999981,0.016909599999962666,0.0003645000001597509,0.1746421000002556
4000,2000,2000,34.86943872124428,1.6978072214033892,plateau_0.08,0.08,9,0.07533409562618402,0.017017640751515975,0.9466761655362028,0.0834395892259663,1.370889717602677e-15,0.9729728469713997,0.0,2,1,1,closest_to_a_nc,1.3683921916130787e-15,0.9712002572865532,4.7107377756382727e-36,0.0,True,drift,True,Torus R_t/r_t=2.30,n_plateau=9; Biot-Savart downsampled; no-contact case,local_cpp_scan,0.154492399999981,0.016909599999962666,0.0003645000001597509,0.17541220000020985
4000,2000,2000,34.86943872124428,1.6978072214033892,plateau_0.08,0.08,9,0.07533409562618402,0.017017640751515975,0.9466761655362028,0.0834395892259663,1.370889717602677e-15,0.9729728469713997,0.001,2,1,1,closest_to_a_nc,1.3683921916130787e-15,0.9712002572865532,4.711741982503092e-36,0.0,True,drift,True,Torus R_t/r_t=2.30,n_plateau=9; Biot-Savart downsampled,local_cpp_scan,0.154492399999981,0.016909599999962666,0.0003645000001597509,0.1767334999999548
4000,2000,2000,34.86943872124428,1.6978072214033892,plateau_0.12,0.12,13,0.07644875021414543,0.014447385188698068,0.9606833281955216,0.10316762411000148,1.3809944221981883e-15,0.9801445421645714,0.0,2,1,1,closest_to_a_nc,1.3860867135319999e-15,0.9837587360220691,4.678587611006166e-36,0.0,True,drift,True,Torus R_t/r_t=2.30,n_plateau=13; Biot-Savart downsampled; no-contact case,local_cpp_scan,0.154492399999981,0.016909599999962666,0.0003645000001597509,0.17744130000028235
4000,2000,2000,34.86943872124428,1.6978072214033892,plateau_0.12,0.12,13,0.07644875021414543,0.014447385188698068,0.9606833281955216,0.10316762411000148,1.3809944221981883e-15,0.9801445421645714,0.001,2,1,1,closest_to_a_nc,1.3860867135319999e-15,0.9837587360220691,4.6796239140820794e-36,0.0,True,drift,True,Torus R_t/r_t=2.30,n_plateau=13; Biot-Savart downsampled,local_cpp_scan,0.154492399999981,0.016909599999962666,0.0003645000001597509,0.1787107999998625
4000,2000,2000,34.86943872124428,1.6978072214033892,plateau_0.16,0.16,16,0.07647715757971316,0.013054365784384646,0.9610403056794232,0.12756005588280514,1.3812509781888818e-15,0.9803266297602892,0.0,2,1,1,closest_to_a_nc,1.3860867135319999e-15,0.9837587360220691,4.6594422699561014e-36,0.0,True,drift,True,Torus R_t/r_t=2.30,n_plateau=16; Biot-Savart downsampled; no-contact case,local_cpp_scan,0.154492399999981,0.016909599999962666,0.0003645000001597509,0.17938469999990048
4000,2000,2000,34.86943872124428,1.6978072214033892,plateau_0.16,0.16,16,0.07647715757971316,0.013054365784384646,0.9610403056794232,0.12756005588280514,1.3812509781888818e-15,0.9803266297602892,0.001,2,1,1,closest_to_a_nc,1.3860867135319999e-15,0.9837587360220691,4.660478573032015e-36,0.0,True,drift,True,Torus R_t/r_t=2.30,n_plateau=16; Biot-Savart downsampled,local_cpp_scan,0.154492399999981,0.016909599999962666,0.0003645000001597509,0.1808949000001121
4000,2000,2000,35.89667266640264,1.7574597017039577,global,,0,0.07930004762422402,nan,0.9965137881823316,0.191037573244468,1.4065120381000106e-15,0.9982553698067367,0.0,2,1,1,closest_to_a_nc,1.3983882724796925e-15,0.9924896227431788,4.897964029929345e-36,0.0,True,stable,True,Torus R_t/r_t=2.40,Biot-Savart downsampled; no-contact case,local_cpp_scan,0.152368099999876,0.01599420000002283,0.0004641000000447093,0.16961199999968812
4000,2000,2000,35.89667266640264,1.7574597017039577,global,,0,0.07930004762422402,nan,0.9965137881823316,0.191037573244468,1.4065120381000106e-15,0.9982553698067367,0.001,2,1,1,closest_to_a_nc,1.3983882724796925e-15,0.9924896227431788,4.898965891800625e-36,0.0,True,stable,True,Torus R_t/r_t=2.40,Biot-Savart downsampled,local_cpp_scan,0.152368099999876,0.01599420000002283,0.0004641000000447093,0.17099519999965196
4000,2000,2000,35.89667266640264,1.7574597017039577,plateau_0.08,0.08,9,0.07748566001564862,0.015894874536323707,0.9737135210548723,0.08607319229403702,1.3903284119258867e-15,0.9867692315486613,0.0,2,1,1,closest_to_a_nc,1.3983882724796925e-15,0.9924896227431788,4.932372904583936e-36,0.0,True,drift,True,Torus R_t/r_t=2.40,n_plateau=9; Biot-Savart downsampled; no-contact case,local_cpp_scan,0.152368099999876,0.01599420000002283,0.0004641000000447093,0.1720101999999315
4000,2000,2000,35.89667266640264,1.7574597017039577,plateau_0.08,0.08,9,0.07748566001564862,0.015894874536323707,0.9737135210548723,0.08607319229403702,1.3903284119258867e-15,0.9867692315486613,0.001,2,1,1,closest_to_a_nc,1.3805367111762192e-15,0.9798196871522263,4.933370054709269e-36,-0.01266993559095242,True,drift,True,Torus R_t/r_t=2.40,n_plateau=9; Biot-Savart downsampled,local_cpp_scan,0.152368099999876,0.01599420000002283,0.0004641000000447093,0.1734358999997312
