fit_method,n_main_rows,A_inf,A_inf_minus_target,A_alpha,A_tail_quasi_monotone,anc_inf,anc_inf_minus_1,anc_alpha,anc_tail_quasi_monotone,theorem_no_contact_ok,n_shiftfree_rows,astar_inf,astar_inf_minus_1,astar_alpha,astar_tail_quasi_monotone,F1_inf,F1_inf_minus_0,F1_alpha,F1_tail_quasi_monotone,shiftfree_root_choice_summary,theorem_shiftfree_ok
plateau_0.04,3,0.07987773370019512,0.00030026215424744374,3.27,True,1.0019280405771809,0.0019280405771808784,3.27,True,False,3,1.0019280405771809,0.0019280405771808784,3.27,True,-0.0037732055117392126,-0.0037732055117392126,3.27,True,targeted_x_nc:3,False
plateau_0.06,3,0.08224538008522843,0.0026679085392807556,0.25,False,1.0168111075509962,0.01681110755099624,0.25,False,False,3,1.0168111075509962,0.01681110755099624,0.25,False,-0.03352592746981548,-0.03352592746981548,0.25,False,targeted_x_nc:3,False
plateau_0.08,3,0.08175793609262627,0.0021804645466785982,0.25,False,1.0137308668136171,0.013730866813617126,0.25,False,False,3,1.0137308668136171,0.013730866813617126,0.25,False,-0.02740052560503457,-0.02740052560503457,0.25,False,targeted_x_nc:3,False
plateau_0.10,3,0.08091301040698798,0.0013355388610403057,0.25,False,1.0084083880450718,0.008408388045071824,0.25,False,False,3,1.0084083880450718,0.008408388045071824,0.25,False,-0.016782876297712405,-0.016782876297712405,0.25,False,targeted_x_nc:3,False
plateau_0.12,3,0.08118708325984665,0.0016096117138989785,0.25,False,1.010139043052842,0.010139043052842078,0.25,False,False,3,1.010139043052842,0.010139043052842078,0.25,False,-0.020226977342068117,-0.020226977342068117,0.25,False,targeted_x_nc:3,False
