N_geom,N_int_actual,fit_method,plateau_frac,p_exp,lambda_K,A_K,A_ratio,a_nc_over_rc,a_star_over_rc,is_min,E_star_J,root_count,min_root_count,root_choice,continuation_prev_a_star_over_rc,continuation_jump,beta_dimless,contact_model,postcheck_root_selection_mode,postcheck_contact_model,contact_force_at_x1,F_at_x1,legacy_contact_model,legacy_a_star_over_rc,legacy_F_at_x1,delta_a_star_vs_legacy,theorem_candidate_full_model
32000,32000,plateau_0.04,0.04,2,0.0,0.07632404183508444,0.9591161964855253,0.9793447791689734,0.9793447791689734,True,2.5392847303692943e-36,1,1,targeted_x_nc,nan,nan,6.282618087095544,barrier_flat_at_rc,targeted_x_nc,barrier_flat_at_rc,0.0,0.04088380351447474,legacy,0.9793447791689734,0.04088380351447474,0.0,False
32000,32000,plateau_0.04,0.04,2,0.001,0.07632404183508444,0.9591161964855253,0.9793447791689734,0.9795378436844578,True,2.5392891152272282e-36,1,1,targeted_x_nc,nan,nan,6.282618087095544,barrier_flat_at_rc,targeted_x_nc,barrier_flat_at_rc,0.0,0.04088380351447474,legacy,0.9755611380439055,0.04892484811014598,0.003976705640552303,False
32000,32000,plateau_0.04,0.04,2,0.003,0.07632404183508444,0.9591161964855253,0.9793447791689734,0.9799136818239069,True,2.5392976452291692e-36,1,1,targeted_x_nc,nan,nan,6.282618087095544,barrier_flat_at_rc,targeted_x_nc,barrier_flat_at_rc,0.0,0.04088380351447474,legacy,0.9682347751049781,0.06500693730148847,0.011678906718928794,False
32000,32000,plateau_0.04,0.04,2,0.01,0.07632404183508444,0.9591161964855253,0.9793447791689734,0.9811298300980948,True,2.5393251947525e-36,1,1,targeted_x_nc,nan,nan,6.282618087095544,barrier_flat_at_rc,targeted_x_nc,barrier_flat_at_rc,0.0,0.04088380351447474,legacy,0.9447847618580848,0.1212942494711872,0.03634506824001005,False
32000,32000,plateau_0.06,0.06,2,0.0,0.07886869744574956,0.9910932819750516,0.995536680376495,0.995536680376495,True,2.4495882155999378e-36,1,1,targeted_x_nc,nan,nan,6.282618087095544,barrier_flat_at_rc,targeted_x_nc,barrier_flat_at_rc,0.0,0.008906718024948357,legacy,0.995536680376495,0.008906718024948357,0.0,True
32000,32000,plateau_0.06,0.06,2,0.001,0.07886869744574956,0.9910932819750516,0.995536680376495,0.9955791451179882,True,2.4495884227902486e-36,1,1,targeted_x_nc,nan,nan,6.282618087095544,barrier_flat_at_rc,targeted_x_nc,barrier_flat_at_rc,0.0,0.008906718024948357,legacy,0.9916042401743751,0.016947762620619602,0.003974904943613078,True
32000,32000,plateau_0.06,0.06,2,0.003,0.07886869744574956,0.9910932819750516,0.995536680376495,0.9956617121004843,True,2.4495888255819005e-36,1,1,targeted_x_nc,nan,nan,6.282618087095544,barrier_flat_at_rc,targeted_x_nc,barrier_flat_at_rc,0.0,0.008906718024948357,legacy,0.9839979318307219,0.033029851811962094,0.011663780269762336,True
32000,32000,plateau_0.06,0.06,2,0.01,0.07886869744574956,0.9910932819750516,0.995536680376495,0.9959280370025403,True,2.4495901242743585e-36,1,1,targeted_x_nc,nan,nan,6.282618087095544,barrier_flat_at_rc,targeted_x_nc,barrier_flat_at_rc,0.0,0.008906718024948357,legacy,0.9597176372043574,0.08931716398166081,0.03621039979818286,True
32000,32000,plateau_0.08,0.08,2,0.0,0.07899720947793926,0.9927082117999517,0.996347435285479,0.996347435285479,True,2.464259025674821e-36,1,1,targeted_x_nc,nan,nan,6.282618087095544,barrier_flat_at_rc,targeted_x_nc,barrier_flat_at_rc,0.0,0.007291788200048277,legacy,0.996347435285479,0.007291788200048277,0.0,True
32000,32000,plateau_0.08,0.08,2,0.001,0.07899720947793926,0.9927082117999517,0.996347435285479,0.9963822173753406,True,2.4642591645129497e-36,1,1,targeted_x_nc,nan,nan,6.282618087095544,barrier_flat_at_rc,targeted_x_nc,barrier_flat_at_rc,0.0,0.007291788200048277,legacy,0.992407404140785,0.015332832795719523,0.003974813234555619,True
32000,32000,plateau_0.08,0.08,2,0.003,0.07899720947793926,0.9927082117999517,0.996347435285479,0.9964498423479248,True,2.4642594344145003e-36,1,1,targeted_x_nc,nan,nan,6.282618087095544,barrier_flat_at_rc,targeted_x_nc,barrier_flat_at_rc,0.0,0.007291788200048277,legacy,0.9847868312345198,0.031414921987062014,0.011663011113404953,True
32000,32000,plateau_0.08,0.08,2,0.01,0.07899720947793926,0.9927082117999517,0.996347435285479,0.9966679356878795,True,2.4642603045636338e-36,1,1,targeted_x_nc,nan,nan,6.282618087095544,barrier_flat_at_rc,targeted_x_nc,barrier_flat_at_rc,0.0,0.007291788200048277,legacy,0.9604643519280426,0.08770223415676073,0.0362035837598369,True
32000,32000,plateau_0.10,0.1,2,0.0,0.07912572151012896,0.994323141624852,0.9971575309974108,0.9971575309974108,True,2.4600270616303078e-36,1,1,targeted_x_nc,nan,nan,6.282618087095544,barrier_flat_at_rc,targeted_x_nc,barrier_flat_at_rc,0.0,0.005676858375147864,legacy,0.9971575309974108,0.005676858375147864,0.0,True
