knot_id,mode,N_geom,N_int_target,N_int_actual,R_t_over_r_t,L_dimless,d_min_dimless,fit_method,plateau_frac,n_plateau,A_K,A_ratio,a_K,closure_x_from_A,lambda_K,p_exp,candidate_index,candidate_count,candidate_selected,selected_root_choice,candidate_is_min,a_candidate_m,a_candidate_over_rc,E_candidate_J,ideal_source,bs_backend
K11a247,ideal,24000,24000,24000,nan,46.163909281214316,0.999546589735028,global,,0,0.07883818601961408,0.9907098640862605,-0.35234409800860705,0.9953440933095753,0.0,2,0,1,True,closest_to_a_nc,True,1.4024101363588883e-15,0.9953440933095753,3.607075467829969e-36,"ideal.txt (K11a247, 235 modes, k_max=254)",local_cpp_scan
K11a247,ideal,24000,24000,24000,nan,46.163909281214316,0.999546589735028,global,,0,0.07883818601961408,0.9907098640862605,-0.35234409800860705,0.9953440933095753,0.001,2,0,1,True,continuation,True,1.396865249102779e-15,0.9914086748215393,3.6128192490234906e-36,"ideal.txt (K11a247, 235 modes, k_max=254)",local_cpp_scan
K11a247,ideal,24000,24000,24000,nan,46.163909281214316,0.999546589735028,global,,0,0.07883818601961408,0.9907098640862605,-0.35234409800860705,0.9953440933095753,0.003,2,0,1,True,continuation,True,1.3861404449123463e-15,0.9837968712370584,3.62411229883994e-36,"ideal.txt (K11a247, 235 modes, k_max=254)",local_cpp_scan
K11a247,ideal,24000,24000,24000,nan,46.163909281214316,0.999546589735028,global,,0,0.07883818601961408,0.9907098640862605,-0.35234409800860705,0.9953440933095753,0.01,2,0,1,True,continuation,True,1.3519085371861885e-15,0.9595011775062552,3.6617880317997226e-36,"ideal.txt (K11a247, 235 modes, k_max=254)",local_cpp_scan
K11a247,ideal,24000,24000,24000,nan,46.163909281214316,0.999546589735028,plateau_0.01,0.01,3,0.08917533917242385,1.1206103617018595,-0.44226012179085494,1.0585888539474897,0.0,2,0,1,True,closest_to_a_nc,True,1.4915201175064998e-15,1.0585888539474897,2.7598993146301048e-36,"ideal.txt (K11a247, 235 modes, k_max=254)",local_cpp_scan
K11a247,ideal,24000,24000,24000,nan,46.163909281214316,0.999546589735028,plateau_0.01,0.01,3,0.08917533917242385,1.1206103617018595,-0.44226012179085494,1.0585888539474897,0.001,2,0,1,True,continuation,True,1.485079392670947e-15,1.054017625278005,2.7667919614462995e-36,"ideal.txt (K11a247, 235 modes, k_max=254)",local_cpp_scan
K11a247,ideal,24000,24000,24000,nan,46.163909281214316,0.999546589735028,plateau_0.01,0.01,3,0.08917533917242385,1.1206103617018595,-0.44226012179085494,1.0585888539474897,0.003,2,0,1,True,continuation,True,1.4726792428224519e-15,1.0452167648250863,2.7803155551283953e-36,"ideal.txt (K11a247, 235 modes, k_max=254)",local_cpp_scan
K11a247,ideal,24000,24000,24000,nan,46.163909281214316,0.999546589735028,plateau_0.01,0.01,3,0.08917533917242385,1.1206103617018595,-0.44226012179085494,1.0585888539474897,0.01,2,0,1,True,continuation,True,1.4335502334220778e-15,1.0174454108010518,2.8251913825159444e-36,"ideal.txt (K11a247, 235 modes, k_max=254)",local_cpp_scan
K11a247,ideal,24000,24000,24000,nan,46.163909281214316,0.999546589735028,plateau_0.02,0.02,7,0.0743112134522615,0.9338222490438708,-0.31862122616059746,0.966344787870184,0.0,2,0,1,True,closest_to_a_nc,True,1.3615509800440672e-15,0.9663447878701841,3.8208045271314065e-36,"ideal.txt (K11a247, 235 modes, k_max=254)",local_cpp_scan
K11a247,ideal,24000,24000,24000,nan,46.163909281214316,0.999546589735028,plateau_0.02,0.02,7,0.0743112134522615,0.9338222490438708,-0.31862122616059746,0.966344787870184,0.001,2,0,1,True,continuation,True,1.356376775404178e-15,0.962672457007502,3.826076597924102e-36,"ideal.txt (K11a247, 235 modes, k_max=254)",local_cpp_scan
