knot_id,N_geom,N_int_target,N_int_actual,L_dimless,d_min_dimless,frac,method_name,n_plateau,a_lo,a_hi,a_span,a_span_over_dmin,a_ref,A_ref,A_median,A_std,A_min,A_max,A_median_minus_Areq,rel_dE_median,rel_dE_min,rel_dE_max,rel_dE_thresh,ideal_source,bs_backend
K11a247,24000,24000,24000,46.163909281214316,0.999546589735028,0.01,plateau_0.01,3,0.006309166944673975,0.009015405587591112,0.0027062386429171368,0.0027074662359005595,0.0075418630938289336,0.11147110000785429,0.08917533917242385,0.015281940751192599,0.07428298157989252,0.11147110000785429,0.009597867626476173,0.04891482466165598,0.03697826942384053,0.057621353432030634,0.0001,"ideal.txt (K11a247, 235 modes, k_max=254)",local_cpp_scan
K11a247,24000,24000,24000,46.163909281214316,0.999546589735028,0.02,plateau_0.02,7,0.006309166944673975,0.018408218915245578,0.012099051970571602,0.012104540293393393,0.010776851408940812,0.0743112134522615,0.0743112134522615,0.017698976021899137,0.0557304150150674,0.11147110000785429,-0.00526625809368618,0.04285787877080847,0.03492113468065884,0.06110896861564553,0.0001,"ideal.txt (K11a247, 235 modes, k_max=254)",local_cpp_scan
K11a247,24000,24000,24000,46.163909281214316,0.999546589735028,0.04,plateau_0.04,11,0.006309166944673975,0.037587052555685195,0.03127788561101122,0.03129207375846557,0.015399447702175963,0.0557304150150674,0.07767468729607249,0.015203529972010146,0.0557304150150674,0.11147110000785429,-0.0019027842498751807,0.04891482466165598,0.03492113468065884,0.07526048708098014,0.0001,"ideal.txt (K11a247, 235 modes, k_max=254)",local_cpp_scan
K11a247,24000,24000,24000,46.163909281214316,0.999546589735028,0.06,plateau_0.06,13,0.006309166944673975,0.05370955097608625,0.04740038403141227,0.04742188560112815,0.018408218915245578,0.09411778316281093,0.07767468729607249,0.014029620803724836,0.0557304150150674,0.11147110000785429,-0.0019027842498751807,0.053715248290591364,0.03492113468065884,0.07585807523609744,0.0001,"ideal.txt (K11a247, 235 modes, k_max=254)",local_cpp_scan
K11a247,24000,24000,24000,46.163909281214316,0.999546589735028,0.08,plateau_0.08,15,0.006309166944673975,0.07674759444835695,0.07043842750368298,0.07047037949712345,0.02200484914687709,0.07767468729607249,0.07799036640631118,0.013068967208227806,0.0557304150150674,0.11147110000785429,-0.0015871051396364882,0.057621353432030634,0.03492113468065884,0.08751557184422024,0.0001,"ideal.txt (K11a247, 235 modes, k_max=254)",local_cpp_scan
K11a247,24000,24000,24000,46.163909281214316,0.999546589735028,0.1,plateau_0.10,16,0.006309166944673975,0.09174267461710413,0.08543350767243016,0.08547226167324318,0.026304195327435775,0.06612662365928387,0.0788498388736175,0.012686887113322763,0.0557304150150674,0.11147110000785429,-0.0007276326723301696,0.059365161023838084,0.03492113468065884,0.10266428345611464,0.0001,"ideal.txt (K11a247, 235 modes, k_max=254)",local_cpp_scan
K11a247,24000,24000,24000,46.163909281214316,0.999546589735028,0.12,plateau_0.12,17,0.006309166944673975,0.10966751995808036,0.10335835301340639,0.10340523800977189,0.026304195327435775,0.06612662365928387,0.07799036640631118,0.012324340275146076,0.0557304150150674,0.11147110000785429,-0.0015871051396364882,0.06110896861564553,0.03492113468065884,0.1058775167438912,0.0001,"ideal.txt (K11a247, 235 modes, k_max=254)",local_cpp_scan
K11a247,24000,24000,24000,46.163909281214316,0.999546589735028,0.14,plateau_0.14,18,0.006309166944673975,0.13109455315044516,0.12478538620577119,0.12484199084592028,0.03144355533662403,0.08378343151458892,0.07783252685119184,0.011987361636056989,0.0557304150150674,0.11147110000785429,-0.0017449446947558345,0.06272335061476075,0.03492113468065884,0.11897683247297461,0.0001,"ideal.txt (K11a247, 235 modes, k_max=254)",local_cpp_scan
K11a247,24000,24000,24000,46.163909281214316,0.999546589735028,0.16,plateau_0.16,19,0.006309166944673975,0.15670803782454484,0.15039887087987086,0.15046709420492388,0.03144355533662403,0.08378343151458892,0.07799036640631118,0.011670238406143958,0.0557304150150674,0.11147110000785429,-0.0015871051396364882,0.06433773261387597,0.03492113468065884,0.1405182151629545,0.0001,"ideal.txt (K11a247, 235 modes, k_max=254)",local_cpp_scan
K11a247,32000,32000,32000,46.163909281214316,0.9995469453450637,0.01,plateau_0.01,4,0.00476156336854192,0.008444341558092113,0.0036827781895501935,0.003684447445616298,0.006976330556754909,0.08333650406887357,0.07640421548167607,0.01420649354081342,0.06944626174106451,0.10417164262935567,-0.0031732560642716012,0.04280362759252443,0.03478490442251327,0.05403894684314988,0.0001,"ideal.txt (K11a247, 235 modes, k_max=254)",local_cpp_scan
K11a247,32000,32000,32000,46.163909281214316,0.9995469453450637,0.02,plateau_0.02,8,0.00476156336854192,0.018126783818470306,0.013365220449928387,0.01337127836983629,0.010221262276724815,0.05952453157301891,0.0745065538324699,0.014743672913121097,0.05952453157301891,0.10417164262935567,-0.005070917713477771,0.04614112992144682,0.03478490442251327,0.06105773944524971,0.0001,"ideal.txt (K11a247, 235 modes, k_max=254)",local_cpp_scan
K11a247,32000,32000,32000,46.163909281214316,0.9995469453450637,0.04,plateau_0.04,12,0.00476156336854192,0.03891129809720713,0.034149734728665206,0.03416521343765003,0.014975523547753842,0.07954118077046124,0.07842938350084386,0.012616295181218325,0.05952453157301891,0.10417164262935567,-0.001148088045103815,0.05330787660647329,0.03478490442251327,0.07045592763731097,0.0001,"ideal.txt (K11a247, 235 modes, k_max=254)",local_cpp_scan
K11a247,32000,32000,32000,46.163909281214316,0.9995469453450637,0.06,plateau_0.06,14,0.00476156336854192,0.057010283578704295,0.05224872021016237,0.052272402465424035,0.018126783818470306,0.06676660161623406,0.07842938350084386,0.011769361246767066,0.05952453157301891,0.10417164262935567,-0.001148088045103815,0.05754834314419979,0.03478490442251327,0.08763492112935803,0.0001,"ideal.txt (K11a247, 235 modes, k_max=254)",local_cpp_scan
K11a247,32000,32000,32000,46.163909281214316,0.9995469453450637,0.08,plateau_0.08,15,0.00476156336854192,0.06900680851427468,0.06424524514573277,0.06427436494596461,0.018126783818470306,0.06676660161623406,0.07816422128948629,0.011377944037836998,0.05952453157301891,0.10417164262935567,-0.0014132502564613847,0.06105773944524971,0.03478490442251327,0.08887779560226484,0.0001,"ideal.txt (K11a247, 235 modes, k_max=254)",local_cpp_scan
K11a247,32000,32000,32000,46.163909281214316,0.9995469453450637,0.1,plateau_0.10,16,0.00476156336854192,0.08352773083038219,0.07876616746184027,0.07880186901541539,0.021941155549839875,0.08356654727706574,0.0785720856178839,0.011018127809099719,0.05952453157301891,0.10417164262935567,-0.0010053859280637761,0.06110462814253663,0.03478490442251327,0.09856562777760812,0.0001,"ideal.txt (K11a247, 235 modes, k_max=254)",local_cpp_scan
K11a247,32000,32000,32000,46.163909281214316,0.9995469453450637,0.12,plateau_0.12,17,0.00476156336854192,0.10110425286846225,0.09634268949992034,0.09638635778798854,0.021941155549839875,0.08356654727706574,0.0789799499462815,0.0107109436244494,0.05952453157301891,0.10417164262935567,-0.0005975215996661676,0.06115151683982354,0.03478490442251327,0.11432953941423944,0.0001,"ideal.txt (K11a247, 235 modes, k_max=254)",local_cpp_scan
K11a247,32000,32000,32000,46.163909281214316,0.9995469453450637,0.14,plateau_0.14,18,0.00476156336854192,0.12237935648997428,0.11761779312143236,0.11767110456310617,0.02655817555300304,0.0903937224104331,0.0785720856178839,0.010421901969942202,0.05952453157301891,0.10417164262935567,-0.0010053859280637761,0.061693821168179314,0.03478490442251327,0.12130350226316651,0.0001,"ideal.txt (K11a247, 235 modes, k_max=254)",local_cpp_scan
K11a247,32000,32000,32000,46.163909281214316,0.9995469453450637,0.16,plateau_0.16,19,0.00476156336854192,0.14813132454858327,0.14336976118004136,0.14343474495892458,0.02655817555300304,0.0903937224104331,0.0789799499462815,0.010143936239034194,0.05952453157301891,0.10417164262935567,-0.0005975215996661676,0.062236125496535094,0.03478490442251327,0.14187477746310315,0.0001,"ideal.txt (K11a247, 235 modes, k_max=254)",local_cpp_scan
K11a247,40000,40000,40000,46.16390928121432,0.9995465328576355,0.01,plateau_0.01,5,0.0038277765596648845,0.008541917558166865,0.00471414099850198,0.004716279676369416,0.005718089873702673,0.07930829020365353,0.07930829020365353,0.01666257208219878,0.06597223748298367,0.106214184270771,-0.0002691813422941447,0.0434835879972784,0.033168955573006566,0.06328039005942851,0.0001,"ideal.txt (K11a247, 235 modes, k_max=254)",local_cpp_scan
K11a247,40000,40000,40000,46.16390928121432,0.9995465328576355,0.02,plateau_0.02,9,0.0038277765596648845,0.019061811585184916,0.01523403502552003,0.015240946293882849,0.008541917558166865,0.106214184270771,0.07930829020365353,0.016407977429080452,0.05882119591553319,0.106214184270771,-0.0002691813422941447,0.0434835879972784,0.033168955573006566,0.07096660188816525,0.0001,"ideal.txt (K11a247, 235 modes, k_max=254)",local_cpp_scan
K11a247,40000,40000,40000,46.16390928121432,0.9995465328576355,0.04,plateau_0.04,12,0.0038277765596648845,0.034803327655665184,0.0309755510960003,0.030989603863107108,0.01276026735887456,0.08719017467724295,0.07875682283126545,0.014244700614039154,0.05882119591553319,0.106214184270771,-0.0008206487146822233,0.054711544139794635,0.033168955573006566,0.07096660188816525,0.0001,"ideal.txt (K11a247, 235 modes, k_max=254)",local_cpp_scan
K11a247,40000,40000,40000,46.16390928121432,0.9995465328576355,0.06,plateau_0.06,14,0.0038277765596648845,0.05199064060741258,0.0481628640477477,0.048184714232416326,0.015595954993890306,0.05882119591553319,0.07875682283126545,0.013246694438141332,0.05882119591553319,0.106214184270771,-0.0008206487146822233,0.059623304744329406,0.033168955573006566,0.08332969904527929,0.0001,"ideal.txt (K11a247, 235 modes, k_max=254)",local_cpp_scan
K11a247,40000,40000,40000,46.16390928121432,0.9995465328576355,0.08,plateau_0.08,16,0.0038277765596648845,0.07766575476667523,0.07383797820701034,0.07387147649435848,0.019061811585184916,0.09655957262167504,0.07938500380035547,0.01240725034481856,0.05882119591553319,0.106214184270771,-0.0001924677455922008,0.062328298638618926,0.033168955573006566,0.10347505876434814,0.0001,"ideal.txt (K11a247, 235 modes, k_max=254)",local_cpp_scan
K11a247,40000,40000,40000,46.16390928121432,0.9995465328576355,0.1,plateau_0.10,17,0.0038277765596648845,0.09492525366760195,0.09109747710793706,0.09113880556165362,0.019061811585184916,0.09655957262167504,0.07930829020365353,0.012042503699052687,0.05882119591553319,0.106214184270771,-0.0002691813422941447,0.06328039005942851,0.033168955573006566,0.10977889603607864,0.0001,"ideal.txt (K11a247, 235 modes, k_max=254)",local_cpp_scan
K11a247,40000,40000,40000,46.16390928121432,0.9995465328576355,0.12,plateau_0.12,18,0.0038277765596648845,0.11602029505705548,0.11219251849739059,0.11224341719903706,0.023297878267245112,0.07758409505570409,0.07938500380035547,0.011705761500454454,0.05882119591553319,0.106214184270771,-0.0001924677455922008,0.0651552669068039,0.033168955573006566,0.127335898715722,0.0001,"ideal.txt (K11a247, 235 modes, k_max=254)",local_cpp_scan
K11a247,40000,40000,40000,46.16390928121432,0.9995465328576355,0.14,plateau_0.14,18,0.0038277765596648845,0.11602029505705548,0.11219251849739059,0.11224341719903706,0.023297878267245112,0.07758409505570409,0.07938500380035547,0.011705761500454454,0.05882119591553319,0.106214184270771,-0.0001924677455922008,0.0651552669068039,0.033168955573006566,0.127335898715722,0.0001,"ideal.txt (K11a247, 235 modes, k_max=254)",local_cpp_scan
K11a247,40000,40000,40000,46.16390928121432,0.9995465328576355,0.16,plateau_0.16,19,0.0038277765596648845,0.14180324355267288,0.137975466993008,0.13803806271884664,0.023297878267245112,0.07758409505570409,0.07930829020365353,0.011403082539059828,0.05882119591553319,0.106214184270771,-0.0002691813422941447,0.06703014375417927,0.033168955573006566,0.14032392069041236,0.0001,"ideal.txt (K11a247, 235 modes, k_max=254)",local_cpp_scan
K11a247,48000,48000,48000,46.163909281214316,0.999546589735028,0.01,plateau_0.01,6,0.003202478688465932,0.00908783967471792,0.005885360986251989,0.005888030679802682,0.005987849737368007,0.06357875651782997,0.07841295747908508,0.01460490822585212,0.06357875651782997,0.10217916348273506,-0.0011645140668625903,0.04575535035242539,0.032079079461087366,0.06066795733155618,0.0001,"ideal.txt (K11a247, 235 modes, k_max=254)",local_cpp_scan
K11a247,48000,48000,48000,46.163909281214316,0.999546589735028,0.02,plateau_0.02,9,0.003202478688465932,0.016992031392898725,0.013789552704432793,0.013795807865332518,0.0073767620545536275,0.10217916348273506,0.08053100428607146,0.013011520791475556,0.06357875651782997,0.10217916348273506,0.0009535327401237886,0.04968486746918548,0.032079079461087366,0.06469913864986256,0.0001,"ideal.txt (K11a247, 235 modes, k_max=254)",local_cpp_scan
K11a247,48000,48000,48000,46.163909281214316,0.999546589735028,0.04,plateau_0.04,13,0.003202478688465932,0.03914036113975305,0.035937882451287116,0.03595418444758435,0.011195810484682175,0.06646563746588328,0.08117672851682654,0.011353384331283741,0.06357875651782997,0.10217916348273506,0.0015992569708788706,0.05715251923434829,0.032079079461087366,0.08183999050105012,0.0001,"ideal.txt (K11a247, 235 modes, k_max=254)",local_cpp_scan
K11a247,48000,48000,48000,46.163909281214316,0.999546589735028,0.06,plateau_0.06,15,0.003202478688465932,0.05940384987098655,0.05620137118252062,0.056226865020288015,0.013792735886134565,0.08201731075203607,0.08053100428607146,0.010625268014028189,0.06357875651782997,0.10217916348273506,0.0009535327401237886,0.060090456240217124,0.032079079461087366,0.0924511922505732,0.0001,"ideal.txt (K11a247, 235 modes, k_max=254)",local_cpp_scan
K11a247,48000,48000,48000,46.163909281214316,0.999546589735028,0.08,plateau_0.08,16,0.003202478688465932,0.073182876131309,0.06998039744284307,0.07001214166654736,0.016992031392898725,0.08754071522909294,0.08033247815499087,0.010287895508616784,0.06357875651782997,0.10217916348273506,0.0007550066090431934,0.06037920678588665,0.032079079461087366,0.10151535383746356,0.0001,"ideal.txt (K11a247, 235 modes, k_max=254)",local_cpp_scan
K11a247,48000,48000,48000,46.163909281214316,0.999546589735028,0.1,plateau_0.10,17,0.003202478688465932,0.09015801788069483,0.0869555391922289,0.0869949836107991,0.016992031392898725,0.08754071522909294,0.08049077768964401,0.009982166976952995,0.06357875651782997,0.10217916348273506,0.0009133061436963352,0.06066795733155618,0.032079079461087366,0.11388366296685352,0.0001,"ideal.txt (K11a247, 235 modes, k_max=254)",local_cpp_scan
K11a247,48000,48000,48000,46.163909281214316,0.999546589735028,0.12,plateau_0.12,18,0.003202478688465932,0.11107063042440578,0.10786815173593985,0.10791708244888801,0.020933419826265707,0.08704047258310244,0.08031236485677715,0.009705097137986623,0.06357875651782997,0.10217916348273506,0.0007348933108294736,0.06268354799070937,0.032079079461087366,0.1254522287260892,0.0001,"ideal.txt (K11a247, 235 modes, k_max=254)",local_cpp_scan
K11a247,48000,48000,48000,46.163909281214316,0.999546589735028,0.14,plateau_0.14,19,0.003202478688465932,0.13683403021570353,0.1336315515272376,0.13369216892897637,0.020933419826265707,0.08704047258310244,0.08013395202391028,0.009447637226913231,0.06357875651782997,0.10217916348273506,0.000556480477962612,0.06469913864986256,0.032079079461087366,0.1442659937317459,0.0001,"ideal.txt (K11a247, 235 modes, k_max=254)",local_cpp_scan
K11a247,48000,48000,48000,46.163909281214316,0.999546589735028,0.16,plateau_0.16,19,0.003202478688465932,0.13683403021570353,0.1336315515272376,0.13369216892897637,0.020933419826265707,0.08704047258310244,0.08013395202391028,0.009447637226913231,0.06357875651782997,0.10217916348273506,0.000556480477962612,0.06469913864986256,0.032079079461087366,0.1442659937317459,0.0001,"ideal.txt (K11a247, 235 modes, k_max=254)",local_cpp_scan
K11a247,56000,56000,56000,46.163909281214316,0.9995465897497554,0.01,plateau_0.01,6,0.002754195669552696,0.008082074634864092,0.005327878965311396,0.005330295776053094,0.005254260858787592,0.1143995705124748,0.07597260931919494,0.021709434809180028,0.04619946811261972,0.1143995705124748,-0.003604862226752728,0.04436389107002586,0.02823960039119458,0.06535694568215947,0.0001,"ideal.txt (K11a247, 235 modes, k_max=254)",local_cpp_scan
K11a247,56000,56000,56000,46.163909281214316,0.9995465897497554,0.02,plateau_0.02,10,0.002754195669552696,0.019122528158906454,0.016368332489353758,0.016375757425626056,0.008082074634864092,0.0780250529747268,0.07911171920431688,0.017475833226686617,0.04619946811261972,0.1143995705124748,-0.00046575234163079293,0.050663083477463136,0.02823960039119458,0.06535694568215947,0.0001,"ideal.txt (K11a247, 235 modes, k_max=254)",local_cpp_scan
K11a247,56000,56000,56000,46.163909281214316,0.9995465897497554,0.04,plateau_0.04,13,0.002754195669552696,0.036480614771543685,0.033726419101990986,0.0337417179427671,0.010023709454408869,0.09282710366932294,0.08019838543390696,0.01569467441460784,0.04619946811261972,0.1143995705124748,0.0006209138879592901,0.059636138676394314,0.02823960039119458,0.08153103693022488,0.0001,"ideal.txt (K11a247, 235 modes, k_max=254)",local_cpp_scan
K11a247,56000,56000,56000,46.163909281214316,0.9995465897497554,0.06,plateau_0.06,15,0.002754195669552696,0.056114277389983806,0.05336008172043111,0.05338428670322434,0.012431801952555879,0.07413495521442484,0.0801289961974304,0.014649773599775968,0.04619946811261972,0.1143995705124748,0.0005515246514827266,0.061403450159631084,0.02823960039119458,0.08814184521478736,0.0001,"ideal.txt (K11a247, 235 modes, k_max=254)",local_cpp_scan
K11a247,56000,56000,56000,46.163909281214316,0.9995465897497554,0.08,plateau_0.08,16,0.002754195669552696,0.06959515201393104,0.06684095634437835,0.06687127646657524,0.015418413760944993,0.08019838543390696,0.08016369081566868,0.014193891451090828,0.04619946811261972,0.1143995705124748,0.0005862192697210084,0.06258520036197968,0.02823960039119458,0.10446170248390811,0.0001,"ideal.txt (K11a247, 235 modes, k_max=254)",local_cpp_scan
K11a247,56000,56000,56000,46.163909281214316,0.9995465897497554,0.1,plateau_0.10,17,0.002754195669552696,0.08631466730259833,0.08356047163304564,0.08359837599362495,0.015418413760944993,0.08019838543390696,0.0801289961974304,0.013776744457761019,0.04619946811261972,0.1143995705124748,0.0005515246514827266,0.06376695056432827,0.02823960039119458,0.11121513842995677,0.0001,"ideal.txt (K11a247, 235 modes, k_max=254)",local_cpp_scan
K11a247,56000,56000,56000,46.163909281214316,0.9995465897497554,0.12,plateau_0.12,18,0.002754195669552696,0.10705087317097763,0.10429667750142493,0.10434398813519684,0.019122528158906454,0.08063947442684992,0.07964066497265507,0.013389192606922165,0.04619946811261972,0.1143995705124748,6.31934267073947e-05,0.06456194812324387,0.02823960039119458,0.12698730548770593,0.0001,"ideal.txt (K11a247, 235 modes, k_max=254)",local_cpp_scan
K11a247,56000,56000,56000,46.163909281214316,0.9995465897497554,0.14,plateau_0.14,19,0.002754195669552696,0.13276873797697833,0.13001454230742562,0.1300735189742139,0.019122528158906454,0.08063947442684992,0.07943495915581003,0.013032194732995031,0.04619946811261972,0.1143995705124748,-0.00014251239013764183,0.06535694568215947,0.02823960039119458,0.14597809827460384,0.0001,"ideal.txt (K11a247, 235 modes, k_max=254)",local_cpp_scan
K11a247,56000,56000,56000,46.163909281214316,0.9995465897497554,0.16,plateau_0.16,19,0.002754195669552696,0.13276873797697833,0.13001454230742562,0.1300735189742139,0.019122528158906454,0.08063947442684992,0.07943495915581003,0.013032194732995031,0.04619946811261972,0.1143995705124748,-0.00014251239013764183,0.06535694568215947,0.02823960039119458,0.14597809827460384,0.0001,"ideal.txt (K11a247, 235 modes, k_max=254)",local_cpp_scan
K11a247,64000,64000,64000,46.163909281214316,0.9995465230778603,0.01,plateau_0.01,7,0.002416928276257986,0.009108056329051475,0.006691128052793489,0.006694163701545165,0.004691856656317946,0.11139617121681589,0.0833794971778473,0.015574095780143203,0.059997956556829914,0.11139617121681589,0.0038020256318996304,0.046997973784333166,0.030387470688857558,0.06356491303837303,0.0001,"ideal.txt (K11a247, 235 modes, k_max=254)",local_cpp_scan
K11a247,64000,64000,64000,46.163909281214316,0.9995465230778603,0.02,plateau_0.02,10,0.002416928276257986,0.017680994150038036,0.01526406587378005,0.015270990915738542,0.0073012751797489625,0.06870602735747161,0.07873843900789423,0.0140470387236793,0.059997956556829914,0.11139617121681589,-0.0008390325380534386,0.0499823190094083,0.030387470688857558,0.07012814947937616,0.0001,"ideal.txt (K11a247, 235 modes, k_max=254)",local_cpp_scan
K11a247,64000,64000,64000,46.163909281214316,0.9995465230778603,0.04,plateau_0.04,13,0.002416928276257986,0.03432319068301542,0.03190626240675743,0.03192073772465324,0.009108056329051475,0.0833794971778473,0.08158728229144199,0.012429226498801701,0.059997956556829914,0.11139617121681589,0.00200981074549432,0.055446766048218396,0.030387470688857558,0.0813911760057267,0.0001,"ideal.txt (K11a247, 235 modes, k_max=254)",local_cpp_scan
K11a247,64000,64000,64000,46.163909281214316,0.9995465230778603,0.06,plateau_0.06,15,0.002416928276257986,0.05341234367981703,0.05099541540355904,0.05101855113910163,0.011361945420611705,0.06765289567194975,0.07820798608556767,0.011595097479605621,0.059997956556829914,0.11139617121681589,-0.0013694854603800016,0.05605713130331221,0.030387470688857558,0.09049414820288397,0.0001,"ideal.txt (K11a247, 235 modes, k_max=254)",local_cpp_scan
K11a247,64000,64000,64000,46.163909281214316,0.9995465230778603,0.08,plateau_0.08,16,0.002416928276257986,0.06662981779563014,0.06421288951937215,0.06424202179368718,0.014173584250812743,0.07409738083794115,0.0798144306605113,0.011234476255840347,0.059997956556829914,0.11139617121681589,0.00023695911456363128,0.05981102217084262,0.030387470688857558,0.1045637124081126,0.0001,"ideal.txt (K11a247, 235 modes, k_max=254)",local_cpp_scan
