a_mid,A_local,A_local_minus_Areq,rel_dE,mask_plateau_0p01,mask_plateau_0p02,mask_plateau_0p04,mask_plateau_0p06,mask_plateau_0p08,mask_plateau_0p10,mask_plateau_0p12,mask_plateau_0p14,mask_plateau_0p16
0.002153887739337384,0.05866530960379926,-0.020912161942148413,0.029761322860851994,1,1,1,1,1,1,1,1,1
0.0027006859639614558,0.08793785976485448,0.008360388218906806,0.04597991590804198,1,1,1,1,1,1,1,1,1
0.00338629750415044,0.07035015272779838,-0.009227318818149297,0.038556695722253745,1,1,1,1,1,1,1,1,1
0.004245962299813379,0.1088748414828207,0.029297369936873027,0.06206383676018679,1,1,1,1,1,1,1,1,1
0.005323866502969727,0.08305143085691633,0.0034739593109686523,0.05047599893060592,1,1,1,1,1,1,1,1,1
0.006675413614173845,0.06715120078205825,-0.012426270763889427,0.04298190298054907,1,1,1,1,1,1,1,1,1
0.008370072182583973,0.0814928773319732,0.0019154057860255314,0.0545043742858436,1,1,1,1,1,1,1,1,1
0.010494946439410475,0.08566290870064641,0.006085437154698739,0.060596145420126445,0,1,1,1,1,1,1,1,1
0.013159253392733763,0.07145832292132158,-0.008119148624626094,0.05380872032577923,0,1,1,1,1,1,1,1,1
0.016499936503144474,0.08050333402522986,0.0009258624792821829,0.06406705635154572,0,1,1,1,1,1,1,1,1
0.020688704479095182,0.08699993795738742,0.007422466411439746,0.0739767268938318,0,0,1,1,1,1,1,1,1
0.025940856980980673,0.07749472023593404,-0.0020827513100136336,0.07115843405201523,0,0,1,1,1,1,1,1,1
0.03252635086878693,0.0761198835232774,-0.003457588022670266,0.0752507340224047,0,0,1,1,1,1,1,1,1
0.04078367579047655,0.0827489669923834,0.003171495446435732,0.08846087098702829,0,0,0,1,1,1,1,1,1
0.05113725230637088,0.07887359845895883,-0.0007038730869888404,0.09250068935636228,0,0,0,1,1,1,1,1,1
0.06411924680060523,0.0788139404549518,-0.0007635310909958754,0.10185211501521182,0,0,0,0,1,1,1,1,1
0.08039692445041138,0.07937781481207348,-0.00019965673387419003,0.11421372550451259,0,0,0,0,0,1,1,1,1
0.10080694617616971,0.07971175452695037,0.0001342829810026952,0.1294829486415709,0,0,0,0,0,0,1,1,1
0.12639837241078916,0.07823900792116004,-0.0013384636247876364,0.14599442263311663,0,0,0,0,0,0,0,1,1
0.1584865840512221,0.07930723215093281,-0.0002702393950148596,0.17328661415267432,0,0,0,0,0,0,0,0,1
0.1987208920902297,0.07775426059252098,-0.0018232109534266905,0.20550455345031415,0,0,0,0,0,0,0,0,0
0.24916931101482842,0.07769431989258688,-0.0018831516533607956,0.2584610535393733,0,0,0,0,0,0,0,0,0
0.3124248532631097,0.07649553797080764,-0.003081933575140028,0.34316894417268334,0,0,0,0,0,0,0,0,0
