knot_id,N_geom,N_int_target,N_int_actual,L_dimless,d_min_dimless,frac,method_name,n_plateau,a_lo,a_hi,a_span,a_span_over_dmin,a_ref,A_ref,A_median,A_std,A_min,A_max,A_median_minus_Areq,rel_dE_median,rel_dE_min,rel_dE_max,rel_dE_thresh,ideal_source,bs_backend
9:1:1,32000,32000,32000,37.754336439281474,0.999717924291043,0.01,plateau_0.01,5,0.0039111118825303085,0.00869479608595619,0.004783684203425881,0.004785033945268376,0.005831493829882808,0.07968523112388515,0.07968523112388515,0.016737915870800913,0.06630407854210407,0.10671878168560837,0.0001077595779374746,0.03741376817460589,0.02888124800959449,0.053796540088212774,0.0001,"ideal.txt (9:1:1, 232 modes, k_max=252)",local_cpp_scan
9:1:1,32000,32000,32000,37.754336439281474,0.999717924291043,0.02,plateau_0.02,9,0.0039111118825303085,0.019329408425782423,0.015418296543252115,0.015422646897309667,0.00869479608595619,0.10671878168560837,0.07968523112388515,0.021914676949979707,0.04426769207372995,0.10925745293654988,0.0001077595779374746,0.03741376817460589,0.02358391141694048,0.05961356574888775,0.0001,"ideal.txt (9:1:1, 232 modes, k_max=252)",local_cpp_scan
9:1:1,32000,32000,32000,37.754336439281474,0.999717924291043,0.04,plateau_0.04,12,0.0039111118825303085,0.03519151258102333,0.03128040069849302,0.03128922662927719,0.01296399879374962,0.10925745293654988,0.07725590872082622,0.01923013035112002,0.04426769207372995,0.10925745293654988,-0.0023215628251214565,0.045914787577935115,0.02358391141694048,0.05961356574888775,0.0001,"ideal.txt (9:1:1, 232 modes, k_max=252)",local_cpp_scan
9:1:1,32000,32000,32000,37.754336439281474,0.999717924291043,0.06,plateau_0.06,14,0.0039111118825303085,0.05247077931908038,0.048559667436550075,0.04857336880399189,0.015829921904915927,0.05910013802241901,0.07881799864961031,0.01791557980026192,0.04426769207372995,0.10925745293654988,-0.0007594728963373626,0.048442233064260196,0.02358391141694048,0.06495383282970432,0.0001,"ideal.txt (9:1:1, 232 modes, k_max=252)",local_cpp_scan
9:1:1,32000,32000,32000,37.754336439281474,0.999717924291043,0.08,plateau_0.08,16,0.0039111118825303085,0.07823428095092051,0.0743231690683902,0.07434413974431538,0.019329408425782423,0.09701689447346759,0.07852937880676453,0.016765924294707364,0.04426769207372995,0.10925745293654988,-0.0010480927391831457,0.051764739360418276,0.02358391141694048,0.07181274443530021,0.0001,"ideal.txt (9:1:1, 232 modes, k_max=252)",local_cpp_scan
9:1:1,32000,32000,32000,37.754336439281474,0.999717924291043,0.1,plateau_0.10,17,0.0039111118825303085,0.09552936385163951,0.09161825196910921,0.09164410254430612,0.019329408425782423,0.09701689447346759,0.07825485474571126,0.016270508191455924,0.04426769207372995,0.10925745293654988,-0.0013226168002364175,0.053796540088212774,0.02358391141694048,0.07665955426182029,0.0001,"ideal.txt (9:1:1, 232 modes, k_max=252)",local_cpp_scan
9:1:1,32000,32000,32000,37.754336439281474,0.999717924291043,0.12,plateau_0.12,18,0.0039111118825303085,0.11664783323852553,0.11273672135599522,0.11276853061921767,0.02360251884595086,0.07795076617533547,0.07852937880676453,0.015812094693509565,0.04426769207372995,0.10925745293654988,-0.0010480927391831457,0.053871447404580206,0.02358391141694048,0.08481365161879335,0.0001,"ideal.txt (9:1:1, 232 modes, k_max=252)",local_cpp_scan
9:1:1,32000,32000,32000,37.754336439281474,0.999717924291043,0.14,plateau_0.14,18,0.0039111118825303085,0.11664783323852553,0.11273672135599522,0.11276853061921767,0.02360251884595086,0.07795076617533547,0.07852937880676453,0.015812094693509565,0.04426769207372995,0.10925745293654988,-0.0010480927391831457,0.053871447404580206,0.02358391141694048,0.08481365161879335,0.0001,"ideal.txt (9:1:1, 232 modes, k_max=252)",local_cpp_scan
9:1:1,32000,32000,32000,37.754336439281474,0.999717924291043,0.16,plateau_0.16,19,0.0039111118825303085,0.14243491687408885,0.13852380499155853,0.13856289021705165,0.02360251884595086,0.07795076617533547,0.07825485474571126,0.015394665562304054,0.04426769207372995,0.10925745293654988,-0.0013226168002364175,0.053946354720947644,0.02358391141694048,0.09073383668238168,0.0001,"ideal.txt (9:1:1, 232 modes, k_max=252)",local_cpp_scan
9:1:1,48000,48000,48000,37.75433643928146,0.9997179049214014,0.01,plateau_0.01,7,0.0026304909133570173,0.00969197893632411,0.007061488022967093,0.0070634805960810235,0.005049223952692947,0.11332064309489132,0.07322298915255392,0.024512020574483557,0.04576376635605313,0.11332064309489132,-0.006354482393393757,0.03477635726570596,0.02384776870712576,0.059027040121235504,0.0001,"ideal.txt (9:1:1, 232 modes, k_max=252)",local_cpp_scan
