dataset,quantity,fit_method,lambda_K,n_points,Nint_min,Nint_max,alpha_best,y_inf,target,y_inf_minus_target,rms_fit,sse_fit,last2_half_range,method,tail_points,tail_enough,tail_err_contracting,tail_step_contracting,tail_sign_changes,tail_last_abs_err,tail_prev_abs_err,tail_last_step,tail_prev_step,tail_quasi_monotone,root_choice_summary,raw_n_vals,raw_y_vals
main_no_contact,A_K,plateau_0.12,0.0,3,32000.0,64000.0,0.25,0.08548059763647198,0.07957747154594767,0.005903126090524305,0.0003171324383014261,3.0171895026902347e-07,0.0005808927939320932,powerlaw_gridsearch,3,True,True,False,1.0,0.00018005892891764796,0.0009817266589465384,0.0011617855878641864,6.636608023660728e-05,False,,32000;48000;64000,0.0785293788068;0.078595744887;0.0797575304749
main_no_contact,a_nc_over_rc,plateau_0.12,0.0,3,32000.0,64000.0,0.25,1.037190275779444,1.0,0.037190275779444004,0.0019973525556792942,1.1968251695035824e-05,0.003659108774621833,powerlaw_gridsearch,3,True,True,False,1.0,0.001130704370415181,0.006187513178828485,0.007318217549243666,0.0004196751896368145,False,,32000;48000;64000,0.993392811632;0.993812486821;1.00113070437
shiftfree_postcheck,a_star_over_rc,plateau_0.12,0.0,3,32000.0,64000.0,0.25,1.037190275779444,1.0,0.037190275779444004,0.0019973525556792942,1.1968251695035824e-05,0.003659108774621833,powerlaw_gridsearch,3,True,True,False,1.0,0.001130704370415181,0.006187513178828485,0.007318217549243666,0.0004196751896368145,False,targeted_x_nc:3,32000;48000;64000,0.993392811632;0.993812486821;1.00113070437
shiftfree_postcheck,F_at_x1,plateau_0.12,0.0,3,32000.0,64000.0,0.25,-0.07418087023682159,0.0,-0.07418087023682159,0.0039852037535310905,4.764554687147487e-05,0.007299714135761193,powerlaw_gridsearch,3,True,True,False,1.0,0.002262687233203664,0.012336741038318721,0.014599428271522386,0.0008339807604755833,False,targeted_x_nc:3,32000;48000;64000,0.0131707217988;0.0123367410383;-0.0022626872332
shiftfree_postcheck,a_star_over_rc,plateau_0.12,0.001,3,32000.0,64000.0,0.25,1.0368365053513124,1.0,0.03683650535131244,0.0019783400928377747,1.1741488568788123e-05,0.003624289799450009,powerlaw_gridsearch,3,True,True,False,1.0,0.0011198714251143826,0.006128708173785635,0.007248579598900018,0.00041571562409037366,False,targeted_x_nc:3,32000;48000;64000,0.993455576202;0.993871291826;1.00111987143
shiftfree_postcheck,F_at_x1,plateau_0.12,0.001,3,32000.0,64000.0,0.25,-0.07418087023682159,0.0,-0.07418087023682159,0.0039852037535310905,4.764554687147487e-05,0.007299714135761193,powerlaw_gridsearch,3,True,True,False,1.0,0.002262687233203664,0.012336741038318721,0.014599428271522386,0.0008339807604755833,False,targeted_x_nc:3,32000;48000;64000,0.0131707217988;0.0123367410383;-0.0022626872332
shiftfree_postcheck,a_star_over_rc,plateau_0.12,0.003,3,32000.0,64000.0,0.25,1.0361486159508444,1.0,0.0361486159508444,0.0019413729722461623,1.1306787052103696e-05,0.0035565875674186676,powerlaw_gridsearch,3,True,True,False,1.0,0.0010988176129047567,0.0060143575219325784,0.007113175134837335,0.0004080121168550388,False,targeted_x_nc:3,32000;48000;64000,0.993577630361;0.993985642478;1.00109881761
shiftfree_postcheck,F_at_x1,plateau_0.12,0.003,3,32000.0,64000.0,0.25,-0.07418087023682159,0.0,-0.07418087023682159,0.0039852037535310905,4.764554687147487e-05,0.007299714135761193,powerlaw_gridsearch,3,True,True,False,1.0,0.002262687233203664,0.012336741038318721,0.014599428271522386,0.0008339807604755833,False,targeted_x_nc:3,32000;48000;64000,0.0131707217988;0.0123367410383;-0.0022626872332
shiftfree_postcheck,a_star_over_rc,plateau_0.12,0.01,3,32000.0,64000.0,0.25,1.0339295335740724,1.0,0.03392953357407236,0.0018221340921016527,9.960517948797343e-06,0.003338198412481952,powerlaw_gridsearch,3,True,True,False,1.0,0.0010309874445160183,0.0056454093804478855,0.006676396824963904,0.00038312424191866423,False,targeted_x_nc:3,32000;48000;64000,0.993971466378;0.99435459062;1.00103098744
shiftfree_postcheck,F_at_x1,plateau_0.12,0.01,3,32000.0,64000.0,0.25,-0.07418087023682159,0.0,-0.07418087023682159,0.0039852037535310905,4.764554687147487e-05,0.007299714135761193,powerlaw_gridsearch,3,True,True,False,1.0,0.002262687233203664,0.012336741038318721,0.014599428271522386,0.0008339807604755833,False,targeted_x_nc:3,32000;48000;64000,0.0131707217988;0.0123367410383;-0.0022626872332
