fit_method,n_main_rows,A_inf,A_inf_minus_target,A_alpha,A_tail_quasi_monotone,anc_inf,anc_inf_minus_1,anc_alpha,anc_tail_quasi_monotone,theorem_no_contact_ok,n_shiftfree_rows,astar_inf,astar_inf_minus_1,astar_alpha,astar_tail_quasi_monotone,F1_inf,F1_inf_minus_0,F1_alpha,F1_tail_quasi_monotone,shiftfree_root_choice_summary,theorem_shiftfree_ok
plateau_0.04,10,0.07639066052724446,-0.0031868110187032173,0.32,False,0.9775185228918644,-0.02248147710813564,0.29,False,False,10,0.9775185228918651,-0.022481477108134862,0.29,False,0.040046648338949,0.040046648338949,0.32,False,targeted_x_nc:10,False
plateau_0.06,10,0.07613082909738057,-0.0034466424485671,0.27,False,0.9774490031250647,-0.022550996874935336,0.26,False,False,10,0.9774490031250649,-0.022550996874935114,0.26,False,0.0433117863838787,0.0433117863838787,0.27,False,targeted_x_nc:10,False
plateau_0.08,10,0.07689898349282738,-0.0026784880531202926,0.25,False,0.9832015523939667,-0.01679844760603333,0.25,False,False,10,0.9832015523939663,-0.016798447606033662,0.25,False,0.03365887356164403,0.03365887356164403,0.25,False,targeted_x_nc:10,False
plateau_0.10,10,0.07900638186952468,-0.0005710896764229978,0.71,False,0.9964211649094629,-0.0035788350905371358,0.71,False,False,10,0.9964211649094628,-0.003578835090537247,0.71,False,0.007176524527966458,0.007176524527966458,0.71,False,targeted_x_nc:10,False
plateau_0.12,10,0.07878656323773107,-0.000790908308216598,0.25,False,0.9950358110332609,-0.004964188966739114,0.25,False,False,10,0.9950358110332609,-0.004964188966739114,0.25,False,0.009938846923027149,0.009938846923027149,0.25,False,targeted_x_nc:10,False
