knot_id,mode,N_geom,N_int_target,N_int_actual,R_t_over_r_t,L_dimless,d_min_dimless,scan_idx,a_scan_m,a_scan_over_rc,E_scan_J,ideal_source,bs_backend
0:1:1,ideal,32000,32000,32000,nan,6.2831853071795845,0.4159514199663228,2,0.0009511183934685922,675045088760.5322,3.2078954929838486,"ideal.txt (0:1:1, 1 modes, k_max=1)",local_cpp_scan
0:1:1,ideal,32000,32000,32000,nan,6.2831853071795845,0.4159514199663228,3,0.0012085824912889658,857777202826.775,3.024562256836707,"ideal.txt (0:1:1, 1 modes, k_max=1)",local_cpp_scan
0:1:1,ideal,32000,32000,32000,nan,6.2831853071795845,0.4159514199663228,4,0.001535741131998704,1089974198672.1437,2.9531337472537222,"ideal.txt (0:1:1, 1 modes, k_max=1)",local_cpp_scan
0:1:1,ideal,32000,32000,32000,nan,6.2831853071795845,0.4159514199663228,5,0.0019514603608044104,1385026029901.265,2.835078341894721,"ideal.txt (0:1:1, 1 modes, k_max=1)",local_cpp_scan
0:1:1,ideal,32000,32000,32000,nan,6.2831853071795845,0.4159514199663228,6,0.0024797131889244036,1759947259156.2415,2.697957421331983,"ideal.txt (0:1:1, 1 modes, k_max=1)",local_cpp_scan
0:1:1,ideal,32000,32000,32000,nan,6.2831853071795845,0.4159514199663228,7,0.0031509620296827218,2236358225868.417,2.5591987762583024,"ideal.txt (0:1:1, 1 modes, k_max=1)",local_cpp_scan
0:1:1,ideal,32000,32000,32000,nan,6.2831853071795845,0.4159514199663228,8,0.004003915354746669,2841731812353.89,2.4506940980975576,"ideal.txt (0:1:1, 1 modes, k_max=1)",local_cpp_scan
0:1:1,ideal,32000,32000,32000,nan,6.2831853071795845,0.4159514199663228,9,0.005087759870464194,3610977704704.8438,2.341585853827664,"ideal.txt (0:1:1, 1 modes, k_max=1)",local_cpp_scan
0:1:1,ideal,32000,32000,32000,nan,6.2831853071795845,0.4159514199663228,10,0.006464996935766539,4588455507022.224,2.2203191385071985,"ideal.txt (0:1:1, 1 modes, k_max=1)",local_cpp_scan
0:1:1,ideal,32000,32000,32000,nan,6.2831853071795845,0.4159514199663228,11,0.008215046787508342,5830532797943.012,2.098103036885122,"ideal.txt (0:1:1, 1 modes, k_max=1)",local_cpp_scan
0:1:1,ideal,32000,32000,32000,nan,6.2831853071795845,0.4159514199663228,12,0.010438828415770847,7408835643249.173,1.9711187766750242,"ideal.txt (0:1:1, 1 modes, k_max=1)",local_cpp_scan
0:1:1,ideal,32000,32000,32000,nan,6.2831853071795845,0.4159514199663228,13,0.013264579193827772,9414379009761.271,1.8549059938733008,"ideal.txt (0:1:1, 1 modes, k_max=1)",local_cpp_scan
0:1:1,ideal,32000,32000,32000,nan,6.2831853071795845,0.4159514199663228,14,0.01685524985960177,11962815266416.727,1.736725493119279,"ideal.txt (0:1:1, 1 modes, k_max=1)",local_cpp_scan
0:1:1,ideal,32000,32000,32000,nan,6.2831853071795845,0.4159514199663228,15,0.021417901290212194,15201103434441.193,1.6130431925288726,"ideal.txt (0:1:1, 1 modes, k_max=1)",local_cpp_scan
0:1:1,ideal,32000,32000,32000,nan,6.2831853071795845,0.4159514199663228,16,0.02721564494731917,19315983777938.44,1.4956027258598952,"ideal.txt (0:1:1, 1 modes, k_max=1)",local_cpp_scan
0:1:1,ideal,32000,32000,32000,nan,6.2831853071795845,0.4159514199663228,17,0.034582815555183714,24544746433619.465,1.374430743371068,"ideal.txt (0:1:1, 1 modes, k_max=1)",local_cpp_scan
0:1:1,ideal,32000,32000,32000,nan,6.2831853071795845,0.4159514199663228,18,0.04394425096443154,31188915067259.043,1.2564687698697727,"ideal.txt (0:1:1, 1 modes, k_max=1)",local_cpp_scan
