knot_id,mode,N_geom,N_int_target,N_int_actual,R_t_over_r_t,L_dimless,d_min_dimless,fit_method,plateau_frac,n_plateau,A_K,A_ratio,a_K,closure_x_from_A,lambda_K,p_exp,candidate_index,candidate_count,candidate_selected,selected_root_choice,candidate_is_min,a_candidate_m,a_candidate_over_rc,E_candidate_J,ideal_source,bs_backend
0:1:1,ideal,24000,24000,24000,nan,6.283185307179587,0.41607945651532513,global,,0,0.07951896985443223,0.99926484606285,-0.19467351971564473,0.9996323554501675,0.0,2,0,1,True,closest_to_a_nc,True,1.4084521697961229e-15,0.9996323554501674,5.0170110814733866e-37,"ideal.txt (0:1:1, 1 modes, k_max=1)",local_cpp_scan
0:1:1,ideal,24000,24000,24000,nan,6.283185307179587,0.41607945651532513,global,,0,0.07951896985443223,0.99926484606285,-0.19467351971564473,0.9996323554501675,0.001,2,0,1,True,continuation,True,1.2075910862206058e-15,0.8570735647445296,5.211608278594526e-37,"ideal.txt (0:1:1, 1 modes, k_max=1)",local_cpp_scan
0:1:1,ideal,24000,24000,24000,nan,6.283185307179587,0.41607945651532513,global,,0,0.07951896985443223,0.99926484606285,-0.19467351971564473,0.9996323554501675,0.003,2,0,1,True,continuation,True,1.0936639374378472e-15,0.7762151113801417,5.409173431966473e-37,"ideal.txt (0:1:1, 1 modes, k_max=1)",local_cpp_scan
0:1:1,ideal,24000,24000,24000,nan,6.283185307179587,0.41607945651532513,global,,0,0.07951896985443223,0.99926484606285,-0.19467351971564473,0.9996323554501675,0.01,2,0,1,True,continuation,True,9.390872676051675e-16,0.6665061387390249,5.782723812288363e-37,"ideal.txt (0:1:1, 1 modes, k_max=1)",local_cpp_scan
0:1:1,ideal,24000,24000,24000,nan,6.283185307179587,0.41607945651532513,plateau_0.01,0.01,6,0.08196994102517646,1.0300646581595319,-0.21520342935311831,1.0149210107981468,0.0,2,0,1,True,closest_to_a_nc,True,1.4299934291208368e-15,1.0149210107981468,4.595716676035446e-37,"ideal.txt (0:1:1, 1 modes, k_max=1)",local_cpp_scan
0:1:1,ideal,24000,24000,24000,nan,6.283185307179587,0.41607945651532513,plateau_0.01,0.01,6,0.08196994102517646,1.0300646581595319,-0.21520342935311831,1.0149210107981468,0.001,2,0,1,True,continuation,True,1.2179318792023436e-15,0.8644128208919736,4.80438054372829e-37,"ideal.txt (0:1:1, 1 modes, k_max=1)",local_cpp_scan
0:1:1,ideal,24000,24000,24000,nan,6.283185307179587,0.41607945651532513,plateau_0.01,0.01,6,0.08196994102517646,1.0300646581595319,-0.21520342935311831,1.0149210107981468,0.003,2,0,1,True,continuation,True,1.1024877527655542e-15,0.7824777104866273,5.0108362140714636e-37,"ideal.txt (0:1:1, 1 modes, k_max=1)",local_cpp_scan
0:1:1,ideal,24000,24000,24000,nan,6.283185307179587,0.41607945651532513,plateau_0.01,0.01,6,0.08196994102517646,1.0300646581595319,-0.21520342935311831,1.0149210107981468,0.01,2,0,1,True,continuation,True,9.467041790670353e-16,0.6719121520273458,5.39802153700321e-37,"ideal.txt (0:1:1, 1 modes, k_max=1)",local_cpp_scan
0:1:1,ideal,24000,24000,24000,nan,6.283185307179587,0.41607945651532513,plateau_0.02,0.02,9,0.08274563707671002,1.0398123422271977,-0.21958360703820134,1.0197118917749257,0.0,2,0,1,True,closest_to_a_nc,True,1.4367436375051387e-15,1.0197118917749257,4.53940693953096e-37,"ideal.txt (0:1:1, 1 modes, k_max=1)",local_cpp_scan
0:1:1,ideal,24000,24000,24000,nan,6.283185307179587,0.41607945651532513,plateau_0.02,0.02,9,0.08274563707671002,1.0398123422271977,-0.21958360703820134,1.0197118917749257,0.001,2,0,1,True,continuation,True,1.2211017476371566e-15,0.8666625977164276,4.752646833974459e-37,"ideal.txt (0:1:1, 1 modes, k_max=1)",local_cpp_scan
