knot_id,mode,N_geom,N_int_target,N_int_actual,R_t_over_r_t,L_dimless,d_min_dimless,fit_method,plateau_frac,n_plateau,A_K,A_spread,A_ratio,a_K,a_fit_ref,a_nc_m,a_nc_over_rc,lambda_K,p_exp,root_count,min_root_count,root_choice,a_star_m,a_star_over_rc,E_star_J,delta_lambda_over_rc,is_min,status,uses_local_sst_core,ideal_source,notes,bs_backend,t_geometry_s,t_scan_s,t_fit_s,t_total_block_s,contact_model,root_selection_mode,closure_x_from_A,closure_x_minus_1,beta_dimless,F_at_x1,contact_force_at_x1,continuation_prev_a_star_over_rc,continuation_jump,theorem_candidate_no_contact,theorem_candidate_full_model,root_solver_space,F_at_root,root_xtol,root_rtol
9;1:2,ideal,32000,32000,32000,nan,16.371498082260015,0.9973848942450086,global,,0,0.0797851754451925,nan,1.002610084175958,-0.24666621815665596,0.026045230466457136,1.4108077371027397e-15,1.0013041916300751,0.0,2,1,1,closest_to_a_nc,1.4108077371027397e-15,1.0013041916300751,1.5488142612473208e-36,0.0013041916300751133,True,stable,True,fallback hardcoded 30-mode coefficients,,local_cpp_scan,54.73809290000645,9.093009699994582,0.004270599994924851,63.85543029999826,legacy,continuation,1.0013041916300751,0.0013041916300751133,6.266754097922278,-0.002610084175957983,0.0,nan,nan,False,False,dimensionless_x,2.220446049250313e-16,1e-14,1e-13
9;1:2,ideal,32000,32000,32000,nan,16.371498082260015,0.9973848942450086,global,,0,0.0797851754451925,nan,1.002610084175958,-0.24666621815665596,0.026045230466457136,1.4108077371027397e-15,1.0013041916300751,0.001,2,1,1,continuation,1.4051426379947843e-15,0.9972834541946224,1.5509001893076207e-36,0.0027165458053776126,True,stable,True,fallback hardcoded 30-mode coefficients,,local_cpp_scan,54.73809290000645,9.093009699994582,0.004270599994924851,63.87488859999576,legacy,continuation,1.0013041916300751,0.0013041916300751133,6.266754097922278,0.005500453795574097,0.00811053797153208,1.0013041916300751,0.004020737435452726,False,False,dimensionless_x,3.920475055707584e-16,1e-14,1e-13
9;1:2,ideal,32000,32000,32000,nan,16.371498082260015,0.9973848942450086,global,,0,0.0797851754451925,nan,1.002610084175958,-0.24666621815665596,0.026045230466457136,1.4108077371027397e-15,1.0013041916300751,0.003,2,1,1,continuation,1.3941929693227232e-15,0.9895120556900954,1.5550000708312915e-36,0.010487944309904629,True,stable,True,fallback hardcoded 30-mode coefficients,,local_cpp_scan,54.73809290000645,9.093009699994582,0.004270599994924851,63.89397750000353,legacy,continuation,1.0013041916300751,0.0013041916300751133,6.266754097922278,0.021721529738638258,0.02433161391459624,0.9972834541946224,0.007771398504527016,False,False,dimensionless_x,4.69416172599324e-15,1e-14,1e-13
9;1:2,ideal,32000,32000,32000,nan,16.371498082260015,0.9973848942450086,global,,0,0.0797851754451925,nan,1.002610084175958,-0.24666621815665596,0.026045230466457136,1.4108077371027397e-15,1.0013041916300751,0.01,2,1,1,continuation,1.3593045268601328e-15,0.9647503941549967,1.5686664807369574e-36,0.03524960584500325,True,drift,True,fallback hardcoded 30-mode coefficients,,local_cpp_scan,54.73809290000645,9.093009699994582,0.004270599994924851,63.91325810000126,legacy,continuation,1.0013041916300751,0.0013041916300751133,6.266754097922278,0.07849529553936281,0.0811053797153208,0.9895120556900954,0.024761661535098622,False,False,dimensionless_x,1.5265566588595902e-16,1e-14,1e-13
9;1:2,ideal,32000,32000,32000,nan,16.371498082260015,0.9973848942450086,plateau_0.01,0.01,8,0.07851584936109575,0.02153885521149441,0.986659262172725,-0.23517421601401312,0.004437935231485037,1.3995402631001545e-15,0.9933072345315547,0.0,2,1,1,closest_to_a_nc,1.3995402631001545e-15,0.9933072345315547,1.602159337148804e-36,0.0066927654684453275,True,stable,True,fallback hardcoded 30-mode coefficients,,local_cpp_scan,54.73809290000645,9.093009699994582,0.004270599994924851,63.92888180000591,legacy,continuation,0.9933072345315547,-0.0066927654684453275,6.266754097922278,0.013340737827274962,0.0,nan,nan,False,False,dimensionless_x,-1.1102230246251565e-16,1e-14,1e-13
9;1:2,ideal,32000,32000,32000,nan,16.371498082260015,0.9973848942450086,plateau_0.01,0.01,8,0.07851584936109575,0.02153885521149441,0.986659262172725,-0.23517421601401312,0.004437935231485037,1.3995402631001545e-15,0.9933072345315547,0.001,2,1,1,continuation,1.3939820971671782e-15,0.9893623916588512,1.6041969446144637e-36,0.010637608341148796,True,stable,True,fallback hardcoded 30-mode coefficients,,local_cpp_scan,54.73809290000645,9.093009699994582,0.004270599994924851,63.94804750000185,legacy,continuation,0.9933072345315547,-0.0066927654684453275,6.266754097922278,0.02145127579880704,0.00811053797153208,0.9933072345315547,0.003944842872703469,False,False,dimensionless_x,-1.717376241217039e-16,1e-14,1e-13
9;1:2,ideal,32000,32000,32000,nan,16.371498082260015,0.9973848942450086,plateau_0.01,0.01,8,0.07851584936109575,0.02153885521149441,0.986659262172725,-0.23517421601401312,0.004437935231485037,1.3995402631001545e-15,0.9933072345315547,0.003,2,1,1,continuation,1.3832332003043504e-15,0.9817334885836159,1.608202853129172e-36,0.018266511416384135,True,stable,True,fallback hardcoded 30-mode coefficients,,local_cpp_scan,54.73809290000645,9.093009699994582,0.004270599994924851,63.96930240000074,legacy,continuation,0.9933072345315547,-0.0066927654684453275,6.266754097922278,0.0376723517418712,0.02433161391459624,0.9893623916588512,0.007628903075235338,False,False,dimensionless_x,5.738465258531278e-15,1e-14,1e-13
9;1:2,ideal,32000,32000,32000,nan,16.371498082260015,0.9973848942450086,plateau_0.01,0.01,8,0.07851584936109575,0.02153885521149441,0.986659262172725,-0.23517421601401312,0.004437935231485037,1.3995402631001545e-15,0.9933072345315547,0.01,2,1,1,continuation,1.34893725727758e-15,0.957392346551652,1.621564656198909e-36,0.04260765344834805,True,drift,True,fallback hardcoded 30-mode coefficients,,local_cpp_scan,54.73809290000645,9.093009699994582,0.004270599994924851,63.9887943000067,legacy,continuation,0.9933072345315547,-0.0066927654684453275,6.266754097922278,0.09444611754259576,0.0811053797153208,0.9817334885836159,0.024341142031963914,False,False,dimensionless_x,2.7755575615628914e-16,1e-14,1e-13
9;1:2,ideal,32000,32000,32000,nan,16.371498082260015,0.9973848942450086,plateau_0.02,0.02,11,0.079630105377193,0.01867546878212137,1.0006614162302825,-0.24584283066529533,0.005618933932999246,1.4094360508466566e-15,1.0003306534492895,0.0,2,1,1,closest_to_a_nc,1.4094360508466566e-15,1.0003306534492895,1.549813277544831e-36,0.00033065344928950857,True,stable,True,fallback hardcoded 30-mode coefficients,,local_cpp_scan,54.73809290000645,9.093009699994582,0.004270599994924851,64.00504580000415,legacy,continuation,1.0003306534492895,0.00033065344928950857,6.266754097922278,-0.0006614162302824855,0.0,nan,nan,True,True,dimensionless_x,0.0,1e-14,1e-13
9;1:2,ideal,32000,32000,32000,nan,16.371498082260015,0.9973848942450086,plateau_0.02,0.02,11,0.079630105377193,0.01867546878212137,1.0006614162302825,-0.24584283066529533,0.005618933932999246,1.4094360508466566e-15,1.0003306534492895,0.001,2,1,1,continuation,1.4037840710064112e-15,0.9963192272597304,1.5518932737320867e-36,0.0036807727402695667,True,stable,True,fallback hardcoded 30-mode coefficients,,local_cpp_scan,54.73809290000645,9.093009699994582,0.004270599994924851,64.02499839999655,legacy,continuation,1.0003306534492895,0.00033065344928950857,6.266754097922278,0.007449121741249594,0.00811053797153208,1.0003306534492895,0.004011426189559075,True,False,dimensionless_x,1.43982048506075e-16,1e-14,1e-13
