a_mid,A_local,A_local_minus_Areq,rel_dE,mask_plateau_0p01,mask_plateau_0p02,mask_plateau_0p04,mask_plateau_0p06,mask_plateau_0p08,mask_plateau_0p10,mask_plateau_0p12,mask_plateau_0p14,mask_plateau_0p16
0.0010675715260286417,-0.0,-0.07957747154594767,0.0,0,0,0,0,0,0,0,0,0
0.0013697732819225846,0.07981409914566573,0.00023662759971805614,0.036290076113658136,1,1,1,1,1,1,1,1,1
0.0017575205015524457,0.11706066021331685,0.037483188667369174,0.0552297275565301,1,1,1,1,1,1,1,1,1
0.0022550288826203983,0.08551506754411824,0.005937595998170564,0.04270496352128741,1,1,1,1,1,1,1,1,1
0.0028933689575515076,0.06739851620861803,-0.012178955337329642,0.03515930166968463,1,1,1,1,1,1,1,1,1
0.0037124065190662697,0.08018607738085408,0.0006086058349064061,0.043354407909360855,1,1,1,1,1,1,1,1,1
0.004763292329806643,0.08282089205856706,0.0032434205126193882,0.04680832708668829,1,1,1,1,1,1,1,1,1
0.006111656604056777,0.08021624795900849,0.0006387764130608153,0.047562570803835906,1,1,1,1,1,1,1,1,1
0.00784170776422346,0.07545819719650292,-0.004119274349444757,0.04697566612357546,1,1,1,1,1,1,1,1,1
0.010061491448761254,0.07897932740162177,-0.0005981441443259072,0.051591239638469545,0,1,1,1,1,1,1,1,1
0.012909638208574676,0.07729944415172005,-0.0022780273942276247,0.053240649689254384,0,1,1,1,1,1,1,1,1
0.01656402130091854,0.07869949623438598,-0.0008779753115616962,0.057253141944272036,0,1,1,1,1,1,1,1,1
0.02125286527976025,0.08022809533592813,0.000650623789980459,0.06190970872859255,0,0,1,1,1,1,1,1,1
0.02726899913939323,0.08068926345878152,0.001111791912833851,0.06637482495656218,0,0,1,1,1,1,1,1,1
0.034988144152608924,0.07986150616827965,0.00028403462233198007,0.07036433382398519,0,0,0,1,1,1,1,1,1
0.04489237852060679,0.07796396901703788,-0.0016135025289097937,0.07389180007690062,0,0,0,1,1,1,1,1,1
0.05760024425551486,0.07998318936440085,0.0004057178184531801,0.08185388454736456,0,0,0,0,1,1,1,1,1
0.07390537653896018,0.0798410591314938,0.00026358758554612116,0.08899283971415647,0,0,0,0,0,1,1,1,1
0.09482606804818422,0.07908473751972901,-0.0004927340262186608,0.09676084732172181,0,0,0,0,0,0,1,1,1
0.12166886365484689,0.07968138403824548,0.0001039124922978113,0.1079347026865286,0,0,0,0,0,0,0,0,1
0.1561101571304178,0.07984585701366621,0.00026838546771854044,0.12124392081550654,0,0,0,0,0,0,0,0,0
0.20030088575839916,0.07898226563809735,-0.0005952059078503241,0.13647994241555567,0,0,0,0,0,0,0,0,0
0.2570008612705563,0.07913227453641591,-0.00044519700953175867,0.1583508731591351,0,0,0,0,0,0,0,0,0
