dataset,quantity,fit_method,lambda_K,n_points,Nint_min,Nint_max,alpha_best,y_inf,target,y_inf_minus_target,rms_fit,sse_fit,last2_half_range,method,tail_points,tail_enough,tail_err_contracting,tail_step_contracting,tail_sign_changes,tail_last_abs_err,tail_prev_abs_err,tail_last_step,tail_prev_step,tail_quasi_monotone,root_choice_summary,raw_n_vals,raw_y_vals
main_no_contact,A_K,plateau_0.12,0.0,12,8000.0,96000.0,3.59,0.07979883703843468,0.07957747154594767,0.00022136549248701065,0.00024276803047185944,7.072357994302281e-07,0.00014607557192434367,powerlaw_gridsearch,4,True,False,False,2.0,0.00015308577034374438,0.00013906537350494297,0.00029215114384868734,0.00011068611412838603,False,,8000;16000;24000;32000;40000;48000;56000;64000;72000;80000;88000;96000,0.0789542967934;0.0798166868862;0.0797004824353;0.080285323043;0.0798512826499;0.0798300880012;0.0797873140173;0.0798348216911;0.0800964370993;0.0793277200583;0.0794384061724;0.0797305573163
main_no_contact,a_nc_over_rc,plateau_0.12,0.0,12,8000.0,96000.0,3.59,1.0013887873500786,1.0,0.0013887873500786352,0.001523353079129243,2.7847255244310547e-05,0.0009177798497821965,powerlaw_gridsearch,4,True,False,False,2.0,0.0009614041140268981,0.000874155585537495,0.001835559699564393,0.0006963124769741036,False,,8000;16000;24000;32000;40000;48000;56000;64000;72000;80000;88000;96000,0.99607678173;1.00150190645;1.00077260176;1.00443771547;1.00171892855;1.00158597834;1.00131761108;1.00161567345;1.00325545774;0.998429531937;0.999125844414;1.00096140411
shiftfree_postcheck,a_star_over_rc,plateau_0.12,0.0,12,8000.0,96000.0,3.59,1.0013887873500786,1.0,0.0013887873500786352,0.0015233530791292612,2.7847255244311214e-05,0.0009177798497821965,powerlaw_gridsearch,4,True,False,False,2.0,0.0009614041140268981,0.000874155585537495,0.001835559699564393,0.0006963124769742146,False,targeted_x_nc:12,8000;16000;24000;32000;40000;48000;56000;64000;72000;80000;88000;96000,0.99607678173;1.00150190645;1.00077260176;1.00443771547;1.00171892855;1.00158597834;1.00131761108;1.00161567345;1.00325545774;0.998429531937;0.999125844414;1.00096140411
shiftfree_postcheck,F_at_x1,plateau_0.12,0.0,12,8000.0,96000.0,3.59,-0.002781760819821782,0.0,-0.002781760819821782,0.003050713044227418,0.00011168220093863188,0.0018356397745057929,powerlaw_gridsearch,4,True,False,False,2.0,0.00192373252592426,0.0017475470230873258,0.0036712795490115857,0.001390922732000588,False,targeted_x_nc:12,8000;16000;24000;32000;40000;48000;56000;64000;72000;80000;88000;96000,0.00783104489794;-0.00300606862232;-0.00154580042499;-0.00889512425248;-0.00344081181042;-0.00317447199981;-0.00263695826539;-0.00323395730174;-0.00652151347942;0.00313846975509;0.00174754702309;-0.00192373252592
shiftfree_postcheck,a_star_over_rc,plateau_0.12,0.001,12,8000.0,96000.0,3.59,1.0013582899048235,1.0,0.001358289904823451,0.0014899089438428787,2.6637943931316028e-05,0.0008976891510155682,powerlaw_gridsearch,4,True,False,False,2.0,0.0009403377330470253,0.0008550405689841112,0.0017953783020311365,0.0006811304226176373,False,targeted_x_nc:12,8000;16000;24000;32000;40000;48000;56000;64000;72000;80000;88000;96000,0.996161729537;1.00146899626;1.00075571437;1.00434007872;1.00168121812;1.0015512219;1.00128872828;1.00158022546;1.00318391451;0.998463829008;0.999144959431;1.00094033773
shiftfree_postcheck,F_at_x1,plateau_0.12,0.001,12,8000.0,96000.0,3.59,-0.002781760819821782,0.0,-0.002781760819821782,0.003050713044227418,0.00011168220093863188,0.0018356397745057929,powerlaw_gridsearch,4,True,False,False,2.0,0.00192373252592426,0.0017475470230873258,0.0036712795490115857,0.001390922732000588,False,targeted_x_nc:12,8000;16000;24000;32000;40000;48000;56000;64000;72000;80000;88000;96000,0.00783104489794;-0.00300606862232;-0.00154580042499;-0.00889512425248;-0.00344081181042;-0.00317447199981;-0.00263695826539;-0.00323395730174;-0.00652151347942;0.00313846975509;0.00174754702309;-0.00192373252592
shiftfree_postcheck,a_star_over_rc,plateau_0.12,0.003,12,8000.0,96000.0,3.59,1.001301164236978,1.0,0.001301164236978014,0.00142726004560159,2.444485485324784e-05,0.0008600362379394544,powerlaw_gridsearch,4,True,False,False,2.0,0.0009008627240409961,0.0008192097518379127,0.0017200724758789088,0.0006526614372674988,False,targeted_x_nc:12,8000;16000;24000;32000;40000;48000;56000;64000;72000;80000;88000;96000,0.996321118463;1.00140733175;1.00072406437;1.00415724507;1.00161056649;1.00148609915;1.00123461013;1.00151381213;1.00304991499;0.998528128811;0.999180790248;1.00090086272
shiftfree_postcheck,F_at_x1,plateau_0.12,0.003,12,8000.0,96000.0,3.59,-0.002781760819821782,0.0,-0.002781760819821782,0.003050713044227418,0.00011168220093863188,0.0018356397745057929,powerlaw_gridsearch,4,True,False,False,2.0,0.00192373252592426,0.0017475470230873258,0.0036712795490115857,0.001390922732000588,False,targeted_x_nc:12,8000;16000;24000;32000;40000;48000;56000;64000;72000;80000;88000;96000,0.00783104489794;-0.00300606862232;-0.00154580042499;-0.00889512425248;-0.00344081181042;-0.00317447199981;-0.00263695826539;-0.00323395730174;-0.00652151347942;0.00313846975509;0.00174754702309;-0.00192373252592
shiftfree_postcheck,a_star_over_rc,plateau_0.12,0.01,12,8000.0,96000.0,3.59,1.001134338982146,1.0,0.0011343389821460992,0.0012442812370331868,1.8578829561994046e-05,0.000749943690250221,powerlaw_gridsearch,4,True,False,False,2.0,0.0007854852278801339,0.0007144021526203082,0.001499887380500442,0.0005693169246780982,False,targeted_x_nc:12,8000;16000;24000;32000;40000;48000;56000;64000;72000;80000;88000;96000,0.996788429805;1.00122712219;1.00063151587;1.00362366058;1.00140414397;1.00129579063;1.00107645717;1.0013197704;1.00265866448;0.998716280923;0.999285597847;1.00078548523
shiftfree_postcheck,F_at_x1,plateau_0.12,0.01,12,8000.0,96000.0,3.59,-0.002781760819821782,0.0,-0.002781760819821782,0.003050713044227418,0.00011168220093863188,0.0018356397745057929,powerlaw_gridsearch,4,True,False,False,2.0,0.00192373252592426,0.0017475470230873258,0.0036712795490115857,0.001390922732000588,False,targeted_x_nc:12,8000;16000;24000;32000;40000;48000;56000;64000;72000;80000;88000;96000,0.00783104489794;-0.00300606862232;-0.00154580042499;-0.00889512425248;-0.00344081181042;-0.00317447199981;-0.00263695826539;-0.00323395730174;-0.00652151347942;0.00313846975509;0.00174754702309;-0.00192373252592
