a_mid,A_local,A_local_minus_Areq,rel_dE,mask_plateau_0p01,mask_plateau_0p02,mask_plateau_0p04,mask_plateau_0p06,mask_plateau_0p08,mask_plateau_0p10,mask_plateau_0p12,mask_plateau_0p14,mask_plateau_0p16
0.0011616703348980054,0.05230488429094565,-0.02727258725500202,0.02527300737826378,1,1,1,1,1,1,1,1,1
0.0014971297667893007,0.07841964363893607,-0.0011578279070116049,0.0388737600784035,1,1,1,1,1,1,1,1,1
0.0019294609419490598,0.11501537599559536,0.035437904449647686,0.05932082125151337,1,1,1,1,1,1,1,1,1
0.0024866378380083913,0.08402083523845671,0.004443363692509042,0.04606771957272416,1,1,1,1,1,1,1,1,1
0.003204712571776068,0.06622072400246205,-0.01335674754348562,0.03806151749437975,1,1,1,1,1,1,1,1,1
0.004130148150534546,0.07878460504312555,-0.0007928665028221205,0.047074556576937335,1,1,1,1,1,1,1,1,1
0.0053228248597378056,0.08137296725670537,0.0017954957107576969,0.05102301354395311,1,1,1,1,1,1,1,1,1
0.006859914815350111,0.07881321235366093,-0.0007642591922867453,0.05207500274620057,1,1,1,1,1,1,1,1,1
0.008840875383635668,0.08495337035298926,0.00537589880704159,0.05921570572833401,1,1,1,1,1,1,1,1,1
0.011393884567498964,0.07525644889285563,-0.0043210226530920465,0.055758355849053386,0,1,1,1,1,1,1,1,1
0.014684134760884327,0.0806723151814405,0.0010948436354928232,0.06330056816420225,0,1,1,1,1,1,1,1,1
0.018924521518401013,0.08053987402515353,0.0009624024792058566,0.06746736932054263,0,1,1,1,1,1,1,1,1
0.02438941895673904,0.08222591747647257,0.0026484459305248925,0.07386309836838491,0,0,1,1,1,1,1,1,1
0.031432433124872046,0.07793272076864438,-0.0016447507773032916,0.07558984291428113,0,0,1,1,1,1,1,1,1
0.04050928207441201,0.07909452997973934,-0.00048294156620833084,0.08298991986265437,0,0,0,1,1,1,1,1,1
0.05220728308448308,0.0797490481017357,0.00017157655578803332,0.09124945808616741,0,0,0,1,1,1,1,1,1
0.06728335501124567,0.07984900340699601,0.00027153186104833527,0.1005378522279705,0,0,0,0,1,1,1,1,1
0.0867129947031248,0.07915307929909415,-0.0004243922468535194,0.11080134352987958,0,0,0,0,0,1,1,1,1
0.11175339649943747,0.07961931281772146,4.184127177378483e-05,0.12534206306193324,0,0,0,0,0,0,1,1,1
0.14402479895796325,0.07845979702925959,-0.0011176745166880803,0.1412171207871112,0,0,0,0,0,0,0,0,1
0.18561532234938508,0.07848762083839209,-0.0010898507075555869,0.1644969914217981,0,0,0,0,0,0,0,0,0
0.23921608042599662,0.07771919119215107,-0.001858280353796607,0.19495619895132918,0,0,0,0,0,0,0,0,0
0.3082953088682145,0.07653181842267982,-0.0030456531232678496,0.23846865307914844,0,0,0,0,0,0,0,0,0
