a_mid,A_local,A_local_minus_Areq,rel_dE,mask_plateau_0p01,mask_plateau_0p02,mask_plateau_0p04,mask_plateau_0p06,mask_plateau_0p08,mask_plateau_0p10,mask_plateau_0p12,mask_plateau_0p14,mask_plateau_0p16
0.03720933604843792,0.12044841243953432,0.040870940893586644,0.046643580613343505,0,0,1,1,1,1,1,1,1
0.041106766327116344,-0.0,-0.07957747154594767,0.0,0,0,0,0,0,0,0,0,0
0.045412426485451456,0.19947242773677004,0.11989495619082237,0.081024876888401,0,0,0,1,1,1,1,1,1
0.05016907588608183,-0.0,-0.07957747154594767,0.0,0,0,0,0,0,0,0,0,0
0.055423952650267984,-0.0,-0.07957747154594767,0.0,0,0,0,0,0,0,0,0,0
0.061229242778046596,0.15946895192588942,0.07989148037994175,0.07048681567806916,0,0,0,0,1,1,1,1,1
0.06764259840559828,0.13278030729584286,0.05320283574989519,0.06314076893957467,0,0,0,0,1,1,1,1,1
0.07472771034662501,-0.0,-0.07957747154594767,0.0,0,0,0,0,0,0,0,0,0
0.08255494060362589,0.11370028207764736,0.03412281053169969,0.057711637739884546,0,0,0,0,0,1,1,1,1
0.09120202113051899,0.09937574968385202,0.019798278137904343,0.053530148395620876,0,0,0,0,0,1,1,1,1
0.10075482578599675,-0.0,-0.07957747154594767,0.0,0,0,0,0,0,0,0,0,0
0.11130822314385685,0.08822163143781368,0.00864415989186601,0.050209550035071056,0,0,0,0,0,0,1,1,1
0.12296701862953913,0.07928688349759644,-0.0002905880483512341,0.04750997410278629,0,0,0,0,0,0,0,1,1
0.13584699533919337,0.13782274740108913,0.05824527585514146,0.0867049540836718,0,0,0,0,0,0,0,1,1
0.15007606387761696,0.06067798040134668,-0.018899491144600995,0.04179679922671156,0,0,0,0,0,0,0,0,1
0.16579553263406246,0.05623141648569776,-0.023346055060249914,0.04042344421343822,0,0,0,0,0,0,0,0,0
0.18316151111098125,0.10135578017048559,0.021778308624537918,0.07593171037523878,0,0,0,0,0,0,0,0,0
0.20234646024211203,0.08931790257487857,0.009740431028930893,0.07241176119995041,0,0,0,0,0,0,0,0,0
0.22354090509606997,0.04315512371792308,-0.036422347828024594,0.03771791929930112,0,0,0,0,0,0,0,0,0
0.24695532697423667,0.10841408984032187,0.0288366182943742,0.09846881024390611,0,0,0,0,0,0,0,0,0
0.2728222536933101,0.06530864980386389,-0.014268821742083784,0.06579651803267332,0,0,0,0,0,0,0,0,0
0.301398568811038,0.06424701862842826,-0.015330452917519416,0.06928571506818698,0,0,0,0,0,0,0,0,0
0.3329680627279765,0.07658515692153937,-0.0029923146244082988,0.0887399033280689,0,0,0,0,0,0,0,0,0
