fit_method,n_main_rows,A_inf,A_inf_minus_target,A_alpha,A_tail_quasi_monotone,anc_inf,anc_inf_minus_1,anc_alpha,anc_tail_quasi_monotone,theorem_no_contact_ok,n_shiftfree_rows,astar_inf,astar_inf_minus_1,astar_alpha,astar_tail_quasi_monotone,F1_inf,F1_inf_minus_0,F1_alpha,F1_tail_quasi_monotone,shiftfree_root_choice_summary,theorem_shiftfree_ok
plateau_0.04,3,0.08019902977837658,0.0006215582324289037,3.27,False,1.0038986236727376,0.0038986236727376333,3.27,False,False,3,1.0038986236727376,0.0038986236727376333,3.27,False,-0.007810731107107564,-0.007810731107107564,3.27,False,targeted_x_nc:3,False
plateau_0.06,3,0.08646898576388472,0.006891514217937045,0.25,False,1.0431750020141983,0.04317500201419833,0.25,False,False,3,1.0431750020141983,0.04317500201419833,0.25,False,-0.08660132175672214,-0.08660132175672214,0.25,False,targeted_x_nc:3,False
plateau_0.08,3,0.08610030569121409,0.006522834145266415,0.25,False,1.0408673762692016,0.04086737626920156,0.25,False,False,3,1.0408673762692016,0.04086737626920156,0.25,False,-0.0819683513254138,-0.0819683513254138,0.25,False,targeted_x_nc:3,False
plateau_0.10,3,0.08383946017912254,0.004261988633174868,0.25,False,1.0267550905367044,0.02675509053670444,0.25,False,False,3,1.0267550905367044,0.02675509053670444,0.25,False,-0.05355772871866029,-0.05355772871866029,0.25,False,targeted_x_nc:3,False
plateau_0.12,3,0.08030669378741591,0.0007292222414682359,2.94,False,1.0045681422622597,0.004568142262259656,2.95,False,False,3,1.0045681422622597,0.004568142262259656,2.95,False,-0.009163676946523439,-0.009163676946523439,2.94,False,targeted_x_nc:3,False
